Data;13025 - �ndice Nacional de Pre�os ao Consumidor - varia��o mensal - S�o Paulo - %;20128 - �ndice de volume de vendas no varejo - Artigos farmac�uticos, m�dicos, ortop�dicos, de perfumaria e cosm�ticos - S�o Paulo - �ndice;20129 - �ndice de volume de vendas no varejo - Livros, jornais, revistas e papelaria - S�o Paulo - �ndice;20130 - �ndice de volume de vendas no varejo - Equipamentos e materiais para escrit�rio, inform�tica e comunica��o - S�o Paulo - �ndice;20131 - �ndice de volume de vendas no varejo - Outros artigos de uso pessoal e dom�stico - S�o Paulo - �ndice;20132 - �ndice de volume de vendas no varejo - Material de constru��o - S�o Paulo - �ndice;20133 - �ndice de volume de vendas no varejo - Total do com�rcio ampliado - S�o Paulo - �ndice;21925 - Produ��o Industrial (2012=100) � Geral � S�o Paulo - �ndice;25394 - �ndice de Atividade Econ�mica Regional - S�o Paulo - com ajuste sazonal - �ndice;28035 - PMS - �ndice de volume de servi�os - Total - S�o Paulo - com ajuste sazonal - �ndice
03/1997;0,84 ;-;-;-;-;-;-;-;-;-
04/1997;0,78 ;-;-;-;-;-;-;-;-;-
05/1997;0,23 ;-;-;-;-;-;-;-;-;-
06/1997;1,00 ;-;-;-;-;-;-;-;-;-
07/1997;0,25 ;-;-;-;-;-;-;-;-;-
08/1997;-0,10 ;-;-;-;-;-;-;-;-;-
09/1997;0,12 ;-;-;-;-;-;-;-;-;-
10/1997;0,24 ;-;-;-;-;-;-;-;-;-
11/1997;0,00 ;-;-;-;-;-;-;-;-;-
12/1997;0,33 ;-;-;-;-;-;-;-;-;-
01/1998;0,45 ;-;-;-;-;-;-;-;-;-
02/1998;0,75 ;-;-;-;-;-;-;-;-;-
03/1998;0,22 ;-;-;-;-;-;-;-;-;-
04/1998;0,26 ;-;-;-;-;-;-;-;-;-
05/1998;0,70 ;-;-;-;-;-;-;-;-;-
06/1998;-0,15 ;-;-;-;-;-;-;-;-;-
07/1998;-0,30 ;-;-;-;-;-;-;-;-;-
08/1998;-0,33 ;-;-;-;-;-;-;-;-;-
09/1998;-0,25 ;-;-;-;-;-;-;-;-;-
10/1998;0,08 ;-;-;-;-;-;-;-;-;-
11/1998;-0,34 ;-;-;-;-;-;-;-;-;-
12/1998;0,20 ;-;-;-;-;-;-;-;-;-
01/1999;0,85 ;-;-;-;-;-;-;-;-;-
02/1999;1,22 ;-;-;-;-;-;-;-;-;-
03/1999;1,11 ;-;-;-;-;-;-;-;-;-
04/1999;0,33 ;-;-;-;-;-;-;-;-;-
05/1999;-0,01 ;-;-;-;-;-;-;-;-;-
06/1999;0,02 ;-;-;-;-;-;-;-;-;-
07/1999;0,48 ;-;-;-;-;-;-;-;-;-
08/1999;0,76 ;-;-;-;-;-;-;-;-;-
09/1999;0,54 ;-;-;-;-;-;-;-;-;-
10/1999;0,90 ;-;-;-;-;-;-;-;-;-
11/1999;0,69 ;-;-;-;-;-;-;-;-;-
12/1999;0,50 ;-;-;-;-;-;-;-;-;-
01/2000;0,34 ;-;-;-;-;-;-;-;-;-
02/2000;-0,23 ;-;-;-;-;-;-;-;-;-
03/2000;0,12 ;-;-;-;-;-;-;-;-;-
04/2000;0,13 ;-;-;-;-;-;-;-;-;-
05/2000;-0,08 ;-;-;-;-;-;-;-;-;-
06/2000;0,46 ;-;-;-;-;-;-;-;-;-
07/2000;1,58 ;-;-;-;-;-;-;-;-;-
08/2000;1,22 ;-;-;-;-;-;-;-;-;-
09/2000;0,20 ;-;-;-;-;-;-;-;-;-
10/2000;0,24 ;-;-;-;-;-;-;-;-;-
11/2000;0,06 ;-;-;-;-;-;-;-;-;-
12/2000;0,10 ;-;-;-;-;-;-;-;-;-
01/2001;0,29 ;-;-;-;-;-;-;-;-;-
02/2001;0,14 ;-;-;-;-;-;-;-;-;-
03/2001;0,43 ;-;-;-;-;-;-;-;-;-
04/2001;0,51 ;-;-;-;-;-;-;-;-;-
05/2001;0,45 ;-;-;-;-;-;-;-;-;-
06/2001;1,77 ;-;-;-;-;-;-;-;-;-
07/2001;1,66 ;-;-;-;-;-;-;-;-;-
08/2001;0,63 ;-;-;-;-;-;-;-;-;-
09/2001;0,13 ;-;-;-;-;-;-;-;-;-
10/2001;0,88 ;-;-;-;-;-;-;-;-;-
11/2001;2,08 ;-;-;-;-;-;-;-;-;-
12/2001;0,50 ;-;-;-;-;-;-;-;-;-
01/2002;0,52 ;-;-;-;-;-;-;68,6 ;-;-
02/2002;0,16 ;-;-;-;-;-;-;68,0 ;-;-
03/2002;0,48 ;-;-;-;-;-;-;74,8 ;-;-
04/2002;0,68 ;-;-;-;-;-;-;76,8 ;-;-
05/2002;0,23 ;-;-;-;-;-;-;79,6 ;-;-
06/2002;0,45 ;-;-;-;-;-;-;75,6 ;-;-
07/2002;1,45 ;-;-;-;-;-;-;81,7 ;-;-
08/2002;0,81 ;-;-;-;-;-;-;80,9 ;-;-
09/2002;0,50 ;-;-;-;-;-;-;80,3 ;-;-
10/2002;1,36 ;-;-;-;-;-;-;88,9 ;-;-
11/2002;3,09 ;-;-;-;-;-;-;81,2 ;-;-
12/2002;2,29 ;-;-;-;-;-;-;70,3 ;-;-
01/2003;2,68 ;-;-;-;-;-;-;69,4 ;99,75 ;-
02/2003;1,92 ;-;-;-;-;-;-;68,6 ;100,21 ;-
03/2003;1,09 ;-;-;-;-;-;-;73,8 ;99,69 ;-
04/2003;0,61 ;-;-;-;-;-;-;71,4 ;98,53 ;-
05/2003;0,62 ;-;-;-;-;-;-;76,5 ;97,64 ;-
06/2003;0,02 ;-;-;-;-;-;-;73,6 ;98,31 ;-
07/2003;0,17 ;-;-;-;-;-;-;77,7 ;98,53 ;-
08/2003;0,16 ;-;-;-;-;-;-;80,0 ;98,97 ;-
09/2003;0,94 ;-;-;-;-;-;-;83,9 ;99,24 ;-
10/2003;0,27 ;-;-;-;-;-;-;88,4 ;99,45 ;-
11/2003;0,18 ;-;-;-;-;-;-;83,8 ;100,37 ;-
12/2003;0,36 ;-;-;-;-;-;-;75,7 ;100,84 ;-
01/2004;0,32 ;40,90 ;63,60 ;13,60 ;25,50 ;69,20 ;51,20 ;74,3 ;101,73 ;-
02/2004;0,10 ;39,80 ;61,30 ;9,80 ;27,40 ;65,20 ;49,60 ;71,7 ;102,33 ;-
03/2004;0,54 ;45,70 ;60,40 ;16,60 ;26,60 ;79,20 ;55,70 ;84,8 ;103,60 ;-
04/2004;0,19 ;41,90 ;52,20 ;10,00 ;27,40 ;71,20 ;53,30 ;79,6 ;103,76 ;-
05/2004;0,43 ;44,60 ;52,10 ;13,00 ;30,80 ;73,10 ;55,60 ;84,8 ;104,05 ;-
06/2004;0,69 ;44,20 ;49,10 ;17,40 ;28,50 ;72,40 ;54,90 ;85,1 ;104,72 ;-
07/2004;1,22 ;44,10 ;50,00 ;13,00 ;29,50 ;77,90 ;56,10 ;89,5 ;105,41 ;-
08/2004;0,41 ;42,10 ;52,20 ;11,20 ;29,60 ;77,40 ;56,20 ;92,6 ;106,15 ;-
09/2004;0,28 ;41,20 ;47,10 ;17,30 ;28,60 ;74,30 ;55,20 ;95,3 ;108,26 ;-
10/2004;0,29 ;41,90 ;49,00 ;12,20 ;32,70 ;74,40 ;57,20 ;92,8 ;107,48 ;-
11/2004;0,42 ;41,90 ;49,30 ;11,40 ;33,50 ;76,60 ;58,00 ;91,7 ;107,54 ;-
12/2004;0,59 ;49,10 ;77,90 ;20,20 ;56,60 ;73,80 ;71,70 ;83,9 ;108,13 ;-
01/2005;0,38 ;40,00 ;59,00 ;10,00 ;30,90 ;69,20 ;54,30 ;79,5 ;108,50 ;-
02/2005;0,59 ;38,00 ;59,80 ;13,70 ;26,50 ;55,60 ;47,00 ;74,9 ;108,06 ;-
03/2005;1,35 ;45,10 ;57,00 ;24,50 ;32,60 ;63,80 ;55,90 ;85,7 ;108,41 ;-
04/2005;0,84 ;43,60 ;49,10 ;23,00 ;31,70 ;63,10 ;53,30 ;84,1 ;108,59 ;-
05/2005;0,55 ;47,00 ;51,20 ;20,70 ;34,50 ;62,80 ;54,90 ;90,2 ;109,14 ;-
06/2005;-0,05 ;46,90 ;46,60 ;27,90 ;32,50 ;65,40 ;55,00 ;91,2 ;109,55 ;-
07/2005;-0,28 ;44,60 ;47,30 ;25,10 ;34,10 ;63,80 ;54,90 ;90,3 ;109,29 ;-
08/2005;-0,26 ;47,70 ;52,50 ;21,40 ;35,20 ;67,40 ;58,30 ;96,6 ;109,96 ;-
09/2005;0,30 ;44,70 ;47,20 ;23,10 ;32,60 ;62,70 ;55,10 ;93,3 ;109,78 ;-
10/2005;0,50 ;45,60 ;46,70 ;20,10 ;38,40 ;64,40 ;57,40 ;93,1 ;110,28 ;-
11/2005;0,13 ;45,40 ;49,20 ;21,70 ;38,50 ;69,20 ;59,60 ;92,2 ;111,28 ;-
12/2005;0,17 ;50,90 ;70,80 ;45,00 ;63,80 ;65,20 ;73,00 ;85,9 ;111,81 ;-
01/2006;-0,07 ;42,70 ;61,20 ;27,50 ;36,30 ;63,00 ;56,50 ;81,1 ;112,47 ;-
02/2006;0,15 ;40,30 ;60,40 ;20,40 ;31,50 ;54,90 ;47,80 ;78,5 ;112,80 ;-
03/2006;0,07 ;46,30 ;59,00 ;28,30 ;36,60 ;66,40 ;56,20 ;91,5 ;113,56 ;-
04/2006;-0,06 ;44,20 ;54,80 ;23,00 ;38,00 ;56,60 ;53,30 ;84,4 ;114,38 ;-
05/2006;0,11 ;46,20 ;55,50 ;28,80 ;41,80 ;65,70 ;57,90 ;95,9 ;114,86 ;-
06/2006;-0,14 ;46,00 ;47,20 ;32,40 ;38,80 ;75,80 ;54,00 ;92,1 ;114,14 ;-
07/2006;0,12 ;44,60 ;50,40 ;31,20 ;40,20 ;80,90 ;57,70 ;94,7 ;115,46 ;-
08/2006;0,02 ;46,00 ;52,50 ;25,40 ;44,90 ;84,70 ;60,40 ;100,3 ;115,36 ;-
09/2006;0,19 ;45,10 ;48,70 ;28,60 ;46,00 ;78,90 ;58,70 ;94,2 ;115,34 ;-
10/2006;0,39 ;46,30 ;47,50 ;23,20 ;51,90 ;80,60 ;62,20 ;97,6 ;116,49 ;-
11/2006;0,42 ;45,80 ;47,80 ;24,00 ;50,50 ;81,40 ;62,80 ;94,5 ;116,83 ;-
12/2006;1,48 ;50,80 ;71,80 ;49,30 ;83,10 ;61,70 ;74,80 ;85,1 ;117,88 ;-
01/2007;0,40 ;44,80 ;64,70 ;24,20 ;48,00 ;69,70 ;59,00 ;83,3 ;118,27 ;-
02/2007;0,28 ;41,50 ;66,10 ;23,40 ;42,30 ;58,30 ;53,80 ;81,3 ;119,44 ;-
03/2007;0,29 ;48,70 ;67,80 ;33,60 ;52,70 ;66,00 ;63,70 ;93,8 ;119,62 ;-
04/2007;0,26 ;46,50 ;67,70 ;32,00 ;55,60 ;62,80 ;62,30 ;88,0 ;121,08 ;-
05/2007;0,26 ;49,30 ;67,40 ;32,80 ;62,60 ;84,50 ;67,00 ;98,6 ;121,91 ;-
06/2007;0,51 ;50,30 ;64,60 ;38,90 ;56,10 ;83,90 ;64,40 ;97,8 ;123,28 ;-
07/2007;-0,18 ;48,70 ;64,60 ;41,50 ;57,40 ;87,20 ;66,50 ;100,8 ;124,56 ;-
08/2007;0,51 ;51,00 ;73,30 ;36,10 ;62,90 ;94,10 ;70,90 ;106,1 ;125,47 ;-
09/2007;0,27 ;49,00 ;64,60 ;38,90 ;57,50 ;88,90 ;66,60 ;102,3 ;127,09 ;-
10/2007;0,16 ;50,80 ;55,70 ;33,20 ;67,50 ;94,30 ;72,90 ;109,4 ;127,82 ;-
11/2007;0,38 ;48,40 ;57,40 ;37,40 ;72,10 ;95,90 ;72,80 ;102,1 ;128,30 ;-
12/2007;0,73 ;57,10 ;80,70 ;81,20 ;112,00 ;69,00 ;84,20 ;90,7 ;128,09 ;-
01/2008;0,64 ;51,50 ;79,40 ;29,00 ;67,30 ;74,30 ;67,70 ;93,5 ;128,92 ;-
02/2008;0,18 ;47,90 ;82,50 ;34,00 ;58,30 ;69,90 ;64,70 ;89,6 ;128,24 ;-
03/2008;0,45 ;53,80 ;84,60 ;44,20 ;69,40 ;72,80 ;73,60 ;97,2 ;130,52 ;-
04/2008;0,54 ;54,90 ;78,90 ;35,70 ;62,60 ;76,40 ;72,70 ;100,0 ;132,02 ;-
05/2008;1,13 ;57,80 ;75,00 ;45,70 ;75,70 ;89,10 ;76,40 ;104,7 ;132,16 ;-
06/2008;1,09 ;55,00 ;72,40 ;55,20 ;68,10 ;89,50 ;75,70 ;107,1 ;133,52 ;-
07/2008;0,68 ;57,80 ;67,70 ;44,10 ;69,40 ;102,80 ;77,70 ;111,1 ;134,21 ;-
08/2008;0,41 ;56,80 ;71,50 ;47,80 ;74,30 ;95,90 ;76,60 ;109,0 ;133,95 ;-
09/2008;0,32 ;58,50 ;66,40 ;55,00 ;70,20 ;100,10 ;79,40 ;110,2 ;135,44 ;-
10/2008;0,60 ;60,20 ;56,10 ;47,60 ;80,20 ;99,70 ;75,00 ;111,5 ;133,92 ;-
11/2008;0,08 ;57,50 ;63,30 ;40,40 ;77,10 ;88,20 ;70,10 ;99,6 ;133,09 ;-
12/2008;0,08 ;67,20 ;91,00 ;109,20 ;116,80 ;66,30 ;85,80 ;78,7 ;129,52 ;-
01/2009;0,28 ;56,80 ;96,90 ;32,60 ;67,60 ;63,40 ;70,40 ;78,9 ;130,39 ;-
02/2009;0,38 ;53,80 ;85,30 ;35,40 ;62,10 ;60,10 ;66,50 ;75,7 ;130,70 ;-
03/2009;0,42 ;62,60 ;92,10 ;45,40 ;71,50 ;67,20 ;78,40 ;88,4 ;131,22 ;-
04/2009;0,63 ;60,50 ;74,20 ;52,20 ;70,90 ;62,10 ;73,30 ;85,7 ;131,55 ;-
05/2009;0,35 ;62,50 ;78,10 ;39,60 ;82,60 ;83,20 ;79,30 ;93,5 ;132,25 ;-
06/2009;0,47 ;60,90 ;74,70 ;65,90 ;76,50 ;87,30 ;84,60 ;93,4 ;133,02 ;-
07/2009;0,79 ;63,40 ;77,50 ;47,20 ;72,80 ;89,10 ;78,70 ;99,3 ;131,30 ;-
08/2009;0,16 ;64,50 ;85,80 ;37,60 ;78,90 ;88,10 ;81,90 ;102,1 ;132,40 ;-
09/2009;0,24 ;62,40 ;79,10 ;51,00 ;74,80 ;88,00 ;86,60 ;101,7 ;134,21 ;-
10/2009;0,25 ;65,50 ;70,60 ;42,80 ;86,90 ;92,10 ;84,60 ;106,9 ;135,18 ;-
11/2009;0,31 ;62,70 ;66,60 ;42,00 ;82,00 ;90,20 ;82,70 ;102,2 ;135,72 ;-
12/2009;0,30 ;72,30 ;102,00 ;92,50 ;121,60 ;68,70 ;97,70 ;94,3 ;137,28 ;-
01/2010;1,55 ;61,90 ;112,50 ;48,50 ;74,90 ;67,20 ;77,80 ;89,5 ;137,68 ;-
02/2010;0,67 ;62,20 ;93,60 ;38,60 ;67,30 ;67,10 ;76,10 ;89,0 ;138,40 ;-
03/2010;0,45 ;71,60 ;104,00 ;59,40 ;77,20 ;80,80 ;95,70 ;102,7 ;139,60 ;-
04/2010;0,61 ;67,60 ;87,40 ;49,50 ;77,00 ;74,90 ;81,30 ;98,5 ;139,39 ;-
05/2010;0,30 ;68,50 ;90,70 ;50,90 ;87,10 ;95,90 ;85,60 ;103,9 ;139,89 ;-
06/2010;-0,14 ;65,90 ;79,00 ;80,70 ;85,80 ;93,30 ;84,70 ;103,2 ;140,41 ;-
07/2010;-0,01 ;68,40 ;85,00 ;57,10 ;84,20 ;99,20 ;87,50 ;107,6 ;140,41 ;-
08/2010;0,07 ;71,00 ;98,00 ;47,50 ;88,60 ;104,20 ;93,00 ;112,1 ;141,86 ;-
09/2010;0,80 ;68,00 ;88,10 ;70,90 ;84,70 ;102,60 ;89,90 ;110,4 ;141,57 ;-
10/2010;1,01 ;71,30 ;87,10 ;41,80 ;93,40 ;96,90 ;93,50 ;109,5 ;141,77 ;-
11/2010;0,85 ;70,20 ;93,40 ;58,20 ;90,00 ;102,10 ;95,40 ;107,2 ;142,72 ;-
12/2010;0,74 ;80,40 ;146,10 ;126,20 ;134,40 ;78,00 ;110,40 ;95,8 ;142,63 ;-
01/2011;1,13 ;69,40 ;124,30 ;48,00 ;74,90 ;76,10 ;85,00 ;92,5 ;144,06 ;87,20
02/2011;0,75 ;65,70 ;107,70 ;48,00 ;71,60 ;77,00 ;84,10 ;96,0 ;144,47 ;87,90
03/2011;0,55 ;73,40 ;105,70 ;71,10 ;82,30 ;83,40 ;92,00 ;105,5 ;145,28 ;87,60
04/2011;0,81 ;72,50 ;91,30 ;50,50 ;80,40 ;79,10 ;89,70 ;95,4 ;143,14 ;89,30
05/2011;0,33 ;75,90 ;99,40 ;69,30 ;86,10 ;104,60 ;96,40 ;108,1 ;144,93 ;89,70
06/2011;0,24 ;73,40 ;90,40 ;121,60 ;83,50 ;101,10 ;92,20 ;103,9 ;145,18 ;90,00
07/2011;-0,07 ;76,10 ;94,50 ;65,40 ;84,70 ;104,30 ;93,50 ;108,0 ;145,84 ;90,60
08/2011;0,50 ;77,00 ;106,70 ;67,00 ;86,20 ;107,70 ;96,10 ;115,9 ;145,67 ;91,00
09/2011;0,55 ;77,10 ;93,70 ;77,00 ;84,80 ;106,60 ;93,90 ;107,7 ;145,49 ;89,60
10/2011;0,38 ;76,70 ;94,50 ;65,10 ;90,10 ;102,50 ;95,20 ;106,7 ;145,21 ;89,50
11/2011;0,59 ;75,80 ;99,80 ;77,80 ;88,00 ;106,90 ;98,80 ;102,7 ;145,76 ;90,20
12/2011;0,43 ;85,10 ;137,00 ;189,00 ;136,90 ;80,30 ;115,60 ;93,4 ;145,55 ;89,80
01/2012;0,40 ;72,30 ;151,20 ;72,70 ;88,80 ;96,50 ;94,20 ;84,9 ;144,44 ;90,40
02/2012;0,23 ;73,10 ;114,40 ;80,60 ;73,10 ;91,80 ;88,90 ;87,9 ;145,83 ;90,70
03/2012;-0,06 ;82,90 ;104,60 ;90,10 ;83,10 ;102,10 ;103,10 ;98,7 ;145,91 ;91,60
04/2012;0,79 ;79,60 ;90,30 ;75,40 ;79,80 ;96,50 ;95,60 ;90,0 ;146,13 ;91,00
05/2012;0,37 ;86,60 ;99,30 ;94,50 ;89,20 ;100,50 ;102,60 ;101,7 ;147,08 ;92,60
06/2012;0,15 ;82,10 ;97,60 ;81,40 ;83,60 ;92,90 ;104,20 ;97,3 ;147,56 ;91,80
07/2012;0,32 ;83,20 ;98,20 ;76,00 ;85,40 ;101,40 ;105,00 ;108,0 ;150,00 ;92,90
08/2012;0,27 ;85,80 ;115,10 ;85,00 ;91,20 ;113,50 ;112,90 ;117,1 ;150,83 ;93,90
09/2012;0,54 ;80,70 ;98,80 ;81,30 ;81,40 ;100,60 ;97,60 ;107,1 ;149,73 ;94,00
10/2012;0,67 ;83,50 ;107,30 ;80,60 ;94,90 ;113,00 ;108,30 ;115,0 ;151,54 ;94,10
11/2012;0,44 ;81,50 ;115,00 ;80,00 ;99,90 ;106,80 ;104,40 ;104,5 ;150,66 ;93,80
12/2012;0,51 ;86,10 ;140,20 ;114,40 ;132,50 ;94,40 ;125,60 ;87,7 ;151,21 ;96,10
01/2013;1,02 ;78,90 ;162,20 ;83,50 ;90,40 ;101,40 ;99,10 ;91,1 ;150,78 ;96,30
02/2013;0,46 ;75,50 ;120,30 ;91,10 ;69,10 ;91,00 ;90,50 ;87,4 ;150,15 ;97,20
03/2013;0,45 ;84,10 ;108,30 ;90,60 ;84,70 ;102,20 ;106,50 ;97,5 ;151,21 ;94,30
04/2013;0,53 ;87,40 ;96,60 ;79,50 ;79,50 ;107,30 ;101,40 ;102,8 ;152,34 ;97,70
05/2013;0,23 ;91,90 ;94,80 ;82,50 ;89,00 ;105,90 ;105,90 ;107,7 ;154,03 ;96,90
06/2013;0,49 ;87,50 ;90,00 ;88,80 ;84,00 ;100,10 ;102,30 ;104,9 ;153,56 ;97,30
07/2013;-0,21 ;94,00 ;95,70 ;84,10 ;90,00 ;106,80 ;106,70 ;111,3 ;153,81 ;97,00
08/2013;0,18 ;94,80 ;105,70 ;101,00 ;95,20 ;112,30 ;111,40 ;118,8 ;154,46 ;96,40
09/2013;0,27 ;92,70 ;93,50 ;105,50 ;95,80 ;107,50 ;104,10 ;113,3 ;155,35 ;97,60
10/2013;0,74 ;97,10 ;99,40 ;107,70 ;110,00 ;112,10 ;111,30 ;114,8 ;153,95 ;99,20
11/2013;0,44 ;94,30 ;109,30 ;104,80 ;95,20 ;106,90 ;111,50 ;105,8 ;155,09 ;99,50
12/2013;0,71 ;100,70 ;142,90 ;133,00 ;148,20 ;93,00 ;129,00 ;83,2 ;153,48 ;99,50
01/2014;0,60 ;93,50 ;149,30 ;80,70 ;103,50 ;103,40 ;103,30 ;86,0 ;153,80 ;102,80
02/2014;0,83 ;89,70 ;112,30 ;93,70 ;88,60 ;106,10 ;96,60 ;88,5 ;153,26 ;98,50
03/2014;0,84 ;96,40 ;97,10 ;92,50 ;87,60 ;99,60 ;98,00 ;92,6 ;152,64 ;99,50
04/2014;0,54 ;95,70 ;83,50 ;82,10 ;90,10 ;96,80 ;97,50 ;93,8 ;152,84 ;99,30
05/2014;0,10 ;102,80 ;93,60 ;91,90 ;96,90 ;101,80 ;101,60 ;104,0 ;152,28 ;99,20
06/2014;0,20 ;95,70 ;77,40 ;90,60 ;87,40 ;87,00 ;91,50 ;98,8 ;151,12 ;98,40
