Data;1471;1486;1499;1525;1551;7492;13003;13004;14006;14033;14060;15865;15897;15929;20163;20165;20168;21945;24839;25416;28031
2011-01-01;80.47;92.08;86.08;76.45;93.4;208.52;0.53;0.57;29456.17;31191.17;60647.0;5.0;2.12;3.28;65.9;104.87;85.97;96.88;87.15;140.24;88.42
2011-02-01;80.94;92.91;86.69;76.9;93.73;208.25;0.51;0.47;29740.0;31530.57;61270.29;5.01;2.15;3.31;66.44;104.7;86.76;96.91;87.73;140.45;88.49
2011-03-01;81.39;93.79;87.05;77.24;94.04;208.38;0.49;0.46;30004.88;31946.0;61950.75;5.02;2.18;3.33;67.34;102.3;87.91;96.75;88.3;140.56;88.88
2011-04-01;81.34;93.83;87.06;77.14;93.67;208.35;0.51;0.48;30312.0;32363.67;62675.56;5.03;2.21;3.35;67.62;104.59;88.39;96.79;88.42;140.61;89.16
2011-05-01;81.63;94.72;87.41;76.94;92.75;208.03;0.46;0.43;30609.1;32704.0;63313.1;5.07;2.24;3.38;67.82;106.89;88.31;97.02;88.39;140.68;89.07
2011-06-01;81.96;95.13;87.5;77.69;92.71;207.76;0.49;0.46;30917.27;33004.36;63921.64;5.15;2.27;3.44;68.0;106.3;88.88;96.45;88.59;140.64;89.25
2011-07-01;84.89;95.57;89.78;81.98;93.87;207.85;0.53;0.49;31242.17;33464.25;64706.33;5.22;2.3;3.48;68.98;106.05;89.74;95.91;89.48;140.52;89.47
2011-08-01;85.41;96.14;90.42;82.84;94.54;208.24;0.48;0.41;31795.0;34132.08;65927.0;5.23;2.37;3.53;69.06;105.22;90.09;96.26;89.81;140.62;89.8
2011-09-01;85.98;96.98;91.31;83.78;93.9;207.75;0.45;0.41;32341.92;34706.75;67048.58;5.34;2.47;3.65;69.03;105.61;89.81;96.96;90.0;140.89;90.01
2011-10-01;86.9;98.07;92.04;85.12;95.05;207.01;0.45;0.4;32915.58;35317.58;68233.17;5.44;2.57;3.76;69.54;106.96;91.28;96.97;90.36;140.93;90.37
2011-11-01;87.45;99.68;92.24;85.43;95.32;208.23;0.43;0.38;33499.92;35878.58;69378.42;5.51;2.64;3.85;70.02;111.36;91.9;97.16;90.68;141.06;90.68
2011-12-01;88.11;100.59;92.66;86.3;95.2;210.38;0.44;0.38;34105.17;36393.33;70498.5;5.58;2.69;3.93;70.63;114.49;92.32;97.17;90.93;141.23;90.92
2012-01-01;89.05;101.53;93.22;87.28;97.99;211.09;0.45;0.44;34718.17;36879.58;71597.75;5.65;2.75;4.02;71.23;119.07;92.66;96.67;91.05;141.41;91.07
2012-02-01;89.73;102.38;93.3;87.78;99.48;212.1;0.47;0.5;35311.83;37368.83;72680.67;5.71;2.8;4.09;72.19;123.16;93.0;96.71;91.12;141.46;91.13
2012-03-01;90.48;102.97;93.37;88.95;102.98;213.43;0.47;0.5;35930.17;37787.17;73717.25;5.76;2.84;4.16;72.7;128.28;93.85;97.01;91.09;141.63;91.11
2012-04-01;91.23;103.63;94.03;89.41;102.62;214.23;0.45;0.5;36487.17;38136.25;74623.33;5.81;2.88;4.23;73.26;129.87;93.86;97.19;91.08;141.9;91.1
2012-05-01;92.03;103.16;94.67;90.57;105.33;215.72;0.53;0.57;37070.17;38500.17;75570.17;5.83;2.91;4.28;74.23;131.68;94.72;97.14;91.62;142.27;91.62
2012-06-01;92.63;102.44;95.42;91.08;106.42;217.0;0.52;0.56;37671.58;38983.0;76654.42;5.79;2.92;4.29;74.62;136.18;95.6;98.45;91.76;142.75;91.77
2012-07-01;93.12;101.78;96.08;91.09;108.2;218.53;0.5;0.55;38293.92;39360.5;77654.33;5.75;2.93;4.3;74.51;140.11;95.05;99.91;91.85;143.45;91.82
2012-08-01;93.49;101.01;96.43;91.94;108.95;222.98;0.55;0.59;38933.25;39773.92;78707.17;5.74;2.93;4.31;74.78;140.11;95.89;100.82;92.03;144.02;92.01
2012-09-01;93.16;99.19;96.14;91.73;108.93;228.44;0.57;0.61;39566.17;40288.0;79854.17;5.69;2.91;4.28;74.98;138.39;96.44;101.63;92.14;144.59;92.12
