Data;1471;1486;1499;1525;1551;7492;13003;13004;14006;14033;14060;15865;15897;15929;20163;20165;20168;21945;24839;25416;28031
2011-01-01;80.5;91.4;83.4;82.1;91.1;209.49;0.95;1.14;28431;29406;57837;5.4;1.94;3.35;64.4;126.6;89.9;94.5;88.4;139.41;88.2
2011-02-01;76.1;87.6;80.2;73.5;95.9;210.44;0.69;0.5;28802;30188;58990;4.8;2.06;3.17;62.5;104.2;85.5;87.3;84.3;138.68;89.1
2011-03-01;80.9;91.1;89.0;78.4;94.4;220.75;0.33;0.27;29060;30568;59627;4.86;1.99;3.15;66.7;121.3;81.6;97.8;88.5;140.34;88.3
2011-04-01;80.1;90.5;91.3;69.6;88.7;203.38;0.63;0.58;29585;31472;61058;4.98;2.14;3.28;64.8;81.1;80.1;95.5;86.0;140.06;87.2
2011-05-01;82.9;95.2;86.4;82.8;103.1;202.4;0.6;0.79;30089;32428;62516;4.98;2.34;3.4;70.0;103.4;95.2;100.5;88.1;140.72;87.9
2011-06-01;82.3;96.7;86.2;72.3;87.2;204.69;0.0;0.14;30770;33085;63854;4.99;2.24;3.35;67.0;92.6;83.5;105.7;87.6;142.22;89.8
2011-07-01;83.8;97.9;90.3;79.6;95.7;206.58;0.35;-0.1;31443;33567;65010;5.08;2.36;3.46;69.7;103.7;91.5;97.1;91.2;141.74;88.9
2011-08-01;84.5;99.9;89.6;79.6;96.2;209.35;0.36;0.36;31859;34854;66714;5.1;2.36;3.46;73.6;85.5;96.0;95.6;92.3;141.33;91.6
2011-09-01;81.0;94.2;87.1;76.4;90.7;208.07;0.72;0.67;32769;35705;68474;5.12;2.44;3.51;69.9;122.9;92.2;97.1;89.4;140.98;91.4
2011-10-01;84.2;102.7;90.6;75.1;84.5;205.12;0.0;-0.04;33283;35767;69051;5.36;2.51;3.66;69.6;127.6;87.6;99.1;88.1;141.33;88.3
2011-11-01;85.3;99.2;88.4;85.2;92.3;205.11;0.71;0.71;33999;36008;70007;6.01;2.62;4.0;69.8;100.4;94.6;90.7;90.6;140.23;91.0
2011-12-01;117.1;100.4;114.9;129.1;106.6;208.82;0.98;0.83;34816;38523;73338;6.0;2.56;3.93;79.8;103.3;99.2;90.0;99.3;139.15;91.9
2012-01-01;86.7;98.3;91.1;92.5;99.2;214.21;0.34;0.26;35065;37420;72485;5.5;2.8;4.0;65.3;116.6;94.1;98.7;92.3;140.72;92.2
2012-02-01;82.9;97.6;90.8;84.8;88.2;204.53;0.39;0.46;35365;37084;72449;6.12;3.26;4.57;62.2;108.9;82.1;95.7;86.6;141.87;91.6
2012-03-01;92.0;104.2;97.8;94.4;108.2;211.9;0.3;0.14;35944;37898;73842;6.02;3.15;4.47;72.8;137.5;99.3;97.9;92.8;140.78;92.6
2012-04-01;86.7;109.9;93.7;73.4;91.9;217.92;0.38;0.32;36597;38204;74801;5.82;2.99;4.38;70.6;133.9;87.5;97.8;89.9;141.69;91.0
2012-05-01;90.8;106.1;91.4;93.2;101.7;228.25;0.72;0.84;37352;38605;75957;5.89;2.97;4.41;77.3;141.0;100.3;100.6;91.1;142.69;90.8
2012-06-01;93.6;108.0;93.0;84.0;120.7;213.2;0.18;0.82;38126;38920;77045;5.77;2.97;4.36;74.2;147.5;87.5;99.7;89.0;144.38;91.6
2012-07-01;91.9;108.0;91.2;85.7;113.6;218.78;0.56;0.69;38567;39438;78005;5.79;2.94;4.35;81.2;152.8;95.6;97.6;92.1;142.4;89.6
2012-08-01;93.6;107.0;90.4;93.6;138.1;225.23;0.32;0.29;39279;39874;79153;5.77;2.92;4.33;79.7;147.0;106.2;99.2;91.9;143.37;91.3
2012-09-01;89.9;102.2;95.1;81.9;86.4;217.71;0.56;0.68;39453;39894;79347;5.66;2.88;4.26;76.6;141.9;92.3;99.3;89.3;144.21;91.3
2012-10-01;93.8;97.0;98.2;89.0;117.1;223.0;0.87;0.81;40279;40134;80413;5.61;2.86;4.24;81.3;149.4;97.9;98.5;94.5;145.75;94.6
2012-11-01;92.6;90.6;97.4;91.4;105.3;220.49;0.66;0.55;41216;41802;83018;5.59;2.71;4.14;74.5;154.3;105.2;106.4;92.3;146.0;92.7
2012-12-01;122.9;92.5;122.8;129.2;128.0;227.12;0.76;0.71;42284;43053;85337;5.49;2.67;4.07;78.4;150.5;92.6;107.5;100.4;147.48;92.6
