Data;1461;14004;14031;14058;15863;15895;15927;24004
2011-01-01;71.00 ;2302;746;3049;7.94 ;3.82 ;6.73 ;82.00
2011-02-01;65.20 ;2299;743;3042;7.20 ;3.57 ;6.13 ;78.30
2011-03-01;65.70 ;2321;763;3084;7.22 ;3.33 ;6.07 ;84.90
2011-04-01;65.40 ;2340;768;3107;6.30 ;3.37 ;5.43 ;85.60
2011-05-01;71.90 ;2369;783;3152;6.50 ;3.58 ;5.64 ;89.70
2011-06-01;75.00 ;2400;794;3194;6.36 ;3.92 ;5.64 ;92.70
2011-07-01;76.20 ;2424;805;3229;6.44 ;4.10 ;5.75 ;92.50
2011-08-01;77.70 ;2447;814;3261;6.73 ;4.28 ;6.01 ;95.70
2011-09-01;73.50 ;2479;837;3316;6.99 ;4.44 ;6.23 ;92.40
2011-10-01;76.80 ;2518;850;3367;7.25 ;4.52 ;6.43 ;94.90
2011-11-01;76.70 ;2532;870;3402;8.41 ;4.88 ;7.33 ;99.60
2011-12-01;109.60 ;2549;975;3524;8.60 ;4.49 ;7.25 ;107.90
2012-01-01;81.00 ;2701;983;3684;7.05 ;4.74 ;6.39 ;93.20
2012-02-01;75.50 ;2712;996;3708;7.57 ;4.73 ;6.77 ;95.90
2012-03-01;79.60 ;2707;1001;3708;7.57 ;4.40 ;6.67 ;100.30
2012-04-01;74.90 ;2674;1007;3681;7.99 ;3.98 ;6.90 ;99.60
2012-05-01;86.50 ;2693;1085;3777;7.87 ;3.51 ;6.62 ;105.90
2012-06-01;87.30 ;2706;1098;3804;7.73 ;3.57 ;6.53 ;105.20
2012-07-01;89.90 ;2703;1100;3803;7.58 ;3.57 ;6.42 ;107.20
2012-08-01;97.60 ;2725;1125;3850;7.39 ;3.79 ;6.34 ;110.40
2012-09-01;91.80 ;2726;1111;3837;7.20 ;3.71 ;6.19 ;103.70
2012-10-01;90.80 ;2750;1127;3877;6.99 ;3.71 ;6.04 ;106.20
2012-11-01;90.90 ;2704;1146;3851;6.85 ;3.95 ;5.99 ;108.30
2012-12-01;122.50 ;2777;1586;4362;6.62 ;2.71 ;5.20 ;118.40
2013-01-01;83.70 ;2784;1598;4382;6.44 ;2.77 ;5.10 ;104.50
2013-02-01;77.70 ;2781;1603;4385;6.29 ;2.86 ;5.04 ;95.20
2013-03-01;83.20 ;2790;1625;4415;6.21 ;3.02 ;5.04 ;101.40
2013-04-01;81.20 ;2819;1631;4450;5.97 ;3.22 ;4.96 ;99.30
2013-05-01;88.10 ;2848;1645;4493;6.18 ;3.01 ;5.02 ;104.50
2013-06-01;91.40 ;2884;1629;4513;5.98 ;2.90 ;4.87 ;106.40
2013-07-01;97.30 ;2882;1628;4510;5.66 ;2.87 ;4.65 ;108.20
2013-08-01;96.40 ;2905;1657;4562;5.67 ;2.65 ;4.58 ;103.60
2013-09-01;90.40 ;2934;1947;4880;5.49 ;2.51 ;4.30 ;100.20
2013-10-01;92.70 ;2961;2228;5189;5.35 ;2.05 ;3.94 ;109.40
2013-11-01;94.90 ;2988;2272;5261;5.25 ;2.05 ;3.87 ;106.40
2013-12-01;123.80 ;3016;2273;5288;5.33 ;2.23 ;4.00 ;108.60
2014-01-01;86.00 ;3044;2253;5296;5.12 ;2.02 ;3.81 ;107.10
2014-02-01;84.70 ;3062;2597;5659;5.21 ;1.90 ;3.69 ;101.10
2014-03-01;91.20 ;3092;2599;5691;5.17 ;2.12 ;3.78 ;102.60
2014-04-01;92.30 ;3134;2605;5738;5.08 ;2.19 ;3.77 ;100.70
2014-05-01;97.10 ;3202;2631;5833;5.05 ;2.29 ;3.80 ;97.10
2014-06-01;95.20 ;3253;2668;5922;5.09 ;2.24 ;3.81 ;96.90
2014-07-01;104.50 ;3283;2644;5926;4.99 ;2.36 ;3.82 ;102.00
2014-08-01;102.50 ;3360;2658;6018;4.96 ;2.49 ;3.87 ;96.40
2014-09-01;98.90 ;3409;2676;6085;4.76 ;2.37 ;3.71 ;95.90
2014-10-01;105.60 ;3498;2705;6203;4.48 ;2.35 ;3.55 ;98.90
2014-11-01;111.40 ;3566;2731;6297;4.38 ;2.37 ;3.51 ;97.80
2014-12-01;130.70 ;3624;3060;6684;4.23 ;1.98 ;3.20 ;103.50
