Data;1475 - �ndice de volume de vendas no varejo - Total - S�o Paulo - �ndice;1490 - �ndice de volume de vendas no varejo - Combust�veis e lubrificantes - S�o Paulo - �ndice;1503 - �ndice de volume de vendas no varejo - Hipermercados, supermercados, produtos aliment�cios, bebidas e fumo - S�o Paulo - �ndice;1516 - �ndice de volume de vendas no varejo - Tecidos, vestu�rio e cal�ados - S�o Paulo - �ndice;1529 - �ndice de volume de vendas no varejo - M�veis e eletrodom�sticos - S�o Paulo - �ndice;1555 - �ndice de volume de vendas no varejo - Autom�veis, motocicletas, partes e pe�as - S�o Paulo - �ndice;1568 - �ndice de volume de vendas no varejo - Hipermercados e supermercados - S�o Paulo - �ndice;7493 - Cesta b�sica - S�o Paulo - u.m.c.;13024 - �ndice Nacional de Pre�os ao Consumidor Amplo - varia��o mensal - S�o Paulo - %;13025 - �ndice Nacional de Pre�os ao Consumidor - varia��o mensal - S�o Paulo - %
04/1996;-;-;-;-;-;-;-;-;1,77 ;1,67
05/1996;-;-;-;-;-;-;-;-;1,18 ;1,25
06/1996;-;-;-;-;-;-;-;-;1,60 ;2,01
07/1996;-;-;-;-;-;-;-;-;1,38 ;1,67
08/1996;-;-;-;-;-;-;-;-;0,44 ;0,52
09/1996;-;-;-;-;-;-;-;-;0,32 ;0,28
10/1996;-;-;-;-;-;-;-;-;0,47 ;0,72
11/1996;-;-;-;-;-;-;-;-;0,36 ;0,54
12/1996;-;-;-;-;-;-;-;-;0,44 ;0,38
01/1997;-;-;-;-;-;-;-;-;1,50 ;1,13
02/1997;-;-;-;-;-;-;-;-;0,60 ;0,76
03/1997;-;-;-;-;-;-;-;-;0,56 ;0,84
04/1997;-;-;-;-;-;-;-;-;0,84 ;0,78
05/1997;-;-;-;-;-;-;-;-;0,49 ;0,23
06/1997;-;-;-;-;-;-;-;-;0,90 ;1,00
07/1997;-;-;-;-;-;-;-;-;0,24 ;0,25
08/1997;-;-;-;-;-;-;-;-;-0,05 ;-0,10
09/1997;-;-;-;-;-;-;-;-;0,06 ;0,12
10/1997;-;-;-;-;-;-;-;-;0,18 ;0,24
11/1997;-;-;-;-;-;-;-;-;0,08 ;0,00
12/1997;-;-;-;-;-;-;-;-;0,22 ;0,33
01/1998;-;-;-;-;-;-;-;100,01 ;0,43 ;0,45
02/1998;-;-;-;-;-;-;-;99,65 ;0,59 ;0,75
03/1998;-;-;-;-;-;-;-;101,97 ;0,10 ;0,22
04/1998;-;-;-;-;-;-;-;106,30 ;0,09 ;0,26
05/1998;-;-;-;-;-;-;-;112,14 ;0,46 ;0,70
06/1998;-;-;-;-;-;-;-;111,47 ;-0,20 ;-0,15
07/1998;-;-;-;-;-;-;-;105,08 ;-0,13 ;-0,30
08/1998;-;-;-;-;-;-;-;101,43 ;-0,47 ;-0,33
09/1998;-;-;-;-;-;-;-;100,53 ;-0,20 ;-0,25
10/1998;-;-;-;-;-;-;-;102,49 ;0,06 ;0,08
11/1998;-;-;-;-;-;-;-;101,76 ;-0,21 ;-0,34
12/1998;-;-;-;-;-;-;-;102,09 ;0,23 ;0,20
01/1999;-;-;-;-;-;-;-;104,86 ;0,91 ;0,85
02/1999;-;-;-;-;-;-;-;106,75 ;0,84 ;1,22
03/1999;-;-;-;-;-;-;-;106,28 ;0,97 ;1,11
04/1999;-;-;-;-;-;-;-;104,54 ;0,35 ;0,33
05/1999;-;-;-;-;-;-;-;105,05 ;0,27 ;-0,01
06/1999;-;-;-;-;-;-;-;104,00 ;0,12 ;0,02
07/1999;-;-;-;-;-;-;-;103,03 ;0,81 ;0,48
08/1999;-;-;-;-;-;-;-;106,23 ;0,61 ;0,76
09/1999;-;-;-;-;-;-;-;108,17 ;0,36 ;0,54
10/1999;-;-;-;-;-;-;-;111,11 ;1,42 ;0,90
11/1999;-;-;-;-;-;-;-;111,91 ;0,83 ;0,69
12/1999;-;-;-;-;-;-;-;111,96 ;0,49 ;0,50
01/2000;45,40 ;89,10 ;49,40 ;49,00 ;27,80 ;85,80 ;48,50 ;112,22 ;0,67 ;0,34
02/2000;46,50 ;86,60 ;48,70 ;53,00 ;27,60 ;102,90 ;47,70 ;110,80 ;-0,23 ;-0,23
03/2000;49,10 ;91,30 ;51,80 ;56,80 ;29,90 ;97,60 ;51,00 ;115,13 ;0,14 ;0,12
04/2000;48,00 ;88,60 ;51,80 ;61,30 ;28,70 ;92,50 ;50,50 ;115,92 ;0,48 ;0,13
05/2000;50,20 ;86,40 ;49,90 ;77,00 ;33,40 ;102,50 ;48,70 ;111,78 ;-0,07 ;-0,08
06/2000;46,30 ;88,50 ;49,40 ;68,50 ;29,10 ;92,40 ;48,20 ;109,44 ;0,18 ;0,46
07/2000;48,90 ;88,50 ;51,50 ;68,20 ;31,70 ;102,50 ;50,70 ;111,43 ;1,75 ;1,58
08/2000;48,90 ;83,50 ;50,50 ;63,90 ;33,90 ;113,90 ;49,40 ;114,63 ;1,38 ;1,22
09/2000;48,20 ;81,70 ;50,80 ;58,10 ;32,50 ;97,40 ;49,90 ;119,47 ;0,12 ;0,20
10/2000;49,40 ;85,80 ;50,70 ;59,10 ;34,30 ;105,10 ;49,60 ;122,61 ;0,21 ;0,24
11/2000;49,70 ;83,00 ;50,40 ;69,20 ;36,00 ;105,20 ;49,10 ;121,61 ;0,13 ;0,06
12/2000;67,70 ;91,90 ;66,30 ;123,60 ;50,30 ;97,90 ;65,10 ;119,54 ;0,33 ;0,10
01/2001;45,70 ;86,40 ;50,10 ;50,80 ;32,20 ;104,40 ;48,70 ;123,36 ;0,25 ;0,29
02/2001;43,40 ;80,10 ;48,50 ;52,00 ;29,00 ;89,90 ;47,50 ;123,44 ;0,29 ;0,14
03/2001;49,10 ;86,10 ;53,80 ;60,10 ;33,80 ;110,50 ;52,50 ;124,76 ;0,30 ;0,43
04/2001;46,90 ;83,80 ;53,40 ;58,20 ;30,20 ;98,30 ;51,50 ;129,49 ;0,33 ;0,51
05/2001;47,60 ;85,60 ;50,30 ;77,30 ;33,60 ;97,20 ;49,10 ;129,78 ;0,28 ;0,45
06/2001;45,70 ;84,90 ;50,10 ;67,50 ;29,40 ;89,30 ;49,20 ;127,58 ;0,97 ;1,77
07/2001;46,10 ;86,70 ;50,20 ;62,30 ;31,10 ;97,70 ;49,40 ;125,68 ;1,77 ;1,66
08/2001;47,60 ;85,90 ;51,30 ;66,70 ;30,80 ;91,80 ;50,30 ;126,39 ;0,67 ;0,63
09/2001;46,50 ;83,30 ;51,90 ;59,00 ;31,00 ;76,50 ;51,10 ;125,01 ;0,09 ;0,13
10/2001;49,70 ;86,60 ;52,80 ;66,30 ;33,80 ;90,20 ;51,70 ;125,00 ;0,66 ;0,88
11/2001;48,60 ;84,40 ;52,40 ;73,00 ;33,90 ;84,50 ;51,60 ;127,28 ;0,56 ;2,08
12/2001;66,10 ;84,70 ;67,20 ;127,00 ;49,10 ;75,70 ;66,70 ;128,60 ;0,52 ;0,50
01/2002;44,40 ;81,30 ;50,60 ;51,20 ;32,80 ;78,50 ;49,80 ;128,63 ;0,19 ;0,52
02/2002;42,40 ;75,80 ;48,70 ;51,70 ;29,70 ;66,50 ;48,00 ;129,21 ;0,32 ;0,16
03/2002;49,20 ;87,40 ;57,60 ;59,10 ;30,90 ;76,00 ;56,80 ;129,89 ;0,42 ;0,48
04/2002;45,70 ;83,80 ;50,70 ;58,30 ;32,60 ;82,20 ;49,70 ;132,22 ;0,80 ;0,68
05/2002;48,20 ;82,40 ;53,40 ;72,90 ;33,50 ;72,00 ;52,70 ;129,26 ;0,34 ;0,23
06/2002;45,20 ;78,80 ;50,40 ;62,10 ;30,20 ;64,10 ;49,90 ;131,50 ;0,27 ;0,45
07/2002;46,40 ;87,10 ;50,90 ;66,90 ;29,80 ;71,40 ;50,60 ;134,64 ;1,30 ;1,45
08/2002;48,40 ;92,10 ;52,90 ;67,80 ;31,70 ;74,60 ;52,50 ;138,29 ;0,66 ;0,81
09/2002;45,20 ;89,30 ;49,40 ;58,50 ;30,30 ;73,50 ;49,10 ;140,45 ;0,59 ;0,50
10/2002;49,50 ;92,20 ;53,10 ;65,50 ;33,90 ;75,20 ;52,60 ;142,12 ;1,16 ;1,36
11/2002;48,00 ;83,50 ;52,20 ;71,60 ;31,40 ;67,70 ;51,60 ;154,74 ;2,88 ;3,09
12/2002;62,00 ;88,30 ;62,20 ;128,00 ;42,60 ;61,90 ;62,50 ;158,73 ;1,92 ;2,29
01/2003;42,80 ;76,00 ;48,90 ;52,20 ;27,90 ;62,30 ;48,60 ;162,79 ;2,28 ;2,68
02/2003;41,60 ;70,80 ;46,90 ;55,10 ;26,60 ;64,30 ;46,80 ;166,54 ;1,61 ;1,92
03/2003;43,80 ;75,50 ;50,70 ;58,90 ;26,10 ;56,30 ;50,50 ;174,59 ;1,03 ;1,09
04/2003;44,00 ;76,50 ;51,30 ;57,50 ;24,80 ;57,20 ;51,00 ;185,40 ;0,58 ;0,61
05/2003;45,70 ;78,00 ;50,80 ;66,90 ;29,00 ;56,00 ;50,70 ;175,95 ;0,39 ;0,62
06/2003;42,60 ;75,60 ;47,10 ;59,90 ;27,30 ;54,80 ;46,90 ;169,22 ;-0,15 ;0,02
07/2003;44,40 ;84,00 ;49,30 ;62,60 ;28,60 ;57,00 ;49,30 ;162,15 ;0,26 ;0,17
08/2003;46,10 ;83,00 ;51,20 ;64,40 ;30,50 ;54,70 ;51,10 ;158,34 ;0,24 ;0,16
09/2003;43,90 ;80,60 ;48,40 ;56,20 ;30,70 ;63,80 ;48,20 ;161,45 ;0,84 ;0,94
10/2003;47,60 ;86,40 ;51,50 ;64,80 ;34,60 ;67,10 ;51,30 ;162,58 ;0,21 ;0,27
11/2003;47,90 ;82,80 ;51,50 ;72,90 ;33,20 ;65,90 ;51,20 ;163,54 ;0,16 ;0,18
12/2003;63,20 ;84,10 ;63,20 ;130,70 ;52,40 ;66,60 ;63,70 ;164,79 ;0,44 ;0,36
01/2004;45,40 ;85,20 ;49,70 ;54,10 ;32,50 ;62,80 ;49,60 ;171,03 ;0,49 ;0,32
02/2004;44,40 ;79,00 ;48,80 ;50,90 ;32,70 ;60,50 ;48,70 ;167,00 ;0,45 ;0,10
03/2004;47,70 ;89,70 ;50,90 ;60,80 ;36,60 ;71,30 ;50,70 ;166,96 ;0,49 ;0,54
04/2004;48,20 ;85,70 ;53,40 ;59,20 ;35,50 ;63,40 ;53,30 ;165,00 ;0,29 ;0,19
05/2004;50,40 ;81,90 ;52,30 ;88,00 ;40,60 ;66,10 ;52,10 ;168,68 ;0,51 ;0,43
06/2004;48,10 ;85,50 ;50,20 ;73,70 ;37,80 ;69,00 ;50,20 ;174,90 ;0,88 ;0,69
07/2004;49,90 ;91,40 ;53,20 ;69,70 ;38,70 ;67,70 ;53,20 ;173,95 ;1,19 ;1,22
08/2004;48,70 ;87,80 ;52,30 ;63,00 ;39,10 ;71,40 ;52,30 ;182,26 ;0,57 ;0,41
09/2004;48,10 ;86,90 ;52,30 ;59,80 ;36,90 ;69,80 ;52,30 ;178,37 ;0,28 ;0,28
10/2004;51,20 ;89,10 ;56,00 ;62,90 ;39,90 ;69,40 ;56,10 ;177,14 ;0,58 ;0,29
11/2004;50,60 ;84,90 ;54,40 ;69,40 ;40,20 ;73,50 ;54,40 ;171,06 ;0,75 ;0,42
12/2004;70,30 ;90,80 ;70,20 ;134,10 ;65,60 ;77,10 ;70,30 ;172,20 ;0,70 ;0,59
01/2005;47,70 ;82,60 ;52,20 ;54,30 ;38,20 ;68,40 ;52,00 ;172,87 ;0,53 ;0,38
02/2005;43,30 ;67,10 ;47,60 ;49,60 ;35,40 ;55,60 ;46,20 ;175,04 ;0,68 ;0,59
03/2005;49,70 ;77,00 ;53,40 ;58,80 ;41,30 ;70,20 ;53,50 ;175,87 ;0,87 ;1,35
04/2005;48,40 ;76,50 ;50,00 ;69,40 ;42,80 ;64,40 ;50,10 ;180,93 ;0,73 ;0,84
05/2005;50,50 ;78,20 ;50,60 ;77,70 ;48,00 ;65,50 ;50,50 ;188,63 ;0,37 ;0,55
06/2005;48,90 ;79,20 ;49,10 ;70,50 ;45,70 ;68,70 ;48,90 ;183,14 ;-0,02 ;-0,05
07/2005;51,20 ;80,40 ;52,50 ;74,40 ;46,70 ;63,60 ;52,40 ;178,22 ;0,07 ;-0,28
08/2005;51,10 ;80,30 ;53,10 ;70,20 ;44,40 ;75,00 ;53,00 ;175,12 ;0,01 ;-0,26
09/2005;48,80 ;79,40 ;51,30 ;68,70 ;38,50 ;70,00 ;51,20 ;172,34 ;0,47 ;0,30
10/2005;52,20 ;80,00 ;54,90 ;72,00 ;43,70 ;69,90 ;54,80 ;174,77 ;0,92 ;0,50
11/2005;51,90 ;76,90 ;53,50 ;75,30 ;45,70 ;77,70 ;53,50 ;184,67 ;0,37 ;0,13
12/2005;72,90 ;84,90 ;70,40 ;144,60 ;70,00 ;77,70 ;70,60 ;183,43 ;0,26 ;0,17
01/2006;51,30 ;76,40 ;55,30 ;61,60 ;41,30 ;69,40 ;55,40 ;177,45 ;0,30 ;-0,07
02/2006;46,30 ;60,80 ;51,00 ;54,30 ;37,50 ;51,50 ;49,40 ;175,54 ;0,34 ;0,15
03/2006;51,20 ;65,80 ;55,50 ;60,30 ;42,70 ;67,60 ;53,70 ;177,28 ;0,37 ;0,07
04/2006;52,10 ;62,10 ;56,90 ;67,30 ;43,90 ;57,20 ;56,90 ;182,95 ;0,07 ;-0,06
05/2006;53,10 ;64,80 ;52,80 ;85,20 ;52,80 ;69,20 ;52,70 ;178,99 ;-0,01 ;0,11
06/2006;50,80 ;63,20 ;52,80 ;68,70 ;45,60 ;58,70 ;52,80 ;172,31 ;-0,30 ;-0,14
07/2006;52,10 ;72,50 ;54,40 ;69,70 ;45,20 ;67,70 ;54,40 ;170,50 ;0,15 ;0,12
08/2006;53,60 ;73,80 ;55,20 ;70,30 ;49,00 ;73,50 ;55,10 ;169,62 ;0,04 ;0,02
09/2006;53,50 ;70,40 ;55,80 ;69,10 ;47,80 ;68,50 ;55,70 ;172,10 ;0,18 ;0,19
10/2006;55,60 ;72,20 ;56,80 ;68,10 ;54,60 ;76,00 ;56,70 ;179,74 ;0,29 ;0,39
11/2006;55,90 ;73,30 ;56,70 ;79,10 ;53,60 ;77,00 ;56,60 ;185,29 ;0,26 ;0,42
12/2006;76,70 ;78,50 ;72,90 ;148,20 ;74,10 ;76,20 ;73,20 ;182,05 ;0,92 ;1,48
01/2007;54,10 ;74,20 ;54,40 ;66,70 ;55,40 ;70,10 ;54,50 ;184,72 ;0,50 ;0,40
02/2007;50,80 ;69,10 ;53,60 ;56,40 ;46,90 ;61,60 ;53,60 ;185,96 ;0,50 ;0,28
03/2007;58,40 ;74,90 ;60,30 ;67,10 ;54,80 ;77,90 ;60,30 ;192,86 ;0,30 ;0,29
04/2007;57,80 ;71,20 ;60,40 ;71,80 ;49,70 ;75,00 ;60,50 ;188,80 ;0,28 ;0,26
05/2007;60,80 ;70,60 ;58,60 ;100,30 ;59,20 ;80,20 ;58,70 ;184,93 ;0,29 ;0,26
06/2007;58,40 ;69,20 ;58,40 ;81,70 ;54,30 ;76,60 ;58,40 ;187,45 ;0,35 ;0,51
07/2007;58,60 ;71,80 ;58,80 ;78,50 ;54,20 ;82,90 ;58,90 ;186,98 ;-0,17 ;-0,18
08/2007;60,90 ;75,00 ;60,50 ;80,60 ;57,80 ;91,70 ;60,60 ;193,04 ;0,47 ;0,51
09/2007;60,30 ;74,50 ;62,10 ;73,20 ;55,20 ;78,90 ;62,20 ;194,34 ;0,19 ;0,27
10/2007;62,20 ;77,60 ;61,80 ;79,80 ;59,90 ;95,70 ;61,70 ;201,25 ;0,19 ;0,16
11/2007;64,60 ;79,90 ;62,60 ;92,20 ;64,90 ;89,40 ;62,50 ;205,48 ;0,36 ;0,38
12/2007;87,30 ;80,70 ;80,30 ;165,90 ;83,50 ;83,20 ;80,30 ;214,63 ;0,56 ;0,73
01/2008;62,20 ;80,90 ;60,60 ;77,60 ;63,50 ;81,30 ;60,50 ;229,09 ;0,55 ;0,64
02/2008;59,30 ;75,50 ;59,60 ;67,80 ;59,60 ;78,60 ;59,40 ;226,20 ;0,37 ;0,18
03/2008;67,70 ;83,00 ;68,10 ;80,50 ;65,50 ;90,20 ;67,90 ;223,94 ;0,42 ;0,45
04/2008;63,80 ;76,50 ;61,90 ;88,00 ;66,90 ;95,00 ;61,60 ;227,81 ;0,43 ;0,54
05/2008;70,40 ;83,30 ;65,70 ;111,60 ;74,40 ;90,70 ;65,40 ;233,92 ;0,88 ;1,13
06/2008;65,50 ;83,90 ;61,70 ;96,60 ;65,90 ;99,00 ;61,40 ;245,24 ;0,82 ;1,09
07/2008;66,40 ;90,10 ;63,90 ;86,80 ;66,80 ;101,10 ;63,60 ;252,13 ;0,54 ;0,68
08/2008;69,50 ;89,80 ;68,00 ;88,20 ;68,40 ;91,80 ;67,60 ;241,15 ;0,37 ;0,41
09/2008;67,70 ;87,70 ;64,70 ;86,00 ;70,20 ;104,90 ;64,20 ;234,68 ;0,36 ;0,32
10/2008;70,90 ;89,90 ;68,60 ;83,80 ;73,30 ;82,30 ;68,10 ;238,15 ;0,55 ;0,60
11/2008;69,70 ;82,80 ;68,90 ;88,40 ;68,50 ;69,90 ;68,40 ;238,66 ;0,17 ;0,08
12/2008;92,80 ;86,40 ;85,20 ;160,60 ;88,90 ;76,70 ;84,80 ;239,49 ;0,01 ;0,08
01/2009;67,60 ;81,00 ;67,80 ;75,90 ;70,10 ;80,90 ;67,40 ;241,53 ;0,24 ;0,28
02/2009;62,90 ;77,60 ;65,70 ;60,30 ;58,80 ;78,50 ;65,20 ;237,34 ;0,65 ;0,38
03/2009;68,80 ;85,50 ;70,70 ;70,70 ;61,40 ;105,50 ;70,10 ;221,90 ;0,30 ;0,42
04/2009;70,20 ;82,80 ;73,40 ;79,80 ;58,40 ;85,40 ;73,00 ;225,63 ;0,44 ;0,63
05/2009;73,20 ;84,40 ;73,40 ;95,30 ;66,30 ;95,30 ;73,00 ;227,36 ;0,31 ;0,35
06/2009;70,30 ;80,90 ;68,80 ;99,70 ;62,20 ;119,90 ;68,20 ;228,10 ;0,36 ;0,47
07/2009;71,70 ;84,90 ;72,20 ;86,60 ;68,20 ;95,50 ;71,70 ;227,17 ;0,57 ;0,79
08/2009;73,80 ;85,90 ;75,00 ;81,90 ;70,50 ;102,30 ;74,50 ;225,69 ;0,24 ;0,16
09/2009;72,00 ;86,20 ;72,20 ;78,40 ;71,40 ;123,40 ;71,60 ;229,89 ;0,21 ;0,24
10/2009;77,70 ;92,70 ;78,30 ;85,40 ;76,20 ;101,80 ;77,70 ;230,03 ;0,31 ;0,25
11/2009;76,80 ;89,10 ;76,40 ;93,60 ;78,90 ;97,70 ;75,80 ;234,99 ;0,36 ;0,31
12/2009;100,50 ;94,20 ;92,90 ;171,20 ;103,20 ;100,60 ;92,10 ;228,19 ;0,45 ;0,30
01/2010;75,60 ;88,60 ;75,20 ;74,20 ;83,80 ;87,90 ;74,50 ;225,02 ;1,00 ;1,55
02/2010;70,60 ;81,00 ;73,50 ;67,00 ;69,70 ;93,50 ;72,90 ;229,64 ;0,78 ;0,67
03/2010;80,00 ;90,60 ;81,70 ;82,30 ;78,10 ;138,60 ;81,00 ;253,74 ;0,30 ;0,45
04/2010;77,00 ;87,80 ;78,40 ;93,60 ;71,50 ;95,50 ;77,80 ;261,39 ;0,45 ;0,61
05/2010;80,70 ;92,90 ;79,40 ;108,50 ;78,00 ;97,90 ;78,70 ;256,31 ;0,33 ;0,30
06/2010;78,50 ;88,80 ;76,90 ;99,70 ;73,70 ;100,10 ;76,30 ;249,06 ;0,00 ;-0,14
07/2010;79,50 ;91,80 ;79,70 ;95,70 ;75,20 ;106,70 ;78,90 ;239,38 ;-0,01 ;-0,01
08/2010;81,00 ;94,90 ;80,30 ;93,60 ;80,50 ;121,40 ;79,50 ;235,65 ;0,00 ;0,07
09/2010;79,70 ;93,30 ;78,80 ;88,70 ;79,50 ;114,10 ;77,90 ;241,08 ;0,68 ;0,80
10/2010;83,60 ;96,80 ;83,20 ;96,40 ;84,90 ;119,10 ;82,30 ;253,79 ;0,79 ;1,01
11/2010;83,10 ;94,80 ;79,10 ;101,70 ;93,50 ;125,70 ;78,40 ;264,61 ;0,62 ;0,85
12/2010;110,70 ;101,10 ;98,70 ;193,40 ;117,90 ;120,60 ;98,00 ;265,15 ;0,70 ;0,74
01/2011;80,80 ;92,70 ;78,60 ;82,70 ;97,30 ;100,00 ;78,00 ;261,25 ;0,88 ;1,13
02/2011;74,60 ;88,40 ;75,50 ;77,00 ;76,50 ;110,30 ;74,80 ;261,18 ;1,00 ;0,75
03/2011;83,30 ;96,40 ;82,60 ;91,10 ;85,20 ;117,20 ;81,80 ;267,58 ;0,78 ;0,55
04/2011;83,40 ;89,60 ;85,60 ;92,90 ;82,90 ;109,50 ;84,80 ;268,52 ;0,79 ;0,81
05/2011;85,10 ;90,10 ;80,80 ;115,10 ;93,60 ;124,10 ;79,90 ;272,98 ;0,33 ;0,33
06/2011;83,60 ;90,30 ;78,50 ;113,60 ;84,30 ;113,60 ;77,70 ;273,48 ;0,21 ;0,24
07/2011;84,80 ;93,10 ;83,90 ;99,70 ;87,90 ;114,70 ;83,10 ;263,38 ;0,12 ;-0,07
08/2011;84,70 ;93,50 ;83,60 ;92,60 ;88,60 ;123,40 ;82,80 ;266,75 ;0,39 ;0,50
09/2011;83,70 ;91,10 ;81,90 ;88,50 ;90,20 ;118,20 ;81,10 ;267,19 ;0,51 ;0,55
10/2011;87,60 ;94,00 ;85,90 ;92,10 ;98,20 ;114,80 ;85,20 ;266,97 ;0,38 ;0,38
11/2011;88,30 ;92,50 ;84,70 ;99,30 ;103,50 ;125,10 ;84,10 ;276,31 ;0,52 ;0,59
