Data;191;225
2005-01-01;0.85;0.08
2005-02-01;0.43;0.39
2005-03-01;0.7;1.14
2005-04-01;0.88;0.33
2005-05-01;0.79;-0.98
2005-06-01;-0.05;-0.78
2005-07-01;0.13;-0.69
2005-08-01;-0.44;-1.04
2005-09-01;0.09;-0.28
2005-10-01;0.42;0.79
2005-11-01;0.57;0.24
2005-12-01;0.46;-0.14
2006-01-01;0.65;0.81
2006-02-01;0.01;-0.12
2006-03-01;0.22;-0.81
2006-04-01;0.34;-0.15
2006-05-01;-0.19;0.46
2006-06-01;-0.4;1.06
2006-07-01;0.06;0.17
2006-08-01;0.16;0.53
2006-09-01;0.19;0.28
2006-10-01;0.14;1.16
2006-11-01;0.24;0.75
2006-12-01;0.63;0.11
2007-01-01;0.69;0.32
2007-02-01;0.34;0.19
2007-03-01;0.48;0.11
2007-04-01;0.31;0.02
2007-05-01;0.25;-0.04
2007-06-01;0.42;0.09
2007-07-01;0.28;0.42
2007-08-01;0.42;1.96
2007-09-01;0.23;1.64
2007-10-01;0.13;1.02
2007-11-01;0.27;1.45
2007-12-01;0.7;1.9
2008-01-01;0.97;1.08
2008-02-01;0.0;0.52
2008-03-01;0.45;0.8
2008-04-01;0.72;1.3
2008-05-01;0.87;2.22
2008-06-01;0.77;2.29
2008-07-01;0.53;1.28
2008-08-01;0.14;-0.8
2008-09-01;-0.09;0.44
2008-10-01;0.47;1.36
2008-11-01;0.56;-0.17
2008-12-01;0.52;-0.88
2009-01-01;0.83;-0.33
2009-02-01;0.21;-0.31
2009-03-01;0.61;-1.46
2009-04-01;0.47;-0.1
2009-05-01;0.39;-0.1
2009-06-01;0.12;-0.64
2009-07-01;0.34;-1.16
2009-08-01;0.2;0.07
2009-09-01;0.18;0.29
2009-10-01;0.01;-0.08
2009-11-01;0.26;-0.04
2009-12-01;0.24;-0.29
2010-01-01;1.29;0.96
2010-02-01;0.68;1.38
2010-03-01;0.86;0.52
2010-04-01;0.76;0.68
2010-05-01;0.21;2.06
2010-06-01;-0.21;0.43
2010-07-01;-0.21;0.34
2010-08-01;-0.08;1.7
2010-09-01;0.46;1.47
2010-10-01;0.59;1.32
2010-11-01;1.0;1.98
2010-12-01;0.72;0.21
2011-01-01;1.27;0.96
2011-02-01;0.49;1.23
2011-03-01;0.71;0.6
2011-04-01;0.95;0.24
2011-05-01;0.51;-0.63
2011-06-01;-0.18;-0.19
2011-07-01;-0.04;-0.13
2011-08-01;0.4;0.77
2011-09-01;0.5;0.94
2011-10-01;0.26;0.48
2011-11-01;0.53;0.34
2011-12-01;0.79;-0.55
2012-01-01;0.81;0.01
2012-02-01;0.24;-0.03
2012-03-01;0.6;0.55
2012-04-01;0.52;1.25
2012-05-01;0.52;0.91
2012-06-01;0.11;0.89
2012-07-01;0.22;2.13
2012-08-01;0.44;1.77
2012-09-01;0.54;1.11
2012-10-01;0.48;-0.68
2012-11-01;0.45;0.16
2012-12-01;0.66;0.74
2013-01-01;1.01;0.0
2013-02-01;0.33;0.09
2013-03-01;0.72;0.12
2013-04-01;0.52;-0.39
2013-05-01;0.32;0.01
2013-06-01;0.35;0.85
2013-07-01;-0.17;0.2
2013-08-01;0.2;0.58
2013-09-01;0.3;1.9
2013-10-01;0.55;0.71
2013-11-01;0.68;0.12
2013-12-01;0.69;0.78
2014-01-01;0.99;0.12
2014-02-01;0.66;1.0
2014-03-01;0.85;1.91
2014-04-01;0.77;0.27
2014-05-01;0.52;-1.21
2014-06-01;0.33;-1.21
2014-07-01;0.1;-1.01
2014-08-01;0.12;0.04
2014-09-01;0.49;-0.18
2014-10-01;0.43;0.73
2014-11-01;0.65;1.44
2014-12-01;0.75;0.3
2015-01-01;1.73;0.23
2015-02-01;0.97;0.41
2015-03-01;1.41;1.24
2015-04-01;0.61;1.11
2015-05-01;0.72;0.19
2015-06-01;0.82;0.43
2015-07-01;0.53;0.61
2015-08-01;0.22;0.44
2015-09-01;0.42;2.02
2015-10-01;0.76;2.38
2015-11-01;1.0;1.41
2015-12-01;0.88;0.33
2016-01-01;1.78;1.63
2016-02-01;0.76;0.84
2016-03-01;0.5;0.37
2016-04-01;0.49;0.29
2016-05-01;0.64;1.49
2016-06-01;0.26;2.1
2016-07-01;0.37;-0.81
2016-08-01;0.32;0.5
2016-09-01;0.07;-0.03
2016-10-01;0.34;0.04
2016-11-01;0.17;-0.01
2016-12-01;0.33;1.1
2017-01-01;0.69;0.34
2017-02-01;0.31;-0.12
2017-03-01;0.47;-0.78
2017-04-01;0.12;-1.96
2017-05-01;0.52;-1.1
2017-06-01;-0.32;-1.53
2017-07-01;0.38;-0.67
2017-08-01;0.13;0.26
2017-09-01;-0.02;0.97
2017-10-01;0.33;-0.03
2017-11-01;0.36;1.06
2017-12-01;0.21;1.07
2018-01-01;0.69;0.58
2018-02-01;0.17;0.15
2018-03-01;0.17;0.77
2018-04-01;0.34;1.26
2018-05-01;0.41;2.35
2018-06-01;1.19;1.67
2018-07-01;0.17;0.52
2018-08-01;0.07;0.99
2018-09-01;0.45;2.54
2018-10-01;0.48;0.17
2018-11-01;-0.17;-1.7
2018-12-01;0.29;-0.82
2019-01-01;0.57;-0.19
2019-02-01;0.35;1.79
2019-03-01;0.65;1.35
2019-04-01;0.63;1.09
2019-05-01;0.22;0.52
2019-06-01;-0.02;0.83
2019-07-01;0.31;-0.22
2019-08-01;0.17;-0.9
2019-09-01;0.0;0.68
2019-10-01;-0.09;0.84
2019-11-01;0.49;1.11
