Data;24370;28543
03/2012;155.670 ;84.874
04/2012;155.810 ;85.397
05/2012;155.920 ;85.692
06/2012;156.215 ;85.781
07/2012;156.344 ;85.865
08/2012;156.543 ;86.101
09/2012;156.774 ;86.373
10/2012;156.983 ;86.564
11/2012;157.240 ;86.713
12/2012;157.426 ;86.679
01/2013;157.558 ;86.348
02/2013;157.732 ;85.990
03/2013;158.069 ;85.872
04/2013;158.240 ;86.322
05/2013;158.294 ;86.644
06/2013;158.288 ;86.917
07/2013;158.455 ;87.222
08/2013;158.657 ;87.418
09/2013;158.873 ;87.613
10/2013;159.068 ;87.745
11/2013;159.228 ;88.097
12/2013;159.587 ;88.208
01/2014;159.700 ;87.943
02/2014;159.786 ;87.862
03/2014;159.959 ;87.806
04/2014;160.336 ;88.094
05/2014;160.699 ;88.384
06/2014;160.903 ;88.577
07/2014;161.111 ;88.501
08/2014;161.376 ;88.549
09/2014;161.615 ;88.903
10/2014;161.849 ;89.248
11/2014;162.043 ;89.389
12/2014;162.319 ;89.499
01/2015;162.599 ;89.258
02/2015;162.879 ;88.872
03/2015;162.978 ;88.592
04/2015;163.009 ;88.770
05/2015;163.133 ;88.688
06/2015;163.286 ;88.751
07/2015;163.429 ;88.772
08/2015;163.586 ;88.714
09/2015;163.693 ;88.791
10/2015;163.810 ;89.046
11/2015;163.978 ;89.012
12/2015;164.151 ;89.186
01/2016;164.302 ;88.637
02/2016;164.537 ;88.187
03/2016;164.775 ;87.836
04/2016;165.120 ;87.908
05/2016;165.347 ;88.209
06/2016;165.491 ;88.146
07/2016;165.618 ;87.916
08/2016;165.672 ;87.602
09/2016;165.735 ;87.333
10/2016;165.893 ;87.385
11/2016;166.076 ;87.663
12/2016;166.401 ;87.714
01/2017;166.640 ;87.235
02/2017;166.716 ;86.723
03/2017;166.807 ;86.354
04/2017;166.984 ;86.644
05/2017;167.158 ;87.103
06/2017;167.432 ;87.629
07/2017;167.713 ;88.006
08/2017;167.863 ;88.401
09/2017;168.039 ;88.620
10/2017;168.108 ;88.906
11/2017;168.254 ;89.297
12/2017;168.396 ;89.476
01/2018;168.491 ;89.071
02/2018;168.509 ;88.494
03/2018;168.508 ;87.985
04/2018;168.701 ;88.163
05/2018;168.922 ;88.373
06/2018;169.241 ;88.733
07/2018;169.425 ;89.157
08/2018;169.591 ;89.555
09/2018;169.734 ;90.047
10/2018;169.793 ;90.306
11/2018;169.936 ;90.642
12/2018;170.022 ;90.500
01/2019;170.193 ;90.076
02/2019;170.395 ;89.652
03/2019;170.500 ;89.627
04/2019;170.494 ;90.115
05/2019;170.615 ;90.680
06/2019;170.864 ;91.020
07/2019;170.975 ;91.263
08/2019;171.123 ;91.337
09/2019;171.158 ;91.568
10/2019;171.281 ;91.846
11/2019;171.401 ;92.240
12/2019;171.613 ;92.420
01/2020;171.798 ;92.079
02/2020;171.989 ;91.634
03/2020;172.354 ;90.196
04/2020;172.978 ;87.269
Fonte;IBGE;IBGE
