Data;13565;13567;13573;20107;20326;20327;20328;20329;20330;20331;20332;20333;20334;20335;21280;21281;21421;21935;25403;28044;28148;28149;28150;28151
2011-01-01;0.67;0.66;81.18;83.86;83.95;83.64;83.83;85.47;78.37;72.14;114.82;98.27;67.96;77.24;84.3;87.66;90.36;105.18;141.31;90.25;80.82;109.05;90.72;97.62
2011-02-01;0.61;0.59;81.87;84.44;84.22;84.37;84.55;86.06;78.9;72.79;111.82;102.54;68.55;77.51;84.82;87.94;90.82;105.34;141.44;90.23;81.24;108.59;90.34;97.88
2011-03-01;0.55;0.52;82.44;85.06;84.98;84.63;84.8;86.28;79.6;73.37;110.69;106.68;69.12;78.1;85.21;87.94;91.56;105.3;141.57;90.23;81.62;108.37;90.02;98.15
2011-04-01;0.56;0.53;82.59;85.26;85.16;84.74;84.91;85.83;79.84;73.59;108.55;109.78;68.74;78.29;85.52;87.97;91.89;105.06;141.79;90.33;81.97;108.62;89.78;98.09
2011-05-01;0.59;0.54;82.93;85.43;85.39;85.07;85.24;85.95;80.15;73.95;104.91;110.7;69.59;78.7;85.64;87.9;91.71;104.9;141.92;90.41;82.23;108.38;89.68;98.06
2011-06-01;0.57;0.53;83.34;85.92;85.49;85.37;85.53;86.02;81.07;74.38;102.42;111.24;70.21;79.33;85.88;88.0;92.34;104.82;142.2;90.53;82.45;108.28;89.67;98.25
2011-07-01;0.55;0.5;86.42;88.39;86.02;88.02;88.2;92.23;85.82;75.88;106.13;114.31;75.36;79.89;86.23;88.33;94.21;105.26;142.69;90.78;82.7;108.23;90.19;98.31
2011-08-01;0.53;0.48;87.27;89.12;85.65;89.08;89.29;92.34;87.03;76.69;107.38;115.96;76.43;80.51;87.17;88.97;94.83;105.04;142.69;90.99;83.22;108.34;90.23;98.23
2011-09-01;0.49;0.46;88.14;89.33;85.72;90.32;90.57;92.22;87.88;77.36;107.27;117.19;77.08;81.06;87.96;89.32;93.91;104.64;142.53;91.19;83.75;108.57;89.97;98.39
2011-10-01;0.43;0.39;89.17;89.95;85.82;91.52;91.77;93.01;89.22;78.41;107.74;118.91;77.42;81.8;88.72;89.58;93.79;104.06;141.99;91.37;84.23;108.8;89.93;98.8
2011-11-01;0.4;0.38;89.68;90.11;86.1;91.82;92.09;93.2;89.83;79.16;107.15;120.66;78.28;82.18;89.53;90.0;93.39;103.54;141.75;91.69;84.63;109.12;90.13;98.67
2011-12-01;0.39;0.38;90.32;90.52;86.68;92.62;92.87;93.58;90.44;79.87;106.87;119.72;79.15;82.75;90.07;90.3;93.36;103.18;142.03;92.06;84.97;109.76;90.43;98.69
2012-01-01;0.4;0.38;90.99;91.46;87.05;93.37;93.61;94.0;91.64;80.62;106.93;117.08;79.93;82.92;90.67;91.18;95.03;102.62;142.43;92.43;85.21;110.14;91.07;98.09
2012-02-01;0.42;0.41;91.27;92.0;87.26;93.53;93.77;94.36;92.08;81.4;107.12;115.61;80.61;83.57;91.17;91.77;95.98;102.07;142.77;92.75;85.38;110.72;91.49;97.73
2012-03-01;0.45;0.44;91.82;93.1;87.44;94.19;94.43;94.96;92.73;82.35;107.06;114.44;81.4;84.67;91.68;92.88;97.92;101.76;143.25;93.17;85.64;111.07;92.24;97.21
2012-04-01;0.43;0.43;92.36;93.1;87.84;95.05;95.29;95.07;92.67;83.12;106.98;112.2;82.23;85.1;92.26;93.09;96.94;101.57;143.47;93.47;85.79;110.83;92.83;97.08
