Data;1467;7487;14016;14043;14070;15875;15907;15939;28027
2011-01-01;75.67;202.1;8819.83;3764.5;12584.17;4.19;3.13;3.79;84.22
2011-02-01;76.56;202.43;8910.71;3780.29;12690.86;4.21;3.04;3.77;84.6
2011-03-01;77.2;202.43;8994.88;3810.62;12805.38;4.24;2.95;3.76;84.95
2011-04-01;77.48;201.8;9091.33;3844.89;12936.11;4.27;2.87;3.75;85.13
2011-05-01;77.76;201.13;9183.9;3877.0;13060.8;4.33;2.8;3.77;84.96
2011-06-01;78.21;200.87;9272.09;3924.45;13196.45;4.45;2.76;3.82;85.15
2011-07-01;81.45;201.15;9364.17;3971.08;13335.17;4.54;2.72;3.87;85.32
2011-08-01;82.17;202.14;9525.75;4076.75;13602.33;4.59;2.57;3.84;85.59
2011-09-01;82.68;202.93;9686.67;4180.58;13867.25;4.73;2.53;3.92;85.86
2011-10-01;83.58;203.81;9861.17;4282.17;14143.42;4.86;2.51;4.01;86.43
2011-11-01;83.72;205.32;10020.25;4383.75;14404.08;4.98;2.51;4.09;86.61
2011-12-01;84.54;207.47;10182.08;4485.08;14667.25;5.08;2.44;4.14;87.04
2012-01-01;85.08;209.42;10340.83;4586.17;14927.08;5.19;2.48;4.24;87.57
2012-02-01;85.41;211.82;10490.0;4689.17;15179.17;5.29;2.54;4.33;87.52
2012-03-01;85.64;214.39;10643.0;4782.25;15425.25;5.39;2.6;4.43;87.77
2012-04-01;86.48;217.44;10775.25;4870.92;15646.17;5.47;2.7;4.53;87.72
2012-05-01;87.62;220.59;10907.5;4960.25;15867.75;5.53;2.8;4.61;88.31
2012-06-01;88.69;223.68;11046.75;5038.25;16085.0;5.52;2.9;4.65;88.5
2012-07-01;89.23;226.48;11184.92;5128.0;16312.92;5.52;3.01;4.7;88.92
2012-08-01;90.12;229.81;11326.83;5176.67;16503.42;5.55;3.14;4.78;89.13
2012-09-01;90.23;234.6;11469.0;5229.75;16698.58;5.54;3.28;4.82;89.62
2012-10-01;90.99;239.61;11608.67;5285.75;16894.25;5.54;3.37;4.86;89.97
2012-11-01;91.89;245.78;11766.33;5341.0;17107.17;5.53;3.44;4.88;90.68
2012-12-01;92.48;250.83;11932.17;5405.75;17337.83;5.51;3.52;4.89;91.16
2013-01-01;93.02;255.49;12098.67;5475.83;17574.5;5.49;3.58;4.9;91.58
