Data;28555
01/2011;-2.146.826.246,00
02/2011;-2.146.826.246,00
03/2011;-2.146.826.246,00
04/2011;-2.146.826.246,00
05/2011;-2.146.826.246,00
06/2011;-2.146.826.246,00
07/2011;-2.146.826.246,00
08/2011;-2.146.826.246,00
09/2011;-2.146.826.246,00
10/2011;-2.146.826.246,00
11/2011;-2.146.826.246,00
12/2011;-2.146.826.246,00
01/2012;121,10
02/2012;120,90
03/2012;123,00
04/2012;120,40
05/2012;122,50
06/2012;124,90
07/2012;123,70
08/2012;127,50
09/2012;124,40
10/2012;126,20
11/2012;127,10
12/2012;130,40
01/2013;127,80
02/2013;122,30
03/2013;128,00
04/2013;131,90
05/2013;128,60
06/2013;131,30
07/2013;129,20
08/2013;132,40
09/2013;130,10
10/2013;127,50
11/2013;128,20
12/2013;127,30
01/2014;129,40
02/2014;132,40
03/2014;124,10
04/2014;128,80
05/2014;128,60
06/2014;121,50
07/2014;123,30
08/2014;123,90
09/2014;126,00
10/2014;128,10
11/2014;126,00
12/2014;123,80
01/2015;122,00
02/2015;121,60
03/2015;123,00
04/2015;116,50
05/2015;117,00
06/2015;114,50
07/2015;114,50
08/2015;114,70
09/2015;114,60
10/2015;112,10
11/2015;107,70
12/2015;106,80
01/2016;108,30
02/2016;108,10
03/2016;106,40
04/2016;107,30
05/2016;101,50
06/2016;104,00
07/2016;101,20
08/2016;96,50
09/2016;95,90
10/2016;94,10
11/2016;97,30
12/2016;96,70
01/2017;97,60
02/2017;98,00
03/2017;102,40
04/2017;97,60
05/2017;102,10
06/2017;98,50
07/2017;102,40
08/2017;101,10
09/2017;101,60
10/2017;103,70
11/2017;103,50
12/2017;103,70
01/2018;102,30
02/2018;101,40
03/2018;103,00
04/2018;103,70
05/2018;85,30
06/2018;109,40
07/2018;104,70
08/2018;105,60
09/2018;103,80
10/2018;101,20
11/2018;102,40
12/2018;104,10
01/2019;101,50
02/2019;101,70
03/2019;99,00
04/2019;101,30
05/2019;99,40
06/2019;99,60
07/2019;100,50
08/2019;101,10
09/2019;101,70
10/2019;103,20
11/2019;102,60
12/2019;100,90
01/2020;103,00
02/2020;103,20
03/2020;98,80
04/2020;75,80
Fonte;CNI
