Data;7486;13255;13258;20114;20120;20123;20126;21941;25384;28041;1481;1494;1507;1533;1559;1572
2011-01-01;241.59;0.56;0.61;56.6;67.7;56.1;75.4;95.0;153.20 ;85.60;85.2;95.6;94.3;83.2;84.2;93.8
2011-02-01;241.53;0.74;0.37;59.3;76.1;49.5;76.9;106.3;156.18 ;85.90;75.9;95.0;86.4;66.1;90.1;86.1
2011-03-01;242.55;0.84;0.41;60.4;96.6;55.2;85.0;97.5;156.12 ;87.00;81.9;97.3;95.5;71.8;100.7;95.1
2011-04-01;237.16;0.9;0.69;59.6;70.0;66.4;82.9;94.1;155.09 ;87.30;82.0;92.9;99.4;68.1;95.6;98.8
2011-05-01;240.35;0.56;0.62;63.1;67.9;59.6;91.2;97.4;156.05 ;87.40;85.4;95.4;94.6;79.0;98.7;94.1
2011-06-01;232.58;-0.08;0.6;64.3;61.8;59.3;89.5;96.2;158.85 ;87.40;82.1;89.4;93.7;70.7;96.5;93.2
2011-07-01;229.38;0.14;0.02;64.5;42.8;61.5;90.6;97.0;158.28 ;88.40;86.5;93.7;100.2;75.7;89.7;99.6
2011-08-01;227.21;0.36;0.53;66.2;61.5;58.8;98.4;89.5;155.38 ;89.40;86.7;93.9;99.9;77.2;99.7;99.4
2011-09-01;231.46;0.44;0.43;62.9;53.7;53.8;94.1;98.1;157.96 ;88.80;83.4;91.0;98.0;74.2;94.5;97.6
2011-10-01;233.48;0.31;0.16;62.9;68.5;68.5;88.3;93.9;156.83 ;88.70;87.1;91.4;103.4;76.5;86.7;102.8
2011-11-01;233.67;0.73;0.82;64.0;62.4;64.2;90.2;105.8;161.06 ;87.00;85.8;87.6;99.0;78.3;93.6;98.4
2011-12-01;246.7;0.52;0.56;74.7;171.7;117.2;85.3;106.6;160.97 ;90.90;117.5;86.5;121.0;121.3;96.9;120.1
2012-01-01;250.82;0.46;0.55;63.6;77.2;63.7;87.9;82.2;157.27 ;87.30;88.9;86.3;99.7;92.6;100.6;99.7
2012-02-01;251.04;-0.01;-0.03;64.3;73.6;55.1;79.1;88.1;157.92 ;87.20;82.4;86.8;97.3;76.0;84.7;97.5
2012-03-01;234.14;0.15;0.12;70.7;106.7;68.9;95.4;91.0;159.70 ;85.90;91.6;93.1;106.4;85.0;95.0;106.9
2012-04-01;235.36;0.3;0.38;65.5;104.1;69.2;90.1;98.5;163.76 ;89.20;90.3;92.6;105.9;81.9;84.0;106.2
2012-05-01;246.39;0.45;0.64;73.2;76.0;69.2;92.3;111.0;167.12 ;89.70;93.6;91.6;103.8;91.2;101.1;104.3
2012-06-01;244.03;0.17;0.45;73.3;74.6;70.7;101.6;104.6;167.17 ;91.00;91.7;91.5;105.0;83.3;106.3;105.4
2012-07-01;258.66;0.61;0.7;72.9;70.3;72.4;105.9;106.0;168.92 ;88.60;94.6;100.0;105.2;88.7;106.0;105.2
2012-08-01;263.9;0.31;0.36;77.9;69.8;78.7;113.8;104.9;167.36 ;89.60;96.1;103.1;104.9;92.2;123.6;105.3
2012-09-01;250.13;0.72;0.8;75.3;73.9;67.2;106.1;103.2;165.81 ;89.90;92.3;97.0;105.6;83.8;85.3;105.8
2012-10-01;251.12;0.88;0.94;75.0;78.3;77.6;111.7;103.9;168.77 ;90.60;95.7;100.1;106.6;90.7;118.9;106.8
2012-11-01;237.92;0.43;0.47;74.0;72.1;76.5;95.8;99.4;167.13 ;93.80;94.1;93.1;104.6;90.4;101.0;104.6
2012-12-01;263.17;0.81;0.83;85.0;82.7;130.5;79.3;88.2;167.22 ;91.00;119.6;89.0;122.0;128.0;108.3;121.9
