Data;25407
02/2003;101,89
03/2003;100,45
04/2003;99,47
05/2003;100,89
06/2003;102,67
07/2003;104,82
08/2003;103,49
09/2003;104,46
10/2003;102,98
11/2003;103,91
12/2003;104,37
01/2004;105,22
02/2004;105,27
03/2004;106,92
04/2004;108,68
05/2004;108,78
06/2004;108,25
07/2004;109,44
08/2004;109,89
09/2004;110,46
10/2004;110,43
11/2004;112,54
12/2004;113,48
01/2005;112,80
02/2005;115,37
03/2005;116,21
04/2005;118,37
05/2005;118,63
06/2005;118,48
07/2005;116,26
08/2005;116,08
09/2005;117,01
10/2005;118,95
11/2005;117,53
12/2005;117,56
01/2006;118,59
02/2006;122,00
03/2006;121,31
04/2006;120,97
05/2006;121,79
06/2006;120,56
07/2006;123,49
08/2006;123,49
09/2006;125,25
10/2006;124,94
11/2006;126,91
12/2006;127,12
01/2007;126,69
02/2007;126,53
03/2007;126,32
04/2007;127,71
05/2007;127,64
06/2007;127,79
07/2007;128,75
08/2007;130,96
09/2007;130,90
10/2007;131,27
11/2007;132,50
12/2007;132,94
01/2008;133,64
02/2008;133,42
03/2008;133,63
04/2008;132,48
05/2008;134,59
06/2008;135,28
07/2008;135,27
08/2008;136,71
09/2008;137,93
10/2008;136,32
11/2008;134,07
12/2008;132,96
01/2009;132,20
02/2009;133,44
03/2009;132,95
04/2009;131,56
05/2009;133,30
06/2009;135,17
07/2009;135,67
08/2009;136,76
09/2009;138,05
10/2009;139,73
11/2009;139,99
12/2009;138,05
01/2010;144,41
02/2010;145,37
03/2010;148,73
04/2010;148,16
05/2010;147,09
06/2010;146,96
07/2010;146,08
08/2010;147,02
09/2010;146,50
10/2010;146,56
11/2010;150,68
12/2010;148,72
01/2011;153,06
02/2011;151,36
03/2011;149,76
04/2011;151,47
05/2011;153,45
06/2011;153,05
07/2011;156,13
08/2011;154,78
09/2011;156,59
10/2011;157,74
11/2011;157,36
12/2011;156,48
01/2012;153,72
02/2012;154,19
03/2012;154,82
04/2012;156,83
05/2012;158,83
06/2012;161,21
07/2012;156,39
08/2012;161,61
09/2012;160,65
10/2012;160,82
11/2012;162,22
12/2012;163,28
01/2013;162,79
02/2013;163,42
03/2013;162,40
04/2013;161,35
05/2013;162,19
06/2013;163,76
07/2013;164,80
08/2013;165,36
09/2013;167,00
10/2013;168,31
11/2013;168,88
12/2013;170,25
01/2014;171,04
02/2014;168,54
03/2014;170,03
04/2014;170,45
05/2014;169,21
06/2014;166,27
07/2014;169,02
08/2014;167,54
09/2014;168,12
10/2014;168,77
11/2014;168,50
12/2014;171,57
01/2015;168,86
02/2015;168,99
03/2015;167,41
04/2015;169,16
05/2015;165,36
06/2015;164,30
07/2015;162,89
08/2015;162,50
09/2015;163,78
10/2015;160,70
11/2015;158,96
12/2015;158,12
01/2016;157,40
02/2016;158,13
03/2016;158,22
04/2016;156,07
05/2016;158,71
06/2016;157,67
07/2016;157,62
08/2016;158,05
09/2016;157,82
10/2016;155,09
11/2016;155,83
12/2016;154,08
01/2017;155,42
02/2017;157,23
03/2017;158,40
04/2017;162,04
05/2017;161,80
06/2017;161,56
07/2017;160,23
08/2017;161,37
09/2017;162,20
10/2017;160,99
11/2017;160,33
12/2017;163,51
01/2018;166,17
02/2018;163,69
03/2018;165,27
04/2018;164,79
05/2018;162,12
06/2018;161,70
07/2018;164,33
08/2018;162,25
09/2018;162,91
10/2018;165,81
11/2018;164,89
12/2018;163,44
01/2019;165,85
02/2019;166,58
03/2019;165,96
04/2019;164,07
05/2019;168,50
06/2019;169,42
07/2019;167,74
08/2019;169,39
09/2019;168,88
10/2019;169,63
11/2019;169,52
12/2019;170,36
01/2020;169,23
02/2020;171,42
03/2020;165,26
04/2020;155,92
05/2020;154,34
Fonte;BCB-Depec
