Data;1480;21938;28040
01/2012;81.7;76.6;74.2
02/2012;81.0;95.1;86.8
03/2012;90.4;102.6;80.8
04/2012;86.7;106.3;79.0
05/2012;86.8;116.9;80.3
06/2012;88.2;108.8;78.7
07/2012;94.4;114.2;80.6
08/2012;96.5;115.0;83.2
09/2012;93.6;100.2;84.6
10/2012;95.2;99.4;88.9
11/2012;93.1;90.1;89.6
12/2012;116.3;74.7;92.9
01/2013;88.5;82.1;95.5
02/2013;83.5;79.2;95.2
03/2013;94.3;91.8;95.0
04/2013;89.7;101.0;98.2
05/2013;98.2;112.6;98.1
06/2013;94.7;110.1;97.4
07/2013;99.0;113.1;98.5
08/2013;101.4;115.0;98.2
09/2013;98.2;107.5;98.3
10/2013;102.2;114.2;98.0
11/2013;102.1;100.4;97.7
12/2013;118.6;85.4;89.2
01/2014;93.1;81.7;94.0
02/2014;91.8;88.1;112.2
03/2014;98.3;91.2;111.6
04/2014;96.6;104.3;109.9
05/2014;96.6;115.8;108.2
06/2014;95.7;108.7;98.7
07/2014;98.7;123.8;98.3
08/2014;100.3;120.4;94.9
09/2014;100.5;110.2;94.4
10/2014;106.8;119.1;94.2
11/2014;100.2;107.3;93.1
12/2014;121.5;92.2;89.8
01/2015;91.2;87.0;91.5
02/2015;83.6;85.3;89.7
03/2015;90.1;96.3;95.5
04/2015;86.4;97.3;94.5
05/2015;92.4;108.4;98.5
06/2015;89.5;114.7;97.6
07/2015;94.3;125.1;95.7
08/2015;91.3;126.1;98.2
09/2015;88.6;122.6;100.1
10/2015;92.8;119.1;99.1
11/2015;90.1;108.7;97.6
12/2015;110.5;103.4;99.4
01/2016;82.7;89.2;104.8
02/2016;78.9;102.8;97.0
03/2016;83.1;101.8;93.6
04/2016;82.0;102.4;94.4
05/2016;81.7;122.5;89.1
06/2016;82.5;121.7;87.2
07/2016;86.6;121.6;89.2
08/2016;83.7;114.0;83.7
09/2016;77.8;109.7;80.5
10/2016;79.5;98.5;65.4
11/2016;79.4;109.2;65.1
12/2016;96.8;98.8;67.4
01/2017;81.5;100.9;90.6
02/2017;74.0;93.6;98.4
03/2017;85.0;103.0;100.2
04/2017;83.5;93.6;97.4
05/2017;88.6;119.8;103.1
06/2017;87.7;121.3;99.9
07/2017;89.6;124.1;94.2
08/2017;88.6;130.6;97.4
09/2017;92.1;114.7;99.0
10/2017;88.5;125.9;97.7
11/2017;90.6;111.8;100.2
12/2017;109.7;105.5;101.1
01/2018;83.6;101.6;93.8
02/2018;79.3;91.2;97.5
03/2018;90.0;106.2;101.3
04/2018;84.1;105.8;99.7
05/2018;86.1;103.0;91.1
06/2018;89.8;120.2;103.0
07/2018;89.2;129.8;100.8
08/2018;90.7;133.2;102.3
09/2018;88.5;119.2;98.8
10/2018;92.6;121.8;96.6
11/2018;96.5;110.0;101.2
12/2018;109.0;103.0;94.6
01/2019;89.8;98.6;96.8
02/2019;84.5;93.6;93.1
03/2019;89.1;93.3;88.8
04/2019;85.7;102.1;90.2
05/2019;90.2;110.6;88.7
06/2019;85.5;104.2;92.5
07/2019;94.1;125.4;94.4
08/2019;95.6;123.6;93.8
09/2019;94.6;116.9;94.0
10/2019;96.9;125.3;93.5
11/2019;99.7;113.1;88.1
12/2019;112.3;91.9;79.3
01/2020;92.1;92.7;91.9
02/2020;92.4;96.4;94.0
03/2020;91.0;91.1;82.2
04/2020;77.3;92.4;89.6
