Data;1466;7488;14021;14048;14075;15880;15912;15944;28026
2011-01-01;80.40 ;224.58 ;8320;5003;13322;4.91 ;2.54 ;3.83 ;99.70
2011-02-01;75.40 ;221.15 ;8413;5025;13439;4.25 ;2.87 ;3.62 ;99.20
2011-03-01;77.80 ;234.85 ;8481;5093;13574;4.34 ;2.96 ;3.71 ;99.20
2011-04-01;79.00 ;229.39 ;8594;5172;13766;4.59 ;2.89 ;3.81 ;99.30
2011-05-01;81.00 ;225.28 ;8733;5380;14113;4.79 ;2.93 ;3.93 ;96.40
2011-06-01;77.60 ;230.97 ;8891;5447;14339;4.88 ;2.21 ;3.65 ;97.80
2011-07-01;83.20 ;223.31 ;9104;5540;14644;4.99 ;2.26 ;3.74 ;98.60
2011-08-01;84.90 ;219.52 ;9217;5530;14747;5.03 ;2.39 ;3.84 ;97.40
2011-09-01;79.10 ;205.97 ;9437;5821;15258;5.02 ;2.47 ;3.85 ;95.20
2011-10-01;81.80 ;200.55 ;9594;5911;15505;5.28 ;2.56 ;4.03 ;91.40
2011-11-01;81.70 ;206.00 ;9766;6058;15824;5.89 ;2.64 ;4.39 ;94.20
2011-12-01;112.30 ;212.36 ;9997;6579;16576;5.87 ;2.42 ;4.23 ;99.00
2012-01-01;79.50 ;213.63 ;10172;6750;16922;5.27 ;2.53 ;4.07 ;95.80
2012-02-01;79.70 ;218.21 ;10266;6752;17018;5.67 ;2.54 ;4.34 ;97.00
2012-03-01;85.00 ;219.00 ;10477;6839;17315;5.56 ;2.39 ;4.22 ;97.50
2012-04-01;79.70 ;225.41 ;10640;6900;17540;5.38 ;2.88 ;4.40 ;95.60
2012-05-01;86.80 ;232.82 ;10830;6970;17800;5.48 ;2.93 ;4.48 ;97.60
2012-06-01;86.80 ;234.32 ;10971;7198;18169;5.43 ;2.88 ;4.42 ;96.20
2012-07-01;88.80 ;245.17 ;11116;7116;18233;5.46 ;3.00 ;4.50 ;96.10
2012-08-01;90.60 ;241.14 ;11311;7314;18625;5.35 ;3.04 ;4.44 ;95.60
2012-09-01;87.90 ;241.28 ;11362;7439;18801;5.34 ;2.98 ;4.41 ;97.10
2012-10-01;88.90 ;247.18 ;11506;7483;18988;5.26 ;3.02 ;4.38 ;100.70
2012-11-01;91.20 ;246.43 ;11688;7915;19604;5.16 ;2.86 ;4.23 ;97.70
2012-12-01;118.50 ;239.65 ;11948;8342;20290;5.07 ;2.97 ;4.21 ;95.60
2013-01-01;90.60 ;269.56 ;12116;8297;20412;4.92 ;2.64 ;3.99 ;92.60
2013-02-01;82.80 ;283.27 ;12203;8323;20526;4.92 ;2.69 ;4.02 ;94.10
2013-03-01;94.10 ;279.24 ;12401;8550;20951;5.00 ;2.66 ;4.05 ;93.00
2013-04-01;89.00 ;286.58 ;12634;8918;21552;4.84 ;2.51 ;3.88 ;96.30
2013-05-01;96.60 ;281.67 ;12924;9052;21976;4.79 ;2.49 ;3.84 ;96.10
2013-06-01;90.60 ;284.69 ;13133;9154;22287;4.62 ;2.33 ;3.68 ;97.20
2013-07-01;98.90 ;271.61 ;13320;9221;22542;4.57 ;2.03 ;3.53 ;99.10
2013-08-01;102.10 ;267.49 ;13510;9431;22941;4.46 ;1.96 ;3.43 ;101.40
2013-09-01;95.40 ;263.80 ;13713;9608;23321;4.48 ;2.00 ;3.46 ;102.70
2013-10-01;98.10 ;265.88 ;13871;9771;23642;4.43 ;2.06 ;3.45 ;100.60
2013-11-01;98.60 ;271.93 ;14060;10203;24263;4.33 ;2.04 ;3.37 ;98.30
2013-12-01;125.80 ;273.36 ;14330;10487;24816;4.00 ;1.97 ;3.14 ;99.20
2014-01-01;96.90 ;269.95 ;14465;10586;25051;4.04 ;2.00 ;3.18 ;98.20
2014-02-01;91.10 ;270.07 ;14603;10601;25204;4.12 ;2.09 ;3.26 ;100.50
2014-03-01;93.50 ;271.31 ;14688;10614;25303;4.15 ;2.06 ;3.27 ;100.90
2014-04-01;93.70 ;282.56 ;14939;10739;25678;4.18 ;2.14 ;3.33 ;102.80
2014-05-01;102.00 ;289.07 ;15229;10995;26225;4.29 ;2.25 ;3.44 ;102.70
2014-06-01;92.30 ;292.49 ;15437;11081;26517;4.30 ;2.34 ;3.48 ;102.30
2014-07-01;98.60 ;277.07 ;15628;11077;26705;4.29 ;2.31 ;3.47 ;98.50
2014-08-01;101.30 ;270.57 ;15825;11241;27066;4.27 ;2.69 ;3.61 ;98.00
2014-09-01;97.20 ;267.39 ;15993;11354;27347;3.99 ;2.69 ;3.45 ;99.60
2014-10-01;100.50 ;265.27 ;16231;11338;27569;4.15 ;3.07 ;3.71 ;98.70
2014-11-01;104.50 ;258.93 ;16434;11406;27840;3.92 ;3.10 ;3.59 ;100.30
2014-12-01;128.50 ;268.71 ;16773;11503;28276;3.51 ;2.90 ;3.26 ;98.70
2015-01-01;99.30 ;277.56 ;16965;11387;28352;3.68 ;2.62 ;3.26 ;100.10
2015-02-01;88.70 ;289.65 ;17050;11374;28425;3.76 ;2.69 ;3.33 ;94.80
2015-03-01;96.40 ;289.21 ;17256;11406;28663;3.71 ;2.60 ;3.27 ;97.40
2015-04-01;92.00 ;300.73 ;17409;11292;28701;3.84 ;2.59 ;3.35 ;96.70
