Data;14014;14041;14068;15873;15905;15937
2011-01-01;69432;81051;150483;3.54;1.69;2.43
2011-02-01;70523;81832;152355;3.1;1.58;2.19
2011-03-01;71168;83363;154532;3.25;1.6;2.27
2011-04-01;72587;84479;157065;3.37;1.67;2.36
2011-05-01;73839;85995;159834;3.44;1.73;2.43
2011-06-01;75559;88350;163909;3.44;1.72;2.41
2011-07-01;77267;88630;165897;3.49;1.78;2.48
2011-08-01;78410;89246;167656;3.53;1.86;2.55
2011-09-01;80208;92068;172276;3.61;1.82;2.55
2011-10-01;81628;91943;173571;3.73;1.89;2.65
2011-11-01;82999;93863;176862;4.25;1.94;2.9
2011-12-01;84335;96166;180501;4.27;1.96;2.91
2012-01-01;85754;94009;179764;4.05;2.07;2.96
2012-02-01;86661;95060;181721;4.47;2.12;3.2
2012-03-01;88019;97326;185345;4.38;2.06;3.12
2012-04-01;89561;98520;188080;4.5;2.21;3.3
2012-05-01;91315;99173;190488;4.55;2.17;3.31
2012-06-01;92993;100304;193297;4.53;2.2;3.32
2012-07-01;94283;100943;195226;4.54;2.3;3.39
2012-08-01;95915;102053;197968;4.5;2.22;3.32
2012-09-01;96452;103152;199604;4.42;2.11;3.23
2012-10-01;98218;103382;201600;4.34;2.31;3.3
2012-11-01;99650;104263;203913;4.26;2.2;3.21
2012-12-01;101583;109859;211443;4.24;2.28;3.22
2013-01-01;102932;109143;212075;4.2;2.31;3.23
2013-02-01;103628;109735;213362;4.19;2.33;3.24
2013-03-01;105030;112377;217407;4.25;2.17;3.18
2013-04-01;106734;112042;218776;4.13;2.23;3.15
2013-05-01;108705;113129;221834;4.12;2.25;3.17
2013-06-01;110733;114810;225543;3.96;2.22;3.07
2013-07-01;112274;114426;226700;3.9;2.28;3.08
2013-08-01;113780;114404;228184;3.83;2.22;3.02
2013-09-01;115016;116871;231887;3.78;2.22;3.0
2013-10-01;116349;117189;233538;3.68;2.25;2.96
2013-11-01;117960;119523;237482;3.6;2.22;2.91
2013-12-01;119731;122404;242135;3.53;2.2;2.85
2014-01-01;121182;121224;242406;3.49;2.25;2.87
2014-02-01;122003;122873;244876;3.53;2.27;2.9
2014-03-01;122796;124783;247579;3.56;2.25;2.9
2014-04-01;124230;124380;248609;3.62;2.29;2.95
2014-05-01;125982;123839;249821;3.62;2.45;3.04
2014-06-01;127594;125061;252655;3.56;2.45;3.01
2014-07-01;128523;124267;252789;3.56;2.55;3.06
2014-08-01;129883;124679;254562;3.6;2.62;3.12
2014-09-01;130997;126906;257903;3.44;2.46;2.96
2014-10-01;132632;127073;259706;3.44;2.55;3.01
2014-11-01;133799;128568;262367;3.39;2.42;2.91
2014-12-01;135949;131667;267615;3.29;2.23;2.77
2015-01-01;137328;129196;266524;3.44;2.61;3.03
2015-02-01;137551;129744;267295;3.58;2.72;3.16
2015-03-01;138785;132286;271070;3.48;2.46;2.98
2015-04-01;139540;130252;269792;3.49;2.6;3.06
2015-05-01;140401;130440;270841;3.53;2.71;3.14
2015-06-01;141556;130662;272217;3.37;2.6;3.0
2015-07-01;142221;129533;271754;3.48;2.74;3.13
2015-08-01;142997;130146;273143;3.6;2.78;3.21
2015-09-01;143532;130720;274253;3.62;2.76;3.21
2015-10-01;143869;129532;273401;3.7;2.85;3.3
2015-11-01;144778;130602;275381;3.84;3.22;3.54
2015-12-01;145553;132168;277721;3.86;3.2;3.55
2016-01-01;145622;130723;276346;3.96;3.31;3.65
2016-02-01;145981;129014;274994;4.06;3.68;3.88
2016-03-01;146549;127932;274481;3.96;3.49;3.74
2016-04-01;146719;126477;273196;4.04;3.68;3.88
2016-05-01;147282;126420;273701;4.06;3.79;3.94
2016-06-01;148216;125506;273722;3.83;3.56;3.71
2016-07-01;148685;125689;274375;3.66;3.64;3.65
2016-08-01;149166;124438;273604;3.61;3.42;3.52
2016-09-01;149126;124252;273377;3.6;3.39;3.51
2016-10-01;148440;122508;270948;3.62;3.71;3.66
2016-11-01;148739;123878;272616;3.59;3.98;3.77
2016-12-01;149297;122828;272126;3.52;3.96;3.72
2017-01-01;149832;120320;270152;3.58;4.05;3.79
2017-02-01;150003;119454;269457;3.66;4.01;3.82
2017-03-01;150879;117771;268650;3.59;4.3;3.91
2017-04-01;151432;117193;268625;3.72;4.51;4.06
2017-05-01;152568;117027;269595;3.71;4.52;4.06
2017-06-01;153728;116295;270023;3.39;4.24;3.76
2017-07-01;154393;114154;268546;3.45;4.22;3.77
2017-08-01;155190;113418;268607;3.44;4.07;3.71
2017-09-01;155478;113754;269232;3.39;3.87;3.59
2017-10-01;156335;113673;270008;3.36;4.01;3.64
2017-11-01;157253;114200;271453;3.34;3.92;3.58
2017-12-01;157832;115246;273078;3.15;3.71;3.39
2018-01-01;158757;112635;271393;3.44;4.02;3.68
2018-02-01;158623;111645;270268;3.49;3.81;3.62
2018-03-01;159678;111939;271618;3.41;3.21;3.33
2018-04-01;160821;110855;271676;3.37;3.0;3.22
2018-05-01;161788;108260;270048;3.32;2.92;3.16
2018-06-01;162859;110082;272941;3.16;2.56;2.92
2018-07-01;163729;109128;272857;3.11;2.51;2.87
2018-08-01;165279;109852;275130;3.0;2.45;2.78
2018-09-01;165624;109976;275599;2.92;2.26;2.66
2018-10-01;166783;108882;275666;2.86;2.34;2.65
2018-11-01;168918;110298;279216;2.8;2.22;2.57
2018-12-01;170421;111859;282280;2.79;2.05;2.5
2019-01-01;171064;107629;278693;2.93;2.13;2.62
2019-02-01;171563;107109;278672;2.9;2.11;2.6
2019-03-01;172764;111215;283979;2.97;1.94;2.57
2019-04-01;174233;109314;283547;2.93;1.86;2.52
2019-05-01;175825;108938;284763;2.93;1.84;2.52
2019-06-01;177069;110611;287680;2.85;1.61;2.37
2019-07-01;178560;108097;286657;2.93;1.7;2.46
2019-08-01;180476;107695;288171;2.94;1.72;2.48
2019-09-01;182260;110219;292478;2.95;1.47;2.39
2019-10-01;184273;105883;290156;2.93;1.42;2.38
2019-11-01;186282;107633;293915;2.93;1.5;2.41
2019-12-01;188640;110816;299457;2.92;1.32;2.32
2020-01-01;190070;106908;296977;3.06;1.39;2.46
2020-02-01;190770;108110;298881;3.11;1.38;2.48
2020-03-01;191896;115207;307103;3.33;1.35;2.59
2020-04-01;190942;118541;309483;3.41;1.39;2.64
2020-05-01;191528;119257;310784;3.28;1.41;2.56
2020-06-01;193166;119255;312421;2.89;1.33;2.29
