Data;1642 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Despesas pessoais - Var. % mensal;1643 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Educa��o - Var. % mensal;1644 - �ndice nacional de pre�os ao consumidor (INPC) - Alimenta��o e bebidas - Var. % mensal;1645 - �ndice nacional de pre�os ao consumidor (INPC) - Habita��o - Var. % mensal;1646 - �ndice nacional de pre�os ao consumidor (INPC) - Artigos de resid�ncia - Var. % mensal;1647 - �ndice nacional de pre�os ao consumidor (INPC) - Vestu�rio - Var. % mensal;1648 - �ndice nacional de pre�os ao consumidor (INPC) - Transporte - Var. % mensal;1649 - �ndice nacional de pre�os ao consumidor (INPC) - Comunica��o - Var. % mensal;1650 - �ndice nacional de pre�os ao consumidor (INPC) - Sa�de e cuidados pessoais - Var. % mensal;1651 - �ndice nacional de pre�os ao consumidor (INPC) - Despesas pessoais - Var. % mensal
11/1993;32,65 ;-;36,71 ;33,75 ;33,14 ;37,01 ;-;-;39,03 ;33,81
12/1993;36,08 ;-;39,52 ;36,01 ;34,77 ;38,58 ;-;-;36,30 ;39,34
01/1994;46,64 ;-;47,29 ;33,39 ;37,50 ;35,74 ;-;-;41,18 ;42,96
02/1994;42,22 ;-;41,72 ;41,53 ;40,95 ;30,96 ;-;-;43,00 ;43,53
03/1994;40,80 ;-;44,61 ;47,07 ;41,10 ;38,77 ;-;-;43,48 ;41,66
04/1994;38,48 ;-;42,66 ;44,66 ;42,69 ;44,13 ;-;-;41,58 ;41,10
05/1994;45,67 ;-;39,23 ;42,41 ;44,42 ;45,49 ;-;-;46,10 ;44,19
06/1994;44,13 ;-;51,85 ;42,12 ;45,60 ;47,61 ;-;-;47,51 ;46,50
07/1994;4,71 ;-;9,55 ;0,94 ;5,34 ;10,28 ;-;-;4,58 ;6,23
08/1994;1,65 ;-;0,66 ;7,90 ;3,11 ;0,65 ;-;-;0,35 ;2,63
09/1994;1,75 ;-;-0,14 ;7,84 ;0,77 ;2,30 ;-;-;-0,20 ;1,44
10/1994;1,20 ;-;4,39 ;4,11 ;2,50 ;2,77 ;-;-;-0,23 ;1,21
11/1994;1,48 ;-;4,03 ;4,62 ;3,17 ;2,54 ;-;-;1,19 ;1,59
12/1994;2,62 ;-;0,80 ;3,31 ;2,78 ;3,21 ;-;-;1,19 ;2,66
01/1995;4,71 ;-;0,52 ;2,49 ;3,07 ;1,16 ;-;-;1,63 ;3,62
02/1995;0,80 ;-;-0,21 ;3,87 ;2,73 ;-0,96 ;-;-;2,20 ;2,23
03/1995;2,14 ;-;1,42 ;4,00 ;1,61 ;-0,53 ;-;-;2,11 ;2,65
04/1995;4,08 ;-;2,06 ;4,41 ;2,31 ;2,31 ;-;-;1,70 ;4,41
05/1995;8,51 ;-;0,60 ;3,11 ;1,70 ;2,30 ;-;-;2,83 ;6,15
06/1995;3,47 ;-;-0,52 ;4,51 ;1,49 ;1,11 ;-;-;3,84 ;3,14
07/1995;2,64 ;-;0,90 ;5,10 ;0,61 ;0,88 ;-;-;4,38 ;2,25
08/1995;1,88 ;-;0,57 ;4,55 ;-0,56 ;-2,41 ;-;-;1,97 ;1,56
09/1995;1,38 ;-;0,11 ;4,62 ;-0,18 ;0,24 ;-;-;0,86 ;1,43
10/1995;1,50 ;-;0,56 ;4,72 ;-0,42 ;0,52 ;-;-;0,92 ;2,22
11/1995;1,60 ;-;1,16 ;5,10 ;-0,10 ;0,19 ;-;-;0,77 ;1,70
12/1995;0,90 ;-;0,98 ;5,53 ;0,98 ;-0,26 ;-;-;2,20 ;1,10
01/1996;2,15 ;-;1,53 ;2,54 ;0,46 ;-0,18 ;-;-;2,23 ;1,70
02/1996;2,07 ;-;0,10 ;2,31 ;0,15 ;-3,01 ;-;-;1,10 ;1,61
03/1996;0,33 ;-;0,03 ;2,10 ;-0,13 ;-2,35 ;-;-;1,03 ;-0,24
04/1996;0,43 ;-;0,67 ;1,97 ;0,26 ;0,46 ;-;-;0,66 ;0,19
05/1996;2,57 ;-;0,83 ;2,10 ;-0,12 ;1,44 ;-;-;0,66 ;2,78
06/1996;0,50 ;-;0,78 ;2,33 ;-0,32 ;0,88 ;-;-;0,81 ;0,42
07/1996;0,30 ;-;0,40 ;2,01 ;-0,06 ;0,26 ;-;-;2,43 ;0,31
08/1996;0,48 ;-;-0,70 ;2,43 ;-0,05 ;-0,53 ;-;-;1,29 ;0,59
09/1996;0,13 ;-;-0,82 ;1,56 ;-0,26 ;-0,52 ;-;-;0,37 ;0,14
10/1996;-0,54 ;-;0,27 ;1,44 ;-0,15 ;0,67 ;-;-;0,31 ;-0,54
11/1996;0,11 ;-;-0,32 ;1,39 ;0,51 ;0,40 ;-;-;0,43 ;0,03
12/1996;-0,04 ;-;-0,57 ;1,18 ;0,84 ;0,88 ;-;-;0,92 ;-0,02
01/1997;0,82 ;-;0,83 ;1,03 ;0,66 ;0,24 ;-;-;1,20 ;0,29
02/1997;0,58 ;-;0,69 ;0,95 ;0,24 ;-0,85 ;-;-;0,65 ;-0,05
03/1997;-0,29 ;-;1,34 ;1,15 ;-0,55 ;-0,44 ;-;-;0,34 ;-0,33
04/1997;0,20 ;-;0,11 ;1,58 ;-0,32 ;-0,03 ;-;-;0,53 ;0,16
05/1997;0,58 ;-;-0,95 ;0,86 ;-0,84 ;1,19 ;-;-;0,94 ;-0,12
06/1997;0,36 ;-;-0,48 ;0,56 ;-0,59 ;-0,16 ;-;-;0,56 ;0,22
07/1997;0,55 ;-;-0,57 ;0,38 ;-0,41 ;0,02 ;-;-;0,48 ;0,73
08/1997;0,14 ;-;-0,71 ;0,44 ;-0,30 ;-1,01 ;-;-;0,33 ;0,21
09/1997;0,14 ;-;-0,21 ;0,23 ;-0,42 ;0,00 ;-;-;0,37 ;0,64
10/1997;0,44 ;-;0,34 ;0,32 ;-0,51 ;0,47 ;-;-;0,18 ;0,72
11/1997;-0,17 ;-;0,19 ;0,31 ;-0,38 ;-0,31 ;-;-;0,09 ;-0,16
12/1997;0,31 ;-;0,78 ;0,34 ;0,34 ;0,42 ;-;-;0,46 ;0,27
01/1998;1,59 ;-;1,61 ;0,30 ;0,47 ;-0,68 ;-;-;0,69 ;1,80
02/1998;1,02 ;-;0,76 ;0,23 ;0,49 ;-0,56 ;-;-;0,47 ;0,70
03/1998;-0,04 ;-;1,01 ;0,39 ;1,38 ;-0,68 ;-;-;0,57 ;0,10
04/1998;-0,05 ;-;0,98 ;0,48 ;0,01 ;-0,22 ;-;-;0,56 ;0,02
05/1998;0,40 ;-;2,11 ;0,19 ;0,09 ;0,53 ;-;-;0,64 ;-0,89
06/1998;-0,41 ;-;0,31 ;0,17 ;0,33 ;0,31 ;-;-;0,18 ;-0,42
07/1998;0,35 ;-;-1,18 ;0,14 ;-0,54 ;-0,14 ;-;-;0,58 ;0,11
08/1998;0,11 ;-;-1,44 ;0,09 ;-0,31 ;-0,77 ;-;-;0,31 ;0,22
09/1998;-0,55 ;-;-0,79 ;0,11 ;-0,53 ;-0,07 ;-;-;0,29 ;-0,50
10/1998;-0,09 ;-;0,14 ;0,01 ;-0,15 ;0,73 ;-;-;0,24 ;-0,01
11/1998;0,43 ;-;-0,63 ;-0,21 ;-0,55 ;0,15 ;-;-;0,32 ;0,33
12/1998;0,31 ;-;0,24 ;0,60 ;-0,87 ;0,29 ;-;-;0,61 ;-0,08
01/1999;1,63 ;-;0,90 ;0,11 ;0,26 ;-0,15 ;-;-;0,51 ;1,08
02/1999;-0,57 ;-;2,92 ;0,37 ;1,47 ;-1,06 ;-;-;0,81 ;0,12
03/1999;0,55 ;-;2,02 ;0,84 ;1,72 ;-0,25 ;-;-;1,71 ;0,36
04/1999;0,02 ;-;-0,48 ;0,73 ;1,10 ;1,08 ;-;-;1,79 ;0,02
05/1999;0,33 ;-;-1,11 ;0,23 ;0,75 ;0,75 ;-;-;1,60 ;-0,03
06/1999;0,31 ;-;-1,36 ;0,66 ;0,39 ;0,78 ;-;-;0,72 ;0,16
07/1999;0,16 ;-;-0,41 ;1,25 ;0,04 ;0,43 ;-;-;0,61 ;0,31
08/1999;-0,13 ;0,40 ;0,06 ;0,91 ;0,04 ;-0,07 ;1,68 ;0,02 ;1,19 ;-0,44
09/1999;-0,09 ;0,07 ;0,50 ;0,20 ;0,11 ;0,32 ;0,71 ;0,10 ;0,59 ;-0,01
10/1999;0,18 ;0,00 ;2,04 ;-0,01 ;0,48 ;0,93 ;1,26 ;-0,07 ;0,46 ;0,15
11/1999;0,04 ;0,16 ;1,67 ;0,34 ;0,84 ;0,70 ;1,36 ;-0,07 ;0,29 ;0,17
12/1999;0,33 ;0,46 ;1,57 ;0,42 ;0,58 ;0,70 ;0,29 ;-0,03 ;0,21 ;0,28
01/2000;0,12 ;3,05 ;0,90 ;0,20 ;0,40 ;0,23 ;0,72 ;0,99 ;0,62 ;0,00
02/2000;0,36 ;1,32 ;-0,46 ;-0,01 ;0,53 ;-0,53 ;0,42 ;0,06 ;0,29 ;0,29
03/2000;-0,07 ;-0,26 ;-0,58 ;0,09 ;0,30 ;-1,48 ;1,96 ;0,19 ;0,29 ;0,07
04/2000;3,55 ;0,01 ;-0,49 ;0,02 ;0,19 ;0,61 ;0,47 ;-0,14 ;0,03 ;1,56
05/2000;0,13 ;0,07 ;-0,79 ;0,61 ;0,28 ;0,23 ;0,18 ;-0,01 ;0,16 ;-0,10
06/2000;0,04 ;-0,19 ;0,18 ;0,06 ;0,34 ;0,84 ;0,15 ;2,62 ;0,67 ;0,25
07/2000;0,20 ;-0,25 ;2,09 ;1,30 ;0,40 ;0,82 ;1,65 ;7,56 ;0,42 ;0,24
08/2000;0,32 ;0,20 ;2,33 ;0,53 ;0,93 ;0,31 ;1,51 ;-0,08 ;0,46 ;0,37
09/2000;0,18 ;0,26 ;0,91 ;0,12 ;0,74 ;0,54 ;0,24 ;0,16 ;-0,23 ;0,12
10/2000;0,17 ;0,10 ;0,12 ;0,19 ;0,33 ;0,59 ;0,15 ;0,07 ;-0,20 ;0,11
11/2000;0,07 ;0,20 ;-0,16 ;0,71 ;0,60 ;0,51 ;0,74 ;0,29 ;-0,11 ;0,15
12/2000;0,49 ;0,21 ;-0,42 ;1,23 ;0,67 ;0,99 ;1,92 ;0,14 ;-0,21 ;0,38
01/2001;0,38 ;1,41 ;0,89 ;0,59 ;0,58 ;0,06 ;1,59 ;0,40 ;0,12 ;0,39
02/2001;0,18 ;2,88 ;0,13 ;0,28 ;0,17 ;-0,54 ;1,46 ;0,35 ;0,84 ;0,14
03/2001;0,04 ;0,49 ;1,17 ;0,14 ;-0,05 ;-0,39 ;0,25 ;0,16 ;0,78 ;0,09
04/2001;0,98 ;0,64 ;2,07 ;0,92 ;0,08 ;-0,17 ;-0,10 ;-0,07 ;0,19 ;0,56
05/2001;0,50 ;0,07 ;0,62 ;1,41 ;-0,12 ;0,14 ;0,54 ;0,13 ;0,00 ;0,46
06/2001;0,08 ;0,14 ;0,02 ;1,09 ;0,08 ;0,87 ;2,04 ;1,30 ;-0,57 ;0,17
07/2001;1,27 ;0,20 ;0,69 ;1,92 ;0,32 ;0,57 ;1,78 ;5,75 ;0,19 ;0,75
08/2001;1,05 ;0,45 ;0,96 ;0,77 ;0,17 ;0,36 ;1,01 ;-0,06 ;1,05 ;0,69
09/2001;0,16 ;0,40 ;0,23 ;0,54 ;0,18 ;0,20 ;0,97 ;-0,02 ;0,42 ;0,31
10/2001;1,31 ;0,01 ;1,19 ;1,03 ;1,00 ;0,67 ;0,71 ;0,10 ;0,31 ;1,92
11/2001;0,60 ;0,31 ;1,44 ;2,77 ;1,16 ;0,90 ;0,37 ;0,03 ;0,39 ;1,40
12/2001;0,17 ;0,12 ;0,65 ;0,49 ;1,27 ;2,04 ;0,58 ;0,04 ;1,10 ;0,38
01/2002;0,57 ;0,41 ;0,89 ;3,55 ;1,09 ;0,57 ;-0,52 ;0,62 ;0,36 ;0,63
02/2002;0,37 ;4,70 ;0,09 ;0,13 ;0,81 ;-0,49 ;-0,08 ;0,22 ;1,06 ;0,39
03/2002;-0,25 ;0,65 ;0,41 ;0,96 ;-0,15 ;0,00 ;0,90 ;-0,03 ;1,67 ;0,13
04/2002;0,54 ;0,38 ;-0,39 ;1,91 ;0,04 ;0,84 ;1,56 ;0,02 ;0,82 ;0,22
05/2002;0,68 ;0,44 ;-0,74 ;0,22 ;0,90 ;1,37 ;0,44 ;0,00 ;0,09 ;0,24
06/2002;0,29 ;0,18 ;0,13 ;1,41 ;0,00 ;1,12 ;1,22 ;0,18 ;0,18 ;-0,10
07/2002;1,02 ;0,12 ;1,18 ;1,83 ;0,33 ;0,97 ;0,63 ;9,19 ;0,61 ;0,57
08/2002;0,53 ;0,29 ;2,26 ;0,22 ;0,58 ;0,33 ;0,04 ;0,62 ;0,42 ;0,39
09/2002;0,61 ;0,40 ;2,22 ;-0,61 ;1,76 ;0,45 ;0,19 ;-0,04 ;0,61 ;0,55
10/2002;1,12 ;0,13 ;3,10 ;0,39 ;2,36 ;1,16 ;0,75 ;0,07 ;0,77 ;1,71
11/2002;0,41 ;0,24 ;6,48 ;2,52 ;2,86 ;0,89 ;3,14 ;0,03 ;0,92 ;0,55
12/2002;2,19 ;0,27 ;4,25 ;1,61 ;2,24 ;0,98 ;1,97 ;0,04 ;3,14 ;3,51
01/2003;1,94 ;1,23 ;2,44 ;1,87 ;2,08 ;0,96 ;4,86 ;0,22 ;1,79 ;1,96
02/2003;0,64 ;5,64 ;1,29 ;-0,17 ;1,63 ;0,23 ;3,89 ;3,10 ;0,85 ;0,48
03/2003;0,72 ;0,92 ;1,61 ;1,33 ;1,17 ;0,60 ;0,87 ;1,30 ;2,95 ;0,58
04/2003;0,35 ;0,43 ;1,15 ;2,82 ;0,70 ;0,89 ;1,04 ;0,11 ;1,95 ;0,19
05/2003;0,11 ;0,22 ;0,61 ;2,61 ;0,33 ;1,10 ;0,73 ;-0,09 ;0,72 ;0,24
06/2003;0,22 ;0,12 ;-0,51 ;0,30 ;-0,08 ;1,74 ;-0,51 ;0,18 ;0,36 ;-0,04
07/2003;0,17 ;0,51 ;-0,91 ;0,67 ;0,07 ;0,41 ;-0,14 ;8,70 ;0,57 ;-0,13
08/2003;1,20 ;0,35 ;-0,48 ;0,80 ;0,08 ;0,27 ;0,26 ;1,36 ;0,16 ;1,07
09/2003;0,59 ;0,21 ;0,79 ;1,00 ;0,13 ;0,79 ;1,13 ;2,10 ;0,47 ;0,82
10/2003;0,65 ;-0,03 ;0,46 ;0,47 ;0,41 ;0,92 ;-0,06 ;-0,31 ;0,63 ;0,57
11/2003;1,27 ;0,14 ;0,24 ;0,18 ;0,15 ;0,98 ;0,50 ;0,09 ;0,04 ;1,68
12/2003;1,34 ;0,18 ;0,30 ;0,17 ;0,21 ;1,01 ;1,00 ;0,16 ;0,48 ;1,96
01/2004;0,97 ;0,68 ;0,97 ;1,33 ;0,39 ;0,16 ;0,60 ;0,18 ;0,45 ;1,10
02/2004;0,39 ;6,70 ;0,25 ;0,22 ;0,42 ;-0,13 ;0,29 ;0,67 ;-0,01 ;0,80
03/2004;1,02 ;0,62 ;0,51 ;0,64 ;0,71 ;0,31 ;0,13 ;0,65 ;0,85 ;1,48
04/2004;0,30 ;0,40 ;-0,40 ;1,11 ;0,21 ;0,99 ;0,32 ;-0,03 ;1,82 ;0,26
05/2004;0,08 ;0,25 ;0,02 ;0,75 ;0,32 ;1,23 ;0,08 ;0,01 ;1,40 ;0,12
06/2004;0,30 ;0,19 ;0,48 ;0,14 ;0,56 ;1,24 ;0,86 ;-0,09 ;0,41 ;0,29
07/2004;0,50 ;0,27 ;0,53 ;1,22 ;0,47 ;0,51 ;0,70 ;4,65 ;0,47 ;0,33
08/2004;0,65 ;0,57 ;0,76 ;0,15 ;0,01 ;0,53 ;0,75 ;0,73 ;0,32 ;0,37
09/2004;0,46 ;0,13 ;-0,23 ;0,38 ;0,71 ;0,98 ;0,06 ;2,74 ;-0,37 ;0,44
10/2004;0,61 ;-0,08 ;-0,57 ;0,50 ;0,56 ;0,99 ;0,40 ;0,66 ;0,32 ;0,60
11/2004;0,50 ;0,08 ;-0,09 ;0,27 ;0,47 ;1,01 ;1,12 ;2,24 ;0,16 ;1,10
12/2004;0,87 ;0,33 ;0,68 ;0,37 ;0,55 ;1,52 ;2,05 ;0,50 ;0,14 ;0,98
01/2005;0,69 ;0,34 ;0,75 ;0,50 ;0,78 ;0,22 ;0,64 ;0,06 ;0,10 ;0,74
02/2005;0,58 ;5,28 ;0,43 ;0,34 ;0,71 ;-0,17 ;0,19 ;-0,02 ;0,46 ;0,25
03/2005;0,30 ;0,43 ;0,23 ;0,93 ;0,21 ;0,60 ;2,19 ;0,17 ;0,11 ;0,33
04/2005;0,45 ;0,14 ;0,69 ;0,99 ;0,53 ;0,80 ;1,32 ;0,52 ;1,72 ;0,27
05/2005;0,34 ;0,09 ;0,70 ;0,96 ;0,59 ;1,32 ;0,33 ;-0,35 ;1,20 ;0,32
06/2005;0,60 ;0,24 ;-0,82 ;0,30 ;0,28 ;0,43 ;-0,14 ;0,85 ;0,00 ;0,42
07/2005;0,63 ;0,17 ;-0,65 ;0,11 ;0,23 ;0,28 ;0,25 ;3,87 ;0,25 ;0,43
08/2005;0,65 ;0,19 ;-0,86 ;0,29 ;0,30 ;0,14 ;0,46 ;1,28 ;0,35 ;0,36
09/2005;0,73 ;0,09 ;-0,45 ;0,54 ;-0,30 ;0,31 ;0,59 ;-0,01 ;0,44 ;0,45
10/2005;0,74 ;-0,14 ;0,28 ;0,63 ;-0,42 ;0,64 ;1,72 ;-0,03 ;0,25 ;0,65
11/2005;0,61 ;-0,03 ;0,81 ;0,57 ;-0,45 ;0,93 ;0,74 ;-0,13 ;0,13 ;0,47
12/2005;0,45 ;0,26 ;0,35 ;0,31 ;0,28 ;1,69 ;0,36 ;0,09 ;0,15 ;0,41
01/2006;0,94 ;0,57 ;0,07 ;-0,14 ;0,53 ;0,10 ;1,31 ;0,11 ;0,47 ;0,66
02/2006;0,34 ;4,44 ;-0,20 ;0,26 ;-0,32 ;-0,46 ;0,71 ;0,10 ;0,33 ;0,46
03/2006;0,40 ;0,71 ;-0,12 ;0,72 ;-0,11 ;0,13 ;0,51 ;0,05 ;0,32 ;0,36
04/2006;0,20 ;0,02 ;-0,34 ;0,40 ;-0,74 ;0,99 ;0,00 ;0,09 ;1,29 ;0,21
05/2006;0,37 ;-0,04 ;-0,12 ;0,30 ;-0,68 ;0,84 ;0,03 ;0,08 ;0,87 ;0,29
06/2006;0,26 ;0,02 ;-0,57 ;0,62 ;-0,68 ;0,64 ;-0,36 ;-0,01 ;0,25 ;0,27
07/2006;0,67 ;0,09 ;-0,20 ;-0,03 ;0,05 ;-0,13 ;0,66 ;-0,08 ;0,35 ;0,55
08/2006;0,96 ;-0,02 ;-0,27 ;0,17 ;-0,04 ;0,18 ;-0,03 ;-0,44 ;0,01 ;0,59
09/2006;0,89 ;-0,01 ;0,09 ;0,42 ;-0,14 ;0,35 ;-0,04 ;-0,13 ;0,19 ;0,73
10/2006;0,87 ;0,17 ;1,10 ;0,17 ;-0,36 ;0,65 ;-0,16 ;-0,10 ;0,34 ;0,92
11/2006;0,69 ;0,03 ;1,14 ;-0,04 ;0,16 ;0,64 ;-0,07 ;-0,12 ;0,08 ;1,09
12/2006;0,44 ;0,17 ;0,37 ;0,13 ;-0,10 ;0,98 ;2,22 ;-0,03 ;0,06 ;0,51
01/2007;0,70 ;0,07 ;0,80 ;-0,08 ;0,23 ;-0,20 ;1,25 ;0,02 ;0,34 ;0,49
02/2007;0,43 ;3,48 ;0,79 ;0,13 ;-0,26 ;-0,50 ;0,69 ;-0,27 ;0,29 ;0,36
03/2007;0,41 ;0,02 ;1,10 ;0,28 ;-0,19 ;0,42 ;0,15 ;0,02 ;0,18 ;0,30
04/2007;0,46 ;0,04 ;0,09 ;0,51 ;-0,14 ;0,40 ;0,29 ;0,06 ;0,40 ;0,46
05/2007;0,74 ;0,06 ;0,07 ;0,21 ;-0,04 ;0,70 ;0,24 ;-0,03 ;0,59 ;0,81
06/2007;0,42 ;0,04 ;0,93 ;0,22 ;-0,57 ;0,84 ;-0,33 ;-0,10 ;0,25 ;0,34
07/2007;0,52 ;0,06 ;1,36 ;-0,60 ;-0,41 ;-0,12 ;-0,03 ;0,55 ;0,15 ;0,43
08/2007;0,59 ;0,38 ;1,52 ;0,02 ;0,22 ;0,05 ;0,20 ;0,88 ;0,28 ;0,47
09/2007;0,14 ;-0,11 ;0,61 ;0,42 ;0,16 ;0,30 ;0,01 ;-0,84 ;0,25 ;0,02
10/2007;0,59 ;0,01 ;0,55 ;-0,03 ;0,02 ;0,63 ;0,10 ;-0,01 ;0,40 ;0,73
11/2007;0,35 ;0,02 ;0,90 ;0,36 ;-0,28 ;0,63 ;0,24 ;0,02 ;0,24 ;0,31
12/2007;1,00 ;0,07 ;2,61 ;0,07 ;-0,36 ;0,78 ;0,58 ;-0,04 ;-0,09 ;1,26
01/2008;0,54 ;0,20 ;1,67 ;0,11 ;0,00 ;-0,17 ;0,76 ;-0,08 ;0,37 ;0,51
02/2008;0,54 ;3,47 ;0,89 ;0,19 ;-0,11 ;-0,32 ;0,23 ;0,24 ;0,42 ;0,49
03/2008;0,09 ;0,24 ;0,98 ;0,58 ;-0,40 ;0,71 ;0,30 ;-0,01 ;0,38 ;-0,03
04/2008;0,49 ;0,05 ;1,29 ;0,12 ;0,27 ;1,38 ;-0,01 ;0,06 ;0,84 ;0,59
05/2008;1,11 ;0,03 ;2,19 ;0,48 ;0,12 ;0,78 ;0,29 ;-0,04 ;0,64 ;0,94
06/2008;0,54 ;0,05 ;2,38 ;0,32 ;0,10 ;0,39 ;0,12 ;0,12 ;0,72 ;0,27
07/2008;0,51 ;-0,02 ;1,09 ;0,70 ;-0,02 ;-0,03 ;0,41 ;0,41 ;0,43 ;0,27
08/2008;0,73 ;0,42 ;-0,42 ;0,83 ;0,21 ;0,39 ;0,04 ;1,09 ;0,19 ;1,04
09/2008;0,80 ;-0,05 ;-0,46 ;0,50 ;0,36 ;0,71 ;0,30 ;-0,06 ;0,44 ;0,73
10/2008;0,68 ;0,02 ;0,67 ;0,69 ;0,50 ;1,15 ;0,02 ;0,17 ;0,32 ;0,43
11/2008;0,50 ;0,05 ;0,50 ;0,48 ;0,73 ;0,66 ;-0,06 ;0,11 ;0,30 ;0,48
12/2008;0,59 ;0,08 ;0,12 ;0,31 ;-0,16 ;0,90 ;0,40 ;-0,02 ;0,34 ;0,65
01/2009;0,65 ;0,34 ;0,53 ;0,41 ;0,40 ;0,22 ;1,74 ;0,01 ;0,54 ;0,38
02/2009;0,31 ;4,77 ;0,10 ;0,10 ;0,25 ;-0,12 ;0,62 ;0,05 ;0,35 ;0,28
03/2009;0,35 ;-0,37 ;0,10 ;0,33 ;0,37 ;0,49 ;-0,05 ;0,07 ;0,36 ;0,50
04/2009;2,14 ;0,09 ;0,01 ;0,83 ;-0,26 ;0,97 ;-0,07 ;0,08 ;1,30 ;3,51
05/2009;1,57 ;0,03 ;0,47 ;0,85 ;-0,18 ;1,02 ;0,15 ;-0,06 ;0,69 ;2,40
06/2009;0,49 ;0,03 ;0,70 ;0,24 ;0,80 ;0,54 ;0,10 ;-0,20 ;0,48 ;0,47
07/2009;0,26 ;0,11 ;-0,17 ;1,02 ;0,34 ;0,06 ;0,30 ;-0,16 ;0,21 ;0,31
