Data;1652 - �ndice nacional de pre�os ao consumidor (INPC) - Educa��o - Var. % mensal;4447 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Comercializ�veis - Var. % mensal;4448 - �ndice de Pre�os ao Consumidor-Amplo (IPCA) - N�o comercializ�veis - Var. % mensal;4449 - �ndice Nacional de Pre�os ao Consumidor - Amplo (IPCA) - Monitorados - Var. % mensal;4451 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Pre�os monitorados - Taxa de �gua e esgoto - Var. % mensal;4452 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Pre�os monitorados - G�s de buj�o - Var. % mensal;4453 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Pre�os monitorados - Energia el�trica - Var. % mensal;4454 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Pre�os monitorados - �nibus urbano - Var. % mensal
06/1993;-;30,81 ;29,20 ;30,16 ;24,69 ;30,50 ;37,30 ;31,31
07/1993;-;31,51 ;28,05 ;35,26 ;36,50 ;40,03 ;57,55 ;34,75
08/1993;-;32,19 ;32,91 ;35,30 ;34,73 ;31,66 ;43,44 ;36,99
09/1993;-;35,43 ;35,81 ;36,14 ;35,42 ;39,60 ;39,73 ;37,08
10/1993;-;35,13 ;32,21 ;34,63 ;38,01 ;31,82 ;44,15 ;32,47
11/1993;-;36,56 ;34,40 ;35,47 ;33,51 ;33,73 ;37,10 ;35,76
12/1993;-;37,94 ;35,79 ;36,16 ;37,96 ;37,87 ;40,06 ;36,31
01/1994;-;40,15 ;44,63 ;37,74 ;41,79 ;38,86 ;34,32 ;39,82
02/1994;-;38,08 ;42,46 ;42,49 ;42,96 ;40,10 ;43,46 ;42,63
03/1994;-;41,88 ;44,59 ;41,27 ;42,23 ;41,33 ;42,07 ;41,16
04/1994;-;44,41 ;40,55 ;42,14 ;44,09 ;41,44 ;39,87 ;42,69
05/1994;-;44,34 ;43,09 ;45,22 ;41,81 ;49,98 ;42,81 ;46,52
06/1994;-;50,94 ;44,62 ;42,41 ;38,99 ;48,54 ;19,69 ;48,38
07/1994;-;5,99 ;9,02 ;4,64 ;-6,89 ;0,70 ;-1,70 ;16,91
08/1994;-;-0,23 ;5,67 ;-0,12 ;0,00 ;-0,05 ;0,00 ;0,00
09/1994;-;0,16 ;4,04 ;-0,16 ;-1,42 ;-0,19 ;0,00 ;0,00
10/1994;-;2,71 ;3,73 ;-0,72 ;-0,10 ;-3,11 ;0,00 ;0,00
11/1994;-;2,85 ;4,03 ;-0,79 ;0,00 ;-0,72 ;0,00 ;0,00
12/1994;-;1,42 ;2,64 ;0,04 ;0,00 ;0,00 ;0,00 ;0,00
01/1995;-;0,48 ;3,89 ;-0,25 ;0,00 ;-0,76 ;0,00 ;0,00
02/1995;-;-0,19 ;2,67 ;0,48 ;0,00 ;-0,02 ;0,00 ;0,55
03/1995;-;0,18 ;3,55 ;0,36 ;0,00 ;0,10 ;0,00 ;0,00
04/1995;-;1,94 ;3,64 ;0,28 ;1,05 ;0,11 ;0,00 ;0,00
05/1995;-;1,71 ;4,44 ;0,30 ;0,04 ;0,00 ;0,00 ;0,78
06/1995;-;1,12 ;2,51 ;5,86 ;13,82 ;10,04 ;0,00 ;15,48
07/1995;-;1,78 ;2,08 ;5,55 ;8,17 ;18,08 ;0,00 ;8,55
08/1995;-;0,20 ;1,76 ;1,29 ;3,11 ;-0,12 ;0,00 ;1,48
09/1995;-;0,54 ;1,34 ;1,42 ;1,54 ;0,34 ;0,00 ;2,68
10/1995;-;1,00 ;1,32 ;3,18 ;0,98 ;-0,05 ;0,00 ;0,17
11/1995;-;0,77 ;1,91 ;2,46 ;0,00 ;0,07 ;25,88 ;0,00
12/1995;-;0,57 ;1,73 ;4,40 ;0,88 ;-0,20 ;31,18 ;0,00
01/1996;-;0,54 ;2,39 ;0,60 ;0,03 ;-0,17 ;0,39 ;2,38
02/1996;-;-0,66 ;1,77 ;4,23 ;4,46 ;-0,40 ;0,00 ;1,59
03/1996;-;-0,60 ;1,32 ;0,25 ;0,30 ;-0,22 ;0,00 ;1,02
04/1996;-;0,46 ;1,23 ;3,87 ;0,66 ;-0,40 ;0,00 ;0,00
05/1996;-;1,06 ;1,62 ;0,44 ;0,20 ;0,30 ;0,00 ;0,69
06/1996;-;0,69 ;1,10 ;3,02 ;5,54 ;0,39 ;0,00 ;6,57
07/1996;-;0,65 ;1,08 ;2,58 ;2,82 ;0,18 ;0,00 ;5,55
08/1996;-;-0,14 ;0,73 ;1,25 ;4,23 ;11,11 ;0,00 ;1,50
09/1996;-;-0,44 ;0,67 ;0,24 ;1,15 ;1,08 ;0,00 ;0,00
10/1996;-;0,36 ;0,28 ;0,19 ;0,16 ;-0,52 ;0,00 ;0,00
11/1996;-;0,11 ;0,45 ;0,53 ;0,90 ;-0,15 ;0,91 ;0,63
12/1996;-;0,20 ;0,39 ;1,49 ;1,51 ;-0,08 ;0,29 ;0,07
01/1997;-;0,53 ;1,18 ;3,01 ;0,19 ;-0,27 ;0,00 ;0,00
02/1997;-;0,03 ;1,01 ;0,26 ;0,51 ;0,09 ;0,00 ;0,61
03/1997;-;0,12 ;0,83 ;0,62 ;0,15 ;3,80 ;0,00 ;1,61
04/1997;-;0,11 ;0,46 ;4,27 ;0,07 ;7,17 ;5,37 ;0,00
05/1997;-;0,04 ;0,31 ;1,66 ;0,00 ;-0,08 ;3,04 ;0,05
06/1997;-;0,09 ;0,10 ;2,97 ;2,94 ;-0,25 ;0,28 ;3,95
07/1997;-;0,17 ;-0,01 ;0,97 ;1,59 ;-0,01 ;0,00 ;2,56
08/1997;-;-0,36 ;0,07 ;0,59 ;1,81 ;0,12 ;0,82 ;1,61
09/1997;-;0,13 ;-0,08 ;0,30 ;0,06 ;-0,11 ;0,05 ;0,47
10/1997;-;0,31 ;0,22 ;0,05 ;-0,20 ;-0,14 ;0,00 ;0,06
11/1997;-;0,01 ;-0,01 ;1,06 ;0,14 ;2,45 ;0,15 ;0,56
12/1997;-;0,31 ;0,23 ;1,28 ;1,72 ;2,45 ;0,06 ;0,82
01/1998;-;0,59 ;0,76 ;0,86 ;0,08 ;0,58 ;1,02 ;0,67
02/1998;-;0,21 ;0,61 ;0,65 ;0,07 ;-0,08 ;0,06 ;3,04
03/1998;-;0,29 ;0,47 ;0,11 ;0,00 ;4,54 ;0,00 ;0,00
04/1998;-;0,11 ;0,30 ;0,39 ;0,00 ;8,81 ;0,25 ;0,65
05/1998;-;0,35 ;0,74 ;0,20 ;0,00 ;-0,43 ;0,87 ;0,64
06/1998;-;0,28 ;-0,18 ;-0,07 ;0,76 ;0,18 ;0,00 ;-0,10
07/1998;-;-0,02 ;-0,35 ;0,26 ;1,06 ;0,66 ;0,00 ;0,13
08/1998;-;-0,52 ;-0,40 ;-0,80 ;0,15 ;-0,52 ;0,00 ;0,06
09/1998;-;-0,12 ;-0,35 ;-0,11 ;0,00 ;1,22 ;0,00 ;0,00
10/1998;-;0,10 ;0,02 ;-0,15 ;0,00 ;1,65 ;0,00 ;0,00
11/1998;-;-0,11 ;-0,16 ;-0,03 ;0,00 ;0,59 ;0,33 ;0,57
12/1998;-;0,03 ;0,02 ;1,90 ;0,33 ;12,38 ;0,13 ;2,70
01/1999;-;0,42 ;0,77 ;1,19 ;0,00 ;4,80 ;0,00 ;2,62
02/1999;-;2,14 ;-0,15 ;1,63 ;0,11 ;2,38 ;0,00 ;2,22
03/1999;-;1,69 ;0,45 ;1,41 ;0,16 ;5,87 ;0,00 ;1,03
04/1999;-;0,78 ;-0,01 ;1,49 ;0,17 ;6,40 ;1,24 ;0,49
05/1999;-;0,48 ;-0,02 ;0,68 ;0,13 ;3,73 ;0,77 ;0,42
06/1999;-;-0,09 ;-0,11 ;1,62 ;0,00 ;2,10 ;6,97 ;1,18
07/1999;-;0,35 ;-0,13 ;5,83 ;2,83 ;9,40 ;5,46 ;2,18
08/1999;0,26 ;0,32 ;0,15 ;1,55 ;3,13 ;4,11 ;1,45 ;1,15
09/1999;0,15 ;0,34 ;0,12 ;0,55 ;1,44 ;0,58 ;0,41 ;0,59
10/1999;0,15 ;2,41 ;0,12 ;0,75 ;1,18 ;-1,07 ;0,03 ;1,13
11/1999;0,30 ;1,05 ;0,20 ;1,86 ;0,97 ;-0,96 ;1,64 ;0,42
12/1999;0,44 ;0,87 ;0,23 ;0,67 ;2,04 ;0,56 ;0,58 ;0,54
01/2000;2,26 ;0,47 ;0,85 ;0,54 ;0,25 ;1,48 ;0,00 ;0,77
02/2000;2,60 ;0,10 ;0,37 ;-0,15 ;-0,64 ;0,24 ;0,00 ;0,45
03/2000;0,00 ;-0,33 ;0,15 ;1,22 ;1,82 ;-0,85 ;0,00 ;2,09
04/2000;-0,16 ;0,05 ;1,11 ;0,05 ;0,03 ;-0,28 ;0,19 ;0,57
05/2000;0,06 ;-0,04 ;-0,11 ;0,26 ;0,01 ;0,83 ;1,78 ;0,00
06/2000;0,09 ;0,59 ;-0,15 ;0,19 ;0,58 ;1,23 ;-0,14 ;0,08
07/2000;-0,32 ;1,37 ;0,01 ;4,23 ;0,00 ;5,53 ;4,85 ;0,32
08/2000;0,33 ;1,09 ;0,57 ;2,63 ;0,07 ;5,78 ;0,10 ;0,14
09/2000;0,43 ;0,25 ;0,40 ;-0,03 ;0,13 ;-0,54 ;0,75 ;0,21
10/2000;0,17 ;0,01 ;0,42 ;-0,03 ;0,07 ;-1,22 ;0,58 ;0,00
11/2000;0,18 ;-0,04 ;0,17 ;1,07 ;0,02 ;0,72 ;2,92 ;0,87
12/2000;0,29 ;0,07 ;-0,12 ;2,32 ;1,99 ;6,69 ;1,10 ;2,12
01/2001;1,32 ;0,28 ;0,71 ;0,84 ;1,12 ;-0,23 ;1,97 ;1,80
02/2001;2,85 ;0,10 ;0,78 ;0,58 ;2,39 ;-1,39 ;0,56 ;2,23
03/2001;0,47 ;0,41 ;0,63 ;0,02 ;1,60 ;-1,52 ;0,13 ;0,29
04/2001;0,69 ;0,60 ;1,06 ;-0,06 ;0,71 ;0,93 ;1,87 ;0,00
05/2001;0,09 ;0,45 ;0,36 ;0,42 ;0,08 ;3,68 ;1,99 ;1,32
06/2001;0,14 ;0,27 ;0,05 ;1,51 ;4,48 ;2,30 ;0,18 ;5,22
07/2001;0,34 ;0,73 ;0,42 ;3,40 ;0,32 ;5,90 ;5,25 ;0,55
08/2001;0,46 ;0,63 ;0,58 ;0,96 ;0,80 ;1,71 ;1,21 ;0,32
09/2001;0,53 ;0,29 ;0,13 ;0,45 ;1,57 ;-0,71 ;0,69 ;1,24
10/2001;-0,01 ;1,03 ;0,34 ;1,15 ;0,14 ;4,29 ;0,27 ;0,08
11/2001;0,33 ;1,25 ;0,21 ;0,55 ;0,05 ;0,47 ;1,81 ;0,50
12/2001;0,27 ;1,03 ;0,31 ;0,51 ;1,32 ;-0,54 ;0,78 ;1,09
01/2002;0,41 ;0,57 ;0,59 ;0,36 ;1,04 ;17,87 ;4,51 ;1,34
02/2002;4,28 ;0,35 ;0,97 ;-0,38 ;0,89 ;-1,34 ;0,21 ;0,83
03/2002;0,43 ;0,31 ;0,45 ;1,21 ;1,47 ;-0,29 ;2,24 ;0,61
04/2002;0,47 ;0,11 ;0,51 ;2,16 ;0,00 ;8,74 ;1,31 ;0,28
05/2002;0,57 ;0,07 ;0,30 ;0,30 ;0,75 ;-3,67 ;1,50 ;0,23
06/2002;0,16 ;0,21 ;0,07 ;1,14 ;0,02 ;9,02 ;0,09 ;2,44
07/2002;0,05 ;0,61 ;0,73 ;2,56 ;0,00 ;4,42 ;4,26 ;0,02
08/2002;0,36 ;1,26 ;0,36 ;0,15 ;2,18 ;-3,11 ;1,11 ;0,09
09/2002;0,50 ;1,49 ;0,48 ;-0,07 ;0,78 ;-7,61 ;0,57 ;0,00
10/2002;0,36 ;2,18 ;0,38 ;1,18 ;0,00 ;-0,17 ;0,34 ;1,02
11/2002;0,35 ;3,58 ;1,26 ;4,29 ;0,25 ;12,43 ;1,72 ;1,94
12/2002;0,35 ;3,28 ;1,14 ;1,53 ;1,74 ;6,77 ;0,53 ;2,67
01/2003;1,37 ;1,73 ;1,53 ;3,83 ;0,79 ;4,55 ;2,73 ;4,99
02/2003;5,27 ;0,79 ;1,54 ;2,71 ;0,27 ;-3,73 ;0,67 ;5,91
03/2003;0,80 ;1,44 ;1,10 ;1,08 ;4,12 ;0,91 ;0,15 ;1,75
04/2003;0,70 ;1,11 ;0,58 ;1,21 ;2,53 ;4,13 ;3,28 ;1,96
05/2003;0,34 ;0,95 ;0,00 ;0,81 ;1,99 ;0,35 ;6,45 ;1,59
06/2003;0,23 ;0,38 ;-0,04 ;-1,02 ;0,20 ;-0,07 ;0,07 ;-0,07
07/2003;0,40 ;-0,06 ;0,05 ;0,73 ;0,01 ;-0,23 ;2,06 ;0,00
08/2003;0,31 ;0,07 ;0,22 ;0,86 ;2,79 ;-0,40 ;2,03 ;0,00
09/2003;0,25 ;0,67 ;0,31 ;1,44 ;6,30 ;-0,06 ;0,77 ;1,07
10/2003;0,09 ;0,54 ;0,17 ;0,07 ;0,18 ;-0,47 ;0,99 ;0,12
11/2003;0,14 ;0,25 ;0,43 ;0,36 ;0,00 ;-1,07 ;0,42 ;1,08
12/2003;0,27 ;0,51 ;0,58 ;0,47 ;0,25 ;-0,75 ;0,09 ;0,97
01/2004;0,79 ;0,53 ;0,97 ;0,84 ;0,79 ;1,72 ;2,19 ;0,24
02/2004;5,44 ;0,06 ;1,64 ;0,26 ;0,83 ;0,49 ;0,11 ;-0,07
03/2004;0,68 ;0,69 ;0,68 ;-0,07 ;2,62 ;1,51 ;0,01 ;0,48
04/2004;0,52 ;0,51 ;0,24 ;0,32 ;0,73 ;2,35 ;1,21 ;0,60
05/2004;0,41 ;0,75 ;0,35 ;0,35 ;0,27 ;-0,04 ;1,29 ;-0,46
06/2004;0,30 ;0,80 ;0,31 ;1,03 ;0,42 ;-0,07 ;0,00 ;0,62
07/2004;0,22 ;0,55 ;0,47 ;1,89 ;0,08 ;0,40 ;3,67 ;0,52
08/2004;0,63 ;0,30 ;0,97 ;0,92 ;0,00 ;-0,95 ;0,50 ;0,52
09/2004;0,16 ;0,40 ;0,00 ;0,59 ;2,16 ;-0,81 ;0,34 ;0,00
10/2004;0,07 ;0,41 ;0,14 ;0,80 ;0,30 ;0,31 ;0,46 ;0,00
11/2004;0,10 ;0,47 ;0,29 ;1,41 ;0,00 ;1,45 ;-0,36 ;0,59
12/2004;0,47 ;0,64 ;0,60 ;1,43 ;1,79 ;0,61 ;-0,12 ;1,60
01/2005;0,37 ;0,48 ;0,78 ;0,51 ;0,41 ;-0,37 ;1,28 ;-0,10
02/2005;4,59 ;0,06 ;1,68 ;0,16 ;1,67 ;-1,06 ;0,27 ;-0,37
03/2005;0,31 ;0,19 ;0,50 ;1,29 ;4,42 ;0,00 ;-0,03 ;5,02
04/2005;0,39 ;0,94 ;0,53 ;1,14 ;0,12 ;0,20 ;2,22 ;2,57
05/2005;0,17 ;0,72 ;0,43 ;0,25 ;0,24 ;-0,46 ;1,78 ;0,82
06/2005;0,36 ;-0,06 ;0,16 ;-0,16 ;0,43 ;0,82 ;0,04 ;0,00
07/2005;0,21 ;-0,25 ;0,33 ;0,84 ;0,21 ;-0,35 ;-0,37 ;-0,22
08/2005;0,20 ;-0,18 ;0,11 ;0,69 ;2,39 ;-0,45 ;0,04 ;0,36
09/2005;0,07 ;-0,02 ;0,27 ;0,92 ;2,08 ;0,46 ;0,23 ;0,04
10/2005;-0,16 ;0,43 ;0,31 ;1,62 ;0,29 ;0,27 ;0,51 ;1,10
11/2005;0,03 ;0,17 ;0,73 ;0,85 ;0,33 ;0,64 ;1,30 ;0,64
12/2005;0,38 ;0,23 ;0,36 ;0,53 ;0,16 ;0,56 ;0,55 ;0,24
01/2006;0,77 ;0,33 ;0,90 ;0,58 ;0,21 ;0,55 ;-0,94 ;1,82
02/2006;3,80 ;-0,09 ;0,97 ;0,42 ;0,00 ;0,30 ;0,15 ;1,25
03/2006;0,66 ;0,30 ;0,32 ;0,68 ;1,84 ;1,22 ;0,38 ;0,04
04/2006;0,06 ;-0,17 ;0,28 ;0,54 ;-0,30 ;0,67 ;1,23 ;0,00
05/2006;-0,05 ;-0,12 ;-0,03 ;0,45 ;-0,04 ;1,26 ;0,24 ;0,16
06/2006;0,14 ;-0,42 ;-0,26 ;0,06 ;0,40 ;1,54 ;0,48 ;0,05
07/2006;0,03 ;0,00 ;0,25 ;0,33 ;0,27 ;0,44 ;-0,73 ;0,00
08/2006;0,07 ;-0,04 ;0,21 ;-0,03 ;0,51 ;0,31 ;-0,16 ;0,00
09/2006;-0,14 ;0,16 ;0,25 ;0,22 ;1,89 ;0,58 ;0,03 ;0,00
10/2006;0,31 ;0,42 ;0,43 ;0,12 ;0,13 ;-0,03 ;0,31 ;0,00
11/2006;-0,03 ;0,54 ;0,37 ;0,00 ;0,00 ;0,13 ;-0,57 ;0,00
12/2006;0,32 ;0,40 ;0,25 ;0,83 ;0,00 ;0,29 ;-0,13 ;4,61
01/2007;0,14 ;0,22 ;0,80 ;0,27 ;0,00 ;-0,04 ;-1,04 ;1,66
02/2007;2,61 ;-0,10 ;1,23 ;0,12 ;0,00 ;-0,05 ;-0,10 ;1,60
03/2007;0,10 ;0,21 ;0,66 ;0,21 ;1,24 ;-0,26 ;-0,46 ;0,09
04/2007;0,16 ;0,25 ;0,13 ;0,39 ;0,72 ;0,23 ;0,37 ;0,03
05/2007;0,07 ;0,48 ;0,04 ;0,35 ;0,19 ;-0,25 ;0,47 ;0,24
06/2007;0,08 ;0,55 ;0,32 ;-0,05 ;0,38 ;0,11 ;-0,07 ;0,00
07/2007;0,14 ;0,83 ;0,09 ;-0,22 ;0,23 ;-0,18 ;-3,01 ;0,00
08/2007;0,29 ;0,75 ;0,51 ;0,12 ;0,02 ;0,05 ;-0,49 ;0,43
09/2007;-0,20 ;0,26 ;0,29 ;-0,04 ;1,23 ;0,68 ;-0,15 ;0,21
10/2007;-0,05 ;-0,02 ;0,81 ;0,05 ;0,71 ;0,08 ;-1,65 ;0,00
11/2007;-0,02 ;0,21 ;0,64 ;0,26 ;0,01 ;-0,07 ;0,22 ;0,00
12/2007;0,08 ;1,00 ;0,97 ;0,18 ;0,00 ;-0,19 ;-0,38 ;0,35
01/2008;0,29 ;0,33 ;1,02 ;0,20 ;0,00 ;0,29 ;-0,53 ;1,19
02/2008;3,07 ;0,03 ;1,24 ;0,10 ;0,00 ;-0,07 ;0,14 ;0,49
03/2008;0,43 ;0,53 ;0,44 ;0,47 ;1,43 ;-0,21 ;1,40 ;0,06
04/2008;0,08 ;1,04 ;0,43 ;0,15 ;0,41 ;-0,17 ;-0,49 ;0,10
05/2008;0,06 ;1,37 ;0,69 ;0,26 ;0,23 ;1,55 ;-0,60 ;0,31
06/2008;0,10 ;1,19 ;0,75 ;0,22 ;0,73 ;0,52 ;-1,02 ;0,00
07/2008;-0,01 ;0,48 ;0,52 ;0,60 ;0,79 ;0,15 ;0,93 ;0,00
08/2008;0,52 ;0,19 ;0,31 ;0,35 ;1,57 ;-0,02 ;1,03 ;0,00
09/2008;0,00 ;0,22 ;0,37 ;0,17 ;0,96 ;0,12 ;-0,46 ;0,00
10/2008;0,03 ;0,62 ;0,46 ;0,24 ;0,77 ;0,20 ;0,44 ;0,00
11/2008;0,13 ;0,60 ;0,28 ;0,18 ;0,00 ;0,23 ;0,16 ;0,00
12/2008;0,17 ;0,17 ;0,37 ;0,29 ;0,00 ;-0,18 ;0,14 ;0,89
01/2009;0,60 ;0,00 ;0,71 ;0,75 ;0,00 ;0,13 ;-0,14 ;3,24
02/2009;3,40 ;-0,09 ;1,36 ;0,28 ;0,00 ;-0,41 ;-0,36 ;1,03
03/2009;-0,08 ;0,14 ;0,30 ;0,14 ;0,00 ;1,73 ;-0,27 ;0,11
04/2009;0,14 ;0,49 ;0,45 ;0,51 ;0,61 ;2,41 ;0,87 ;0,14
05/2009;0,05 ;0,84 ;0,27 ;0,30 ;1,34 ;0,64 ;0,82 ;0,41
06/2009;0,02 ;0,69 ;0,16 ;0,23 ;0,09 ;1,27 ;-0,48 ;0,33
07/2009;0,26 ;0,17 ;0,04 ;0,57 ;0,23 ;0,99 ;3,25 ;0,00
08/2009;0,65 ;-0,31 ;0,56 ;0,16 ;1,00 ;1,15 ;0,39 ;0,00
09/2009;0,13 ;0,01 ;0,34 ;0,37 ;0,82 ;3,40 ;0,00 ;0,00
10/2009;0,06 ;0,28 ;0,17 ;0,42 ;0,53 ;1,18 ;0,51 ;0,00
11/2009;0,04 ;0,22 ;0,59 ;0,40 ;0,05 ;0,20 ;0,49 ;0,00
12/2009;0,17 ;0,16 ;0,45 ;0,51 ;0,17 ;0,31 ;-0,43 ;0,00
01/2010;0,38 ;0,68 ;0,75 ;0,83 ;0,00 ;0,66 ;0,07 ;3,90
02/2010;3,56 ;0,26 ;1,54 ;0,42 ;0,00 ;0,20 ;0,10 ;2,50
03/2010;0,68 ;0,53 ;1,03 ;-0,14 ;0,74 ;0,29 ;-0,11 ;0,60
04/2010;0,26 ;0,61 ;0,87 ;0,14 ;0,08 ;0,38 ;-0,13 ;0,00
05/2010;0,05 ;0,42 ;0,52 ;0,33 ;0,84 ;-0,25 ;1,23 ;0,00
06/2010;0,11 ;-0,09 ;-0,01 ;0,12 ;0,06 ;0,22 ;0,01 ;0,00
07/2010;-0,05 ;-0,21 ;-0,04 ;0,32 ;0,13 ;-0,04 ;1,17 ;0,38
08/2010;0,64 ;0,12 ;0,01 ;-0,01 ;0,23 ;-0,16 ;0,11 ;-0,38
09/2010;0,10 ;0,88 ;0,28 ;0,19 ;0,70 ;0,20 ;-0,06 ;0,00
10/2010;0,03 ;1,00 ;0,88 ;0,30 ;0,52 ;0,23 ;0,13 ;0,00
11/2010;0,13 ;1,53 ;0,60 ;0,33 ;0,00 ;0,10 ;0,48 ;0,30
12/2010;0,05 ;0,95 ;0,63 ;0,26 ;0,03 ;0,25 ;0,02 ;0,07
01/2011;0,49 ;0,43 ;1,10 ;0,94 ;0,07 ;0,12 ;-0,38 ;4,13
02/2011;5,02 ;-0,02 ;1,78 ;0,47 ;0,42 ;0,03 ;0,09 ;1,30
03/2011;1,12 ;0,27 ;1,05 ;1,05 ;0,66 ;0,29 ;0,34 ;0,95
04/2011;0,18 ;0,60 ;0,52 ;1,29 ;1,00 ;0,08 ;0,94 ;0,22
05/2011;0,03 ;0,36 ;0,50 ;0,55 ;2,32 ;0,21 ;0,87 ;0,79
06/2011;0,21 ;0,19 ;0,32 ;-0,12 ;0,08 ;0,27 ;0,45 ;0,79
07/2011;0,21 ;-0,04 ;0,23 ;0,29 ;0,33 ;-0,09 ;0,21 ;0,03
08/2011;0,18 ;0,55 ;0,47 ;0,03 ;1,05 ;-0,11 ;-0,41 ;0,00
09/2011;0,22 ;0,52 ;0,47 ;0,62 ;1,19 ;1,36 ;0,55 ;0,00
10/2011;0,12 ;0,39 ;0,44 ;0,46 ;0,86 ;0,10 ;0,40 ;0,00
11/2011;0,02 ;0,57 ;0,67 ;0,27 ;0,00 ;-0,32 ;0,72 ;0,00
12/2011;0,04 ;0,51 ;0,73 ;0,19 ;0,04 ;0,02 ;0,13 ;0,00
01/2012;0,45 ;0,00 ;1,13 ;0,47 ;0,26 ;0,05 ;-0,38 ;2,54
02/2012;5,11 ;-0,21 ;1,17 ;0,26 ;0,21 ;0,72 ;0,15 ;0,72
03/2012;0,78 ;-0,08 ;0,49 ;0,18 ;0,93 ;0,41 ;0,21 ;0,22
04/2012;0,12 ;0,55 ;0,82 ;0,47 ;0,98 ;0,65 ;0,46 ;0,04
05/2012;-0,01 ;0,49 ;0,27 ;0,32 ;2,32 ;0,13 ;0,72 ;0,07
06/2012;0,09 ;-0,31 ;0,39 ;0,15 ;0,83 ;0,07 ;-0,67 ;0,87
07/2012;0,18 ;0,06 ;0,90 ;0,19 ;0,25 ;0,12 ;0,04 ;0,17
08/2012;0,54 ;0,44 ;0,55 ;0,13 ;1,04 ;-0,48 ;-0,83 ;0,46
09/2012;0,15 ;0,92 ;0,43 ;0,30 ;0,92 ;1,27 ;0,83 ;0,08
10/2012;0,08 ;1,00 ;0,43 ;0,25 ;0,63 ;0,49 ;-0,24 ;0,00
11/2012;0,10 ;0,67 ;0,57 ;0,54 ;0,00 ;0,99 ;1,38 ;0,00
12/2012;0,26 ;0,86 ;1,00 ;0,33 ;0,15 ;0,36 ;1,25 ;0,00
01/2013;0,48 ;1,03 ;1,35 ;-0,22 ;0,01 ;0,15 ;-3,91 ;0,33
02/2013;4,54 ;0,63 ;1,58 ;-1,11 ;0,35 ;0,68 ;-15,17 ;0,62
03/2013;0,82 ;0,36 ;0,69 ;0,26 ;0,66 ;0,29 ;0,55 ;0,35
04/2013;0,18 ;0,24 ;0,90 ;0,41 ;0,81 ;0,39 ;-0,25 ;-0,24
05/2013;0,09 ;0,24 ;0,52 ;0,31 ;1,19 ;0,12 ;0,15 ;-0,02
06/2013;0,24 ;0,11 ;0,32 ;0,38 ;1,03 ;0,26 ;0,12 ;2,61
07/2013;0,17 ;0,11 ;0,13 ;-0,27 ;0,64 ;-0,07 ;0,58 ;-3,32
