Data;7471 - �ndice de Pre�os ao Consumidor (IPC-Fipe) - Despesas pessoais - Var. % mensal;7472 - �ndice de Pre�os ao Consumidor (IPC-Fipe) - Vestu�rio - Var. % mensal;7473 - �ndice de Pre�os ao Consumidor (IPC-Fipe) - Sa�de - Var. % mensal;7474 - �ndice de Pre�os ao Consumidor (IPC-Fipe) - Educa��o - Var. % mensal;7475 - �ndice de Pre�os ao Consumidor (IPC-Fipe) - Comercializ�veis - Var. % mensal;10841 - �ndice de Pre�os ao Consumidor-Amplo (IPCA) - Bens n�o-dur�veis - Var. % mensal;10842 - �ndice de Pre�os ao Consumidor-Amplo (IPCA) - Bens semi-dur�veis - Var. % mensal;10843 - �ndice de Pre�os ao Consumidor-Amplo (IPCA) - Dur�veis - Var. % mensal;27863 - �ndice Nacional de Pre�os ao Consumidor - Amplo (IPCA) - Industriais - Var. % mensal;27864 - Indice Nacional de Pre�os ao Consumidor - Amplo (IPCA) - Alimenta��o no domic�lio - Var. % mensal
01/1994;-;-;-;-;-;45,52 ;36,88 ;38,31 ;-;-
02/1994;-;-;-;-;-;40,88 ;34,44 ;42,38 ;-;-
03/1994;-;-;-;-;-;43,80 ;41,15 ;41,22 ;-;-
04/1994;-;-;-;-;-;42,85 ;43,71 ;43,09 ;-;-
05/1994;-;-;-;-;-;41,01 ;46,59 ;46,04 ;-;-
06/1994;-;-;-;-;-;51,61 ;48,20 ;46,84 ;-;-
07/1994;-;-;-;-;-;8,53 ;9,28 ;4,89 ;-;-
08/1994;-;-;-;-;-;0,96 ;0,25 ;2,83 ;-;-
09/1994;-;-;-;-;-;-0,05 ;1,73 ;1,91 ;-;-
10/1994;-;-;-;-;-;3,65 ;2,09 ;2,20 ;-;-
11/1994;-;-;-;-;-;3,82 ;2,02 ;2,48 ;-;-
12/1994;-;-;-;-;-;0,86 ;2,83 ;0,83 ;-;-
01/1995;-;-;-;-;-;0,69 ;0,96 ;0,90 ;-;-
02/1995;-;-;-;-;-;0,42 ;-0,32 ;1,04 ;-;-
03/1995;-;-;-;-;-;1,33 ;-0,13 ;0,91 ;-;-
04/1995;-;-;-;-;-;2,17 ;2,50 ;1,12 ;-;-
05/1995;-;-;-;-;-;0,74 ;2,64 ;1,47 ;-;-
06/1995;-;-;-;-;-;0,32 ;1,41 ;0,51 ;-;-
07/1995;-;-;-;-;-;1,45 ;0,96 ;-0,49 ;-;-
08/1995;-;-;-;-;-;0,68 ;-1,49 ;-1,03 ;-;-
09/1995;-;-;-;-;-;0,12 ;0,22 ;-0,88 ;-;-
10/1995;-;-;-;-;-;0,68 ;0,91 ;-0,93 ;-;-
11/1995;-;-;-;-;-;1,06 ;0,01 ;-0,02 ;-;-
12/1995;-;-;-;-;-;1,09 ;-0,29 ;-0,13 ;-;-
01/1996;-;-;-;-;-;1,46 ;0,11 ;1,15 ;-;-
02/1996;-;-;-;-;-;0,21 ;-2,27 ;0,42 ;-;-
03/1996;-;-;-;-;-;0,18 ;-2,24 ;0,94 ;-;-
04/1996;-;-;-;-;-;0,45 ;0,64 ;0,72 ;-;-
05/1996;-;-;-;-;-;0,92 ;1,04 ;0,29 ;-;-
06/1996;-;-;-;-;-;0,65 ;0,40 ;0,23 ;-;-
07/1996;-;-;-;-;-;0,78 ;-0,03 ;0,60 ;-;-
08/1996;-;-;-;-;-;-0,38 ;-0,63 ;0,23 ;-;-
09/1996;-;-;-;-;-;-0,44 ;-0,44 ;-0,10 ;-;-
10/1996;-;-;-;-;-;0,10 ;0,30 ;0,05 ;-;-
11/1996;-;-;-;-;-;-0,24 ;0,15 ;0,42 ;-;-
12/1996;-;-;-;-;-;-0,17 ;0,39 ;0,28 ;-;-
01/1997;1,34 ;-2,71 ;1,20 ;8,83 ;0,18 ;0,98 ;0,22 ;0,88 ;-;-
02/1997;0,10 ;-3,63 ;0,25 ;-0,18 ;-0,50 ;0,65 ;-0,77 ;0,44 ;-;-
03/1997;-0,15 ;-4,34 ;0,38 ;0,22 ;-0,55 ;1,06 ;-0,56 ;0,12 ;-;-
04/1997;-0,10 ;7,07 ;1,04 ;0,21 ;1,38 ;-0,02 ;0,05 ;0,14 ;-;-
05/1997;-0,41 ;5,30 ;1,22 ;0,12 ;0,58 ;-0,53 ;0,70 ;-0,64 ;-;-
06/1997;-0,12 ;2,69 ;0,94 ;0,01 ;0,83 ;-0,19 ;-0,16 ;-0,41 ;-;-
07/1997;-0,13 ;-1,75 ;0,50 ;-0,13 ;-0,27 ;-0,32 ;0,13 ;-0,48 ;-;-
08/1997;0,28 ;-5,44 ;0,82 ;-0,33 ;-1,54 ;-0,40 ;-0,96 ;0,04 ;-;-
09/1997;0,73 ;-1,97 ;0,49 ;0,18 ;-0,40 ;0,06 ;-0,18 ;-0,26 ;-;-
10/1997;0,77 ;-0,94 ;0,17 ;-0,08 ;0,37 ;0,43 ;0,40 ;-0,30 ;-;-
11/1997;0,07 ;0,23 ;0,26 ;0,48 ;0,18 ;0,17 ;-0,42 ;-0,21 ;-;-
12/1997;0,26 ;0,30 ;0,47 ;0,03 ;0,20 ;0,56 ;0,19 ;0,00 ;-;-
01/1998;-0,43 ;-2,59 ;0,17 ;4,39 ;-0,23 ;1,41 ;-0,18 ;0,34 ;-;-
02/1998;-1,85 ;-3,21 ;1,28 ;-0,25 ;-0,73 ;0,54 ;-0,17 ;0,47 ;-;-
03/1998;-0,16 ;-5,18 ;0,47 ;0,21 ;-0,90 ;0,71 ;-0,21 ;0,97 ;-;-
04/1998;-0,03 ;6,59 ;-0,61 ;-0,14 ;1,35 ;0,79 ;-0,56 ;-0,14 ;-;-
05/1998;-0,36 ;5,34 ;-0,11 ;0,12 ;1,78 ;0,85 ;0,56 ;-0,70 ;-;-
06/1998;-0,18 ;2,20 ;0,26 ;0,22 ;0,58 ;0,16 ;-0,10 ;0,69 ;-;-
07/1998;-0,13 ;-1,90 ;0,04 ;0,21 ;-1,13 ;-0,68 ;-0,13 ;-0,21 ;-;-
08/1998;-0,31 ;-3,49 ;-0,01 ;-0,10 ;-1,29 ;-0,84 ;-0,58 ;-0,61 ;-;-
09/1998;-0,36 ;-5,01 ;0,12 ;0,23 ;-1,03 ;-0,33 ;-0,26 ;-0,32 ;-;-
10/1998;-0,11 ;0,17 ;0,14 ;0,17 ;-0,02 ;0,06 ;0,62 ;-0,23 ;-;-
11/1998;-0,32 ;-0,49 ;0,26 ;-0,05 ;-0,69 ;-0,26 ;0,17 ;-0,72 ;-;-
12/1998;-0,05 ;-1,37 ;0,42 ;-0,06 ;-0,41 ;0,24 ;-0,11 ;-0,77 ;-;-
01/1999;0,23 ;-2,26 ;0,04 ;1,27 ;0,06 ;0,80 ;0,19 ;0,96 ;-;-
02/1999;0,77 ;-1,94 ;-0,03 ;0,17 ;2,17 ;2,33 ;-0,12 ;2,50 ;-;-
03/1999;1,04 ;-1,01 ;-0,14 ;-0,80 ;1,01 ;2,14 ;0,25 ;1,02 ;-;-
04/1999;0,17 ;6,53 ;1,31 ;0,27 ;0,74 ;0,33 ;0,92 ;0,83 ;-;-
05/1999;0,12 ;1,91 ;1,21 ;-0,01 ;-0,29 ;-0,35 ;0,62 ;2,11 ;-;-
06/1999;-0,06 ;2,03 ;0,58 ;0,23 ;-0,27 ;-0,82 ;0,39 ;0,77 ;-;-
07/1999;0,20 ;1,89 ;1,03 ;0,11 ;0,07 ;0,03 ;0,24 ;0,41 ;-;-
08/1999;0,14 ;-2,88 ;1,20 ;0,14 ;-0,14 ;0,31 ;0,08 ;0,46 ;-;-
09/1999;1,66 ;0,43 ;-0,22 ;0,17 ;0,72 ;0,36 ;0,43 ;0,45 ;-;-
10/1999;0,49 ;0,64 ;0,07 ;0,12 ;1,55 ;1,34 ;0,87 ;4,39 ;-;-
11/1999;0,50 ;-0,34 ;-0,15 ;0,42 ;1,43 ;1,06 ;0,65 ;0,68 ;-;-
12/1999;0,13 ;-0,21 ;0,18 ;0,20 ;0,88 ;1,04 ;0,72 ;-0,17 ;-;-
01/2000;0,01 ;-0,39 ;0,33 ;7,34 ;-0,04 ;0,78 ;0,18 ;0,50 ;-;-
02/2000;-0,27 ;-1,06 ;-0,31 ;0,07 ;-0,73 ;-0,11 ;-0,05 ;0,99 ;-;-
03/2000;0,01 ;-0,88 ;0,00 ;0,32 ;-0,32 ;-0,24 ;-1,05 ;0,85 ;-;-
04/2000;0,49 ;1,94 ;0,38 ;0,20 ;0,23 ;-0,21 ;0,59 ;0,72 ;-;-
05/2000;0,09 ;1,04 ;0,65 ;0,28 ;0,15 ;-0,42 ;0,49 ;0,47 ;-;-
06/2000;0,10 ;0,76 ;0,89 ;0,11 ;0,73 ;0,26 ;0,72 ;0,36 ;-;-
07/2000;1,18 ;0,12 ;0,88 ;0,09 ;1,37 ;1,29 ;0,63 ;0,73 ;-;-
08/2000;-0,25 ;0,61 ;1,47 ;0,07 ;1,14 ;1,46 ;0,47 ;0,70 ;-;-
09/2000;0,04 ;0,58 ;0,13 ;-0,06 ;0,20 ;0,39 ;0,53 ;0,37 ;-;-
10/2000;0,12 ;0,28 ;0,16 ;0,20 ;0,00 ;0,09 ;0,54 ;0,47 ;-;-
11/2000;0,34 ;0,41 ;-0,16 ;0,09 ;-0,33 ;-0,08 ;0,40 ;0,16 ;-;-
12/2000;0,14 ;-0,14 ;0,16 ;0,16 ;-0,26 ;-0,36 ;0,74 ;0,08 ;-;-
01/2001;0,10 ;-0,50 ;0,22 ;4,06 ;0,19 ;0,55 ;0,34 ;0,32 ;-;-
02/2001;0,24 ;-1,21 ;0,88 ;0,00 ;-0,20 ;0,31 ;-0,16 ;0,46 ;-;-
03/2001;-0,29 ;0,06 ;0,83 ;0,01 ;0,47 ;1,05 ;-0,14 ;0,37 ;-;-
04/2001;-0,37 ;0,25 ;0,45 ;0,29 ;0,77 ;1,36 ;0,18 ;0,14 ;-;-
05/2001;0,67 ;0,39 ;-0,47 ;0,18 ;0,45 ;0,41 ;0,30 ;0,52 ;-;-
06/2001;0,81 ;0,56 ;0,06 ;0,16 ;0,48 ;-0,12 ;0,87 ;0,22 ;-;-
07/2001;0,89 ;0,15 ;0,29 ;0,46 ;0,52 ;0,54 ;0,64 ;0,30 ;-;-
08/2001;1,10 ;1,25 ;0,38 ;0,23 ;0,59 ;0,83 ;0,51 ;0,14 ;-;-
09/2001;0,24 ;0,23 ;0,19 ;-0,02 ;0,08 ;0,41 ;0,40 ;-0,38 ;-;-
10/2001;0,67 ;0,72 ;-0,14 ;0,11 ;1,22 ;1,11 ;0,56 ;0,46 ;-;-
11/2001;1,54 ;1,72 ;0,84 ;-0,09 ;1,16 ;1,25 ;0,77 ;0,80 ;-;-
12/2001;0,90 ;0,74 ;0,73 ;0,24 ;0,34 ;0,73 ;1,50 ;1,03 ;-;-
01/2002;0,90 ;0,57 ;0,29 ;4,61 ;0,67 ;0,76 ;0,54 ;0,87 ;-;-
02/2002;-0,41 ;-0,45 ;1,43 ;0,36 ;0,31 ;0,49 ;-0,20 ;0,46 ;-;-
03/2002;-0,36 ;0,21 ;0,84 ;0,12 ;-0,03 ;0,68 ;0,12 ;0,16 ;-;-
04/2002;0,59 ;0,20 ;0,16 ;0,06 ;-0,11 ;-0,04 ;0,94 ;0,38 ;-;-
05/2002;0,35 ;0,19 ;0,29 ;0,10 ;0,09 ;-0,35 ;1,16 ;0,47 ;-;-
06/2002;0,52 ;0,31 ;0,24 ;0,08 ;0,43 ;0,02 ;1,11 ;-0,14 ;-;-
07/2002;0,71 ;0,09 ;0,61 ;0,35 ;0,89 ;0,84 ;0,75 ;0,09 ;-;-
08/2002;0,43 ;0,18 ;0,95 ;0,14 ;1,18 ;1,47 ;0,44 ;0,27 ;-;-
09/2002;0,70 ;0,43 ;0,17 ;-0,09 ;0,95 ;1,56 ;0,77 ;0,91 ;-;-
10/2002;1,56 ;1,26 ;0,58 ;0,13 ;2,11 ;2,38 ;1,13 ;0,99 ;-;-
11/2002;1,45 ;1,07 ;0,71 ;0,38 ;3,81 ;4,42 ;1,23 ;2,18 ;-;-
12/2002;3,05 ;0,75 ;2,71 ;0,18 ;3,19 ;4,09 ;1,28 ;1,05 ;-;-
01/2003;2,21 ;-0,55 ;0,68 ;7,87 ;1,21 ;2,26 ;0,93 ;1,43 ;-;-
02/2003;1,05 ;0,90 ;1,06 ;0,46 ;0,72 ;1,13 ;0,30 ;0,57 ;-;-
03/2003;0,15 ;0,73 ;1,46 ;0,28 ;0,90 ;2,02 ;1,11 ;0,75 ;-;-
04/2003;0,75 ;0,97 ;1,11 ;0,19 ;1,33 ;1,26 ;1,11 ;0,64 ;-;-
05/2003;0,86 ;1,29 ;0,47 ;0,13 ;0,96 ;0,65 ;1,23 ;0,12 ;-;-
06/2003;0,23 ;1,09 ;0,81 ;0,22 ;-0,06 ;-0,25 ;1,49 ;0,16 ;-;-
07/2003;0,62 ;-0,13 ;0,27 ;0,02 ;-0,14 ;-0,44 ;0,29 ;0,11 ;-;-
08/2003;-0,21 ;-0,34 ;0,32 ;0,04 ;0,13 ;-0,11 ;0,26 ;-0,12 ;-;-
09/2003;0,77 ;0,81 ;0,83 ;0,12 ;0,78 ;0,71 ;0,75 ;-0,04 ;-;-
10/2003;-0,07 ;0,51 ;0,20 ;0,03 ;0,45 ;0,45 ;0,81 ;-0,19 ;-;-
11/2003;1,00 ;0,17 ;0,78 ;0,06 ;0,00 ;0,26 ;0,91 ;0,06 ;-;-
12/2003;1,36 ;1,10 ;-0,22 ;0,22 ;0,50 ;0,56 ;0,95 ;0,33 ;-;-
01/2004;0,86 ;-0,79 ;0,24 ;9,28 ;0,23 ;0,82 ;0,35 ;0,88 ;-;-
02/2004;0,09 ;-0,85 ;0,68 ;0,29 ;0,00 ;0,16 ;0,14 ;0,86 ;-;-
03/2004;0,32 ;0,10 ;0,38 ;0,03 ;0,16 ;0,62 ;0,74 ;1,23 ;-;-
04/2004;0,24 ;0,18 ;2,29 ;0,09 ;0,23 ;0,20 ;1,20 ;0,62 ;-;-
05/2004;0,33 ;0,28 ;0,78 ;0,03 ;0,84 ;0,52 ;1,33 ;0,73 ;-;-
06/2004;0,54 ;1,31 ;0,83 ;0,15 ;0,87 ;0,59 ;1,16 ;0,75 ;-;-
07/2004;0,67 ;-1,72 ;2,03 ;0,17 ;0,11 ;0,52 ;0,78 ;0,38 ;-;-
08/2004;-0,45 ;0,12 ;0,61 ;0,12 ;0,13 ;0,66 ;0,61 ;0,40 ;-;-
09/2004;0,17 ;0,72 ;0,31 ;0,09 ;0,30 ;-0,19 ;1,08 ;0,86 ;-;-
10/2004;0,31 ;1,10 ;0,38 ;0,02 ;0,71 ;-0,06 ;1,04 ;0,76 ;-;-
11/2004;1,21 ;0,29 ;0,36 ;0,10 ;0,57 ;0,14 ;1,06 ;0,69 ;-;-
12/2004;1,32 ;0,81 ;0,61 ;0,10 ;0,69 ;0,55 ;1,27 ;0,41 ;-;-
01/2005;0,55 ;-0,27 ;0,32 ;5,44 ;0,16 ;0,63 ;0,48 ;0,93 ;-;-
02/2005;0,06 ;-0,82 ;0,23 ;0,13 ;-0,29 ;0,42 ;0,13 ;0,31 ;-;-
03/2005;-0,06 ;-0,22 ;0,57 ;0,14 ;0,15 ;0,20 ;0,55 ;0,18 ;-;-
04/2005;0,39 ;0,83 ;1,79 ;0,04 ;1,23 ;0,99 ;0,95 ;0,69 ;-;-
05/2005;0,57 ;0,38 ;0,84 ;0,08 ;0,77 ;0,74 ;1,14 ;0,31 ;-;-
06/2005;0,15 ;-0,16 ;0,76 ;0,22 ;-0,26 ;-0,47 ;0,43 ;0,42 ;-;-
07/2005;1,35 ;0,88 ;1,12 ;0,07 ;0,00 ;-0,51 ;0,27 ;0,22 ;-;-
08/2005;-0,96 ;-0,17 ;0,95 ;0,03 ;-0,58 ;-0,48 ;0,07 ;0,21 ;-;-
09/2005;0,24 ;0,57 ;1,42 ;0,05 ;0,40 ;-0,12 ;0,31 ;-0,05 ;-;-
10/2005;0,81 ;0,01 ;0,51 ;0,10 ;0,48 ;0,25 ;0,74 ;0,13 ;-;-
11/2005;0,09 ;0,39 ;0,26 ;0,01 ;-0,19 ;0,61 ;0,73 ;-0,36 ;-;-
12/2005;0,65 ;0,87 ;0,14 ;0,17 ;-0,16 ;0,23 ;1,02 ;0,03 ;-;-
01/2006;0,89 ;-0,23 ;0,49 ;4,51 ;0,04 ;0,56 ;0,32 ;0,74 ;-;-
02/2006;-0,33 ;-0,99 ;0,54 ;0,22 ;-0,32 ;-0,06 ;-0,23 ;-0,08 ;-;-
03/2006;-0,17 ;-0,22 ;0,46 ;0,01 ;-0,03 ;0,46 ;0,23 ;-0,23 ;-;-
04/2006;0,26 ;1,01 ;1,26 ;0,13 ;-0,17 ;-0,19 ;0,84 ;-0,49 ;-;-
05/2006;0,02 ;0,39 ;0,80 ;0,10 ;-0,22 ;-0,61 ;0,76 ;-0,10 ;-;-
06/2006;-0,30 ;0,45 ;0,06 ;0,04 ;-0,46 ;-0,89 ;0,49 ;-0,56 ;-;-
07/2006;0,36 ;-0,93 ;0,83 ;0,04 ;-0,07 ;0,11 ;-0,13 ;-0,13 ;-0,02 ;0,08
08/2006;0,16 ;-0,12 ;0,47 ;0,02 ;0,13 ;0,04 ;0,09 ;-0,39 ;-0,04 ;-0,09
09/2006;0,23 ;0,27 ;0,33 ;0,11 ;0,39 ;0,04 ;0,54 ;-0,03 ;0,12 ;0,10
10/2006;-0,10 ;-0,09 ;0,16 ;0,09 ;0,65 ;0,72 ;0,43 ;-0,31 ;0,19 ;0,98
11/2006;0,76 ;0,04 ;0,29 ;0,10 ;0,63 ;0,92 ;0,46 ;-0,15 ;0,25 ;1,38
12/2006;1,53 ;0,70 ;0,46 ;0,05 ;0,50 ;0,36 ;0,93 ;-0,03 ;0,46 ;0,22
01/2007;0,68 ;-0,34 ;0,39 ;3,23 ;0,16 ;0,82 ;-0,05 ;0,33 ;0,37 ;0,94
02/2007;0,37 ;-0,72 ;0,89 ;0,12 ;-0,05 ;0,63 ;-0,48 ;-0,41 ;-0,12 ;0,87
03/2007;-0,61 ;0,01 ;0,17 ;0,08 ;0,18 ;0,74 ;0,42 ;-0,16 ;0,12 ;1,30
04/2007;0,43 ;0,90 ;0,66 ;0,09 ;0,38 ;0,20 ;0,35 ;0,01 ;0,38 ;-0,24
05/2007;0,47 ;0,09 ;0,42 ;0,07 ;0,62 ;0,34 ;0,43 ;-0,16 ;0,38 ;-0,07
06/2007;0,61 ;0,13 ;0,23 ;0,06 ;1,18 ;0,75 ;0,70 ;-0,23 ;0,21 ;1,28
07/2007;0,87 ;-0,62 ;0,61 ;0,27 ;0,91 ;0,99 ;-0,07 ;-0,12 ;-0,07 ;1,93
08/2007;0,19 ;-1,05 ;0,67 ;0,07 ;0,70 ;1,09 ;0,09 ;0,20 ;0,26 ;1,71
09/2007;0,02 ;-0,07 ;0,14 ;0,05 ;0,29 ;0,29 ;0,41 ;0,29 ;0,28 ;0,39
10/2007;0,12 ;-0,35 ;0,46 ;0,02 ;-0,18 ;0,47 ;0,67 ;0,20 ;0,44 ;0,46
11/2007;-0,25 ;0,55 ;0,63 ;0,03 ;0,66 ;0,65 ;0,47 ;-0,04 ;0,37 ;0,66
12/2007;1,18 ;0,94 ;0,28 ;0,10 ;1,56 ;1,91 ;0,59 ;0,04 ;0,68 ;2,52
01/2008;0,80 ;-0,85 ;0,36 ;4,39 ;0,37 ;1,31 ;0,05 ;0,15 ;0,39 ;1,76
02/2008;0,00 ;0,06 ;0,57 ;0,17 ;0,07 ;0,52 ;-0,16 ;-0,08 ;0,14 ;0,53
03/2008;0,30 ;0,08 ;0,34 ;0,12 ;0,09 ;0,79 ;0,69 ;-0,12 ;0,41 ;0,94
04/2008;0,38 ;0,64 ;1,00 ;0,04 ;0,55 ;1,14 ;1,26 ;0,00 ;0,69 ;1,44
05/2008;0,79 ;1,55 ;0,59 ;0,04 ;1,85 ;1,71 ;0,88 ;0,26 ;0,77 ;2,27
06/2008;0,80 ;0,55 ;0,82 ;0,08 ;1,93 ;1,83 ;0,45 ;0,29 ;0,65 ;2,48
07/2008;1,19 ;-0,03 ;0,56 ;0,05 ;0,78 ;0,96 ;0,01 ;-0,03 ;0,43 ;0,89
08/2008;0,75 ;-0,38 ;0,44 ;0,12 ;-0,08 ;-0,02 ;0,42 ;0,15 ;0,46 ;-0,64
09/2008;0,81 ;0,58 ;0,58 ;0,08 ;0,18 ;0,02 ;0,53 ;0,30 ;0,68 ;-0,88
10/2008;0,26 ;0,54 ;0,63 ;0,04 ;0,32 ;0,64 ;0,94 ;0,17 ;0,58 ;0,64
11/2008;0,45 ;0,39 ;0,31 ;0,07 ;0,32 ;0,50 ;0,69 ;-0,12 ;0,26 ;0,73
12/2008;0,88 ;1,22 ;0,04 ;0,08 ;-0,06 ;0,37 ;0,98 ;-0,97 ;0,29 ;0,08
01/2009;0,59 ;-0,56 ;0,42 ;5,95 ;-0,17 ;0,69 ;0,24 ;-1,21 ;-0,01 ;0,71
02/2009;0,29 ;-0,61 ;0,21 ;0,13 ;-0,17 ;0,25 ;-0,14 ;-0,37 ;0,13 ;-0,11
03/2009;0,80 ;0,56 ;0,23 ;0,09 ;0,07 ;0,34 ;0,48 ;0,06 ;0,39 ;0,15
04/2009;1,92 ;0,41 ;1,86 ;0,02 ;0,45 ;0,59 ;0,73 ;-0,71 ;0,52 ;0,03
05/2009;1,68 ;0,27 ;0,75 ;0,06 ;0,78 ;0,68 ;0,97 ;-0,42 ;0,54 ;0,46
06/2009;0,21 ;0,08 ;0,87 ;0,05 ;0,29 ;0,61 ;0,44 ;-0,15 ;0,27 ;0,78
07/2009;0,01 ;-0,77 ;0,79 ;0,19 ;0,30 ;0,01 ;0,06 ;-0,02 ;0,20 ;-0,37
08/2009;0,14 ;0,07 ;0,14 ;0,04 ;-0,45 ;0,01 ;0,15 ;-0,28 ;0,15 ;-0,38
09/2009;0,18 ;0,75 ;0,65 ;0,09 ;-0,27 ;-0,07 ;0,44 ;0,27 ;0,34 ;-0,42
10/2009;0,23 ;0,02 ;0,28 ;0,03 ;0,05 ;0,07 ;0,49 ;0,42 ;0,42 ;-0,21
11/2009;0,44 ;0,35 ;0,23 ;0,09 ;-0,06 ;0,53 ;0,51 ;0,25 ;0,50 ;0,41
12/2009;0,53 ;0,81 ;0,20 ;0,10 ;0,02 ;0,22 ;0,54 ;0,29 ;0,51 ;-0,16
01/2010;0,59 ;-0,68 ;0,26 ;4,42 ;0,57 ;1,07 ;0,47 ;0,12 ;0,55 ;1,25
02/2010;0,34 ;-0,13 ;0,51 ;0,21 ;0,20 ;0,83 ;-0,42 ;0,31 ;0,16 ;1,18
03/2010;0,21 ;0,44 ;0,14 ;0,09 ;0,45 ;1,12 ;0,52 ;0,28 ;0,26 ;2,06
04/2010;0,31 ;0,74 ;0,98 ;0,12 ;0,82 ;1,05 ;0,88 ;0,31 ;0,38 ;1,92
05/2010;0,25 ;0,45 ;1,15 ;0,06 ;0,46 ;0,22 ;0,96 ;0,41 ;0,61 ;-0,06
06/2010;0,78 ;0,65 ;0,71 ;0,07 ;-0,05 ;-0,58 ;0,35 ;0,01 ;0,40 ;-1,71
07/2010;0,62 ;-0,25 ;0,47 ;0,15 ;0,11 ;-0,54 ;0,01 ;-0,17 ;0,08 ;-1,30
08/2010;0,08 ;0,24 ;0,46 ;0,06 ;0,28 ;-0,15 ;0,18 ;-0,35 ;0,10 ;-0,61
09/2010;0,19 ;0,54 ;0,19 ;0,06 ;1,00 ;0,90 ;0,41 ;0,01 ;0,28 ;1,40
10/2010;0,64 ;-0,22 ;0,37 ;0,07 ;1,49 ;1,65 ;0,71 ;0,08 ;0,60 ;2,40
11/2010;0,59 ;0,84 ;0,24 ;0,03 ;1,42 ;1,86 ;0,99 ;-0,05 ;0,66 ;2,76
12/2010;0,31 ;0,67 ;0,23 ;0,10 ;0,75 ;1,16 ;0,86 ;-0,03 ;0,82 ;1,03
01/2011;0,85 ;0,04 ;0,39 ;5,61 ;0,02 ;1,07 ;0,17 ;0,23 ;0,50 ;1,24
02/2011;1,24 ;-0,03 ;0,72 ;0,32 ;-0,13 ;0,39 ;-0,13 ;0,10 ;0,42 ;-0,15
03/2011;0,20 ;0,02 ;0,60 ;0,13 ;0,22 ;0,84 ;0,39 ;-0,03 ;0,56 ;0,67
04/2011;0,85 ;0,68 ;1,55 ;0,04 ;0,58 ;0,69 ;1,13 ;-0,47 ;0,61 ;0,48
05/2011;0,41 ;1,10 ;0,69 ;0,10 ;0,34 ;0,38 ;0,97 ;-0,41 ;0,30 ;0,47
06/2011;0,74 ;1,14 ;0,31 ;0,06 ;0,07 ;-0,24 ;1,11 ;0,07 ;0,42 ;-0,62
07/2011;0,53 ;-0,77 ;0,54 ;0,28 ;0,16 ;-0,13 ;0,19 ;-0,10 ;0,37 ;-0,96
08/2011;-0,29 ;0,83 ;0,66 ;0,01 ;0,56 ;0,61 ;0,65 ;0,02 ;0,41 ;0,74
