Data;4192;4380;4381;4382;4385;4386;24364
2005-01-01;686738;163540.1 ;163540.1 ;1976732.7 ;67201;67201;109.55
2005-02-01;704188;160701.6 ;324241.7 ;1994573.0 ;67794;134995;110.22
2005-03-01;722891;175468.7 ;499710.4 ;2012678.1 ;75512;210507;110.48
2005-04-01;742333;177178.9 ;676889.3 ;2032903.1 ;74766;285274;110.99
2005-05-01;761198;177496.7 ;854386.0 ;2050900.9 ;73737;359010;110.95
2005-06-01;779819;180881.8 ;1035267.8 ;2066440.5 ;74201;433211;110.62
2005-07-01;797450;184073.7 ;1219341.5 ;2079143.4 ;75713;508923;110.66
2005-08-01;817290;187246.6 ;1406588.1 ;2097211.0 ;77525;586449;111.25
2005-09-01;835901;181538.9 ;1588126.9 ;2114047.4 ;75726;662175;110.93
2005-10-01;854866;189183.0 ;1777309.9 ;2132693.9 ;76803;738978;110.96
2005-11-01;873073;194794.5 ;1972104.4 ;2150566.8 ;76692;815671;111.82
2005-12-01;892033;198480.1 ;2170584.5 ;2170584.5 ;76363;892033;112.35
2006-01-01;909944;185564.8 ;185564.8 ;2192609.2 ;85112;85112;113.36
2006-02-01;926716;178482.2 ;364047.1 ;2210389.8 ;84566;169678;113.64
2006-03-01;944768;190223.4 ;554270.5 ;2225144.6 ;93564;263242;113.57
2006-04-01;959329;185030.6 ;739301.1 ;2232996.3 ;89327;352569;114.32
2006-05-01;978830;197874.3 ;937175.4 ;2253373.9 ;93238;445807;115.64
2006-06-01;995874;199071.9 ;1136247.3 ;2271564.0 ;91244;537052;114.72
2006-07-01;1015781;206974.4 ;1343221.8 ;2294464.8 ;95620;632671;116.95
2006-08-01;1035627;209818.0 ;1553039.7 ;2317036.2 ;97371;730042;116.61
2006-09-01;1052912;201055.3 ;1754095.0 ;2336552.6 ;93011;823054;116.85
2006-10-01;1071585;214271.7 ;1968366.7 ;2361641.3 ;95477;918530;117.99
2006-11-01;1089889;219724.1 ;2188090.8 ;2386570.9 ;94996;1013526;118.86
