Data;14083;14088;14093;15888;15920;15952;21186;21199;21931;27967;28148;28149;28150;28151;25407
2011-01-01;34668;28201;62868;5.25;3.14;4.16;78.01;82.29;104.43;0.86;79.03;110.36;92.39;106.06;153.06
2011-02-01;34966;28183;63149;4.58;3.14;3.84;71.63;82.5;104.59;0.46;79.73;106.43;93.43;91.92;151.36
2011-03-01;35364;28914;64277;4.66;3.09;3.85;75.95;81.88;103.82;0.34;80.12;118.67;90.85;92.13;149.76
2011-04-01;35946;29289;65235;4.7;2.9;3.77;77.28;82.74;104.58;0.4;80.51;105.88;89.07;98.63;151.47
2011-05-01;36468;29882;66350;4.86;2.93;3.86;82.33;83.0;108.81;0.55;82.09;105.07;89.92;98.1;153.45
2011-06-01;37238;30769;68007;4.82;2.35;3.54;79.78;83.68;104.13;0.24;83.42;107.91;88.68;98.89;153.05
2011-07-01;38272;30533;68805;4.85;2.35;3.58;83.85;83.89;108.09;-0.06;83.76;105.84;88.01;99.43;156.13
2011-08-01;38776;31067;69843;4.92;2.33;3.6;86.79;85.85;103.82;0.41;84.26;106.82;87.79;100.06;154.78
2011-09-01;39557;32664;72221;5.02;2.25;3.59;81.56;84.69;108.1;0.15;84.82;110.61;87.84;97.6;156.59
2011-10-01;40135;33157;73292;5.27;2.26;3.71;85.06;84.25;110.29;0.17;84.52;106.18;88.84;97.8;157.74
2011-11-01;40686;33830;74515;6.03;2.28;4.08;85.15;86.34;102.4;0.67;84.68;107.28;89.58;100.11;157.36
2011-12-01;41376;34807;76182;6.04;2.45;4.17;123.82;88.38;101.31;0.45;85.45;107.76;95.9;98.96;156.48
2012-01-01;42384;33692;76076;5.43;2.73;4.15;83.99;89.17;98.38;0.61;85.22;111.58;92.86;105.12;153.72
2012-02-01;42742;33737;76479;5.77;2.82;4.4;78.14;88.89;98.31;0.61;86.18;109.24;90.28;93.82;154.19
2012-03-01;43201;34001;77202;5.7;2.73;4.33;87.34;90.47;98.78;0.39;85.85;121.38;90.37;97.1;154.82
2012-04-01;43591;34503;78094;5.77;3.35;4.7;84.32;91.62;99.8;0.77;85.26;109.74;91.46;97.04;156.83
2012-05-01;44319;35084;79403;5.79;3.41;4.74;92.21;91.91;101.43;0.43;86.17;112.83;93.5;98.37;158.83
2012-06-01;45022;35873;80895;5.69;4.96;5.37;88.52;92.21;102.35;0.23;86.4;112.4;96.4;91.7;161.21
2012-07-01;45566;36435;82001;5.62;4.26;5.02;91.31;92.49;92.02;0.22;85.77;112.79;93.08;95.07;156.39
2012-08-01;46289;37104;83393;5.52;4.62;5.11;93.72;92.53;102.53;0.72;87.41;111.0;96.81;93.89;161.61
2012-09-01;46533;38103;84636;5.47;4.01;4.81;88.45;92.28;100.61;0.71;86.52;107.75;94.91;95.96;160.65
2012-10-01;47209;38650;85859;5.43;4.03;4.8;92.74;91.85;97.92;1.02;87.89;105.98;97.53;96.28;160.82
2012-11-01;47687;39189;86875;5.37;3.18;4.38;90.31;90.61;100.83;1.27;87.82;105.87;95.81;94.37;162.22
2012-12-01;48619;41385;90004;5.36;3.08;4.31;126.34;92.14;105.25;1.03;88.8;104.26;95.66;95.14;163.28
2013-01-01;49210;40618;89828;5.24;3.08;4.26;88.8;92.71;100.4;1.06;88.39;101.52;96.24;95.09;162.79
2013-02-01;49564;40443;90006;5.2;3.13;4.27;79.79;93.83;98.62;0.58;87.93;103.61;98.83;97.77;163.42
2013-03-01;50147;40309;90457;5.37;3.18;4.4;91.04;94.6;95.7;0.79;88.49;103.8;100.47;97.03;162.4
2013-04-01;50965;40747;91713;5.34;3.2;4.39;87.89;95.18;92.5;0.64;88.62;103.06;102.51;94.85;161.35
2013-05-01;51905;41511;93416;5.44;2.93;4.32;95.68;95.34;97.1;-0.16;89.83;100.82;100.06;96.05;162.19
2013-06-01;52748;42288;95036;5.33;2.94;4.27;91.47;96.3;100.89;-0.07;88.63;98.61;100.17;96.51;163.76
2013-07-01;53425;42360;95784;5.25;2.94;4.23;96.24;96.3;104.0;0.06;92.39;97.25;101.88;95.4;164.8
