Data;1479;21899;21900;28039
2014-01-01;97.2;0.41;0.39;101.3
2014-02-01;90.2;0.66;0.6;100.2
2014-03-01;94.3;0.93;1.0;102.0
2014-04-01;94.4;0.84;0.9;100.9
2014-05-01;101.1;0.32;0.45;100.8
2014-06-01;92.0;0.45;0.45;97.6
2014-07-01;96.4;-0.25;-0.23;99.0
2014-08-01;98.2;-0.07;-0.13;96.5
2014-09-01;97.6;0.87;0.87;98.2
2014-10-01;105.8;0.79;0.58;98.1
2014-11-01;103.1;0.55;0.68;99.4
2014-12-01;129.6;1.08;1.0;106.4
2015-01-01;99.6;1.35;1.39;100.3
2015-02-01;87.8;0.73;0.54;96.4
2015-03-01;97.0;1.79;1.92;101.6
2015-04-01;94.8;0.68;0.51;99.3
2015-05-01;98.6;0.88;1.03;99.9
2015-06-01;93.4;0.25;0.34;99.5
2015-07-01;98.4;0.52;0.56;98.6
2015-08-01;96.4;0.25;0.18;100.1
2015-09-01;92.5;-0.28;-0.18;101.5
2015-10-01;100.6;1.18;1.35;102.2
2015-11-01;97.2;1.29;1.34;98.2
2015-12-01;124.5;0.91;1.02;98.9
2016-01-01;91.5;1.38;1.42;104.1
2016-02-01;85.1;0.54;0.44;97.2
2016-03-01;91.6;0.43;0.39;94.9
2016-04-01;88.5;0.7;0.51;94.6
2016-05-01;92.2;0.73;0.75;92.9
2016-06-01;87.4;0.45;0.81;91.4
2016-07-01;90.5;0.74;0.79;89.9
2016-08-01;88.1;0.18;0.16;87.4
2016-09-01;85.2;0.48;0.43;89.8
2016-10-01;89.4;0.53;0.43;87.4
2016-11-01;93.4;0.43;0.28;90.7
2016-12-01;116.9;0.7;0.52;85.4
2017-01-01;90.8;0.56;0.57;82.4
2017-02-01;84.0;0.24;-0.04;85.7
2017-03-01;89.7;0.14;0.13;84.4
2017-04-01;86.3;-0.13;-0.38;82.9
2017-05-01;90.0;0.42;0.61;85.3
2017-06-01;87.3;-0.4;-0.47;86.0
2017-07-01;90.8;-0.24;-0.3;84.5
2017-08-01;93.5;0.21;-0.16;84.6
2017-09-01;93.7;0.33;0.03;81.8
2017-10-01;91.4;0.32;0.29;80.3
2017-11-01;93.5;0.5;0.57;81.8
2017-12-01;114.1;0.15;0.01;82.6
2018-01-01;87.8;0.1;0.01;82.3
2018-02-01;81.1;0.2;0.0;82.8
2018-03-01;94.5;-0.35;-0.6;84.1
2018-04-01;83.2;0.73;0.72;86.9
2018-05-01;89.9;1.02;1.12;80.7
2018-06-01;88.8;0.87;1.17;83.5
2018-07-01;89.3;-0.37;-0.36;82.3
2018-08-01;93.7;-0.18;-0.13;82.5
2018-09-01;93.5;0.46;0.35;82.0
2018-10-01;96.3;0.71;0.61;82.5
2018-11-01;101.3;-0.31;-0.43;81.2
2018-12-01;118.3;0.06;0.1;83.7
2019-01-01;93.8;0.2;0.3;83.7
2019-02-01;85.2;0.52;0.65;83.1
2019-03-01;90.0;0.7;0.67;84.4
2019-04-01;86.6;0.52;0.4;86.2
2019-05-01;90.0;0.42;0.38;84.1
2019-06-01;85.2;0.18;0.09;84.3
2019-07-01;91.0;-0.01;-0.12;89.6
2019-08-01;94.4;-0.21;-0.07;87.2
2019-09-01;93.4;-0.04;0.02;85.6
2019-10-01;95.9;0.31;0.27;86.8
2019-11-01;102.6;0.65;0.72;87.2
2019-12-01;116.0;1.32;1.38;84.0
2020-01-01;94.9;0.13;0.16;84.6
2020-02-01;89.3;0.42;0.35;87.6
2020-03-01;88.0;0.56;0.62;81.9
2020-04-01;75.7;-0.43;-0.37;80.9
2020-05-01;92.4;-0.57;-0.52;79.2
2020-06-01;-;0.29;0.86;-
