Data;1478;1493;1506;1519;1532;1558;1571;7489;12547;12548;12661;12662;13101;13261;13726;20100;20103;20322;20323;20324;20325;21419;21420;21422;21423;21933;25404;28038
2011-01-01;81.1;85.83;82.12;84.8;77.57;85.23;81.85;262.48;106.25;104.68;0.62;0.59;82.95;107.7;109.35;81.4;74.92;79.7;108.88;88.17;73.85;84.82;85.77;106.53;109.96;106.98;136.0;92.37
2011-02-01;81.8;85.9;82.79;85.74;78.29;85.56;82.51;262.07;106.93;105.2;0.56;0.52;83.0;107.84;110.34;81.84;73.99;80.5;106.04;90.59;74.76;85.11;85.86;106.92;110.23;107.09;136.02;92.56
2011-03-01;82.29;86.48;82.82;86.06;79.14;86.82;82.55;263.22;107.86;106.24;0.51;0.48;83.09;107.89;110.7;82.49;73.76;81.2;105.35;93.72;75.36;85.39;85.88;107.31;109.94;106.79;136.02;92.66
2011-04-01;82.31;86.96;82.71;85.53;79.13;87.2;82.43;264.21;108.91;106.31;0.51;0.48;83.01;107.89;110.99;82.56;73.2;81.44;103.51;95.08;75.24;85.51;85.78;107.42;109.35;106.4;136.09;93.14
2011-05-01;82.7;87.31;82.91;85.95;79.44;87.6;82.64;265.52;109.67;106.46;0.56;0.52;83.05;107.93;111.21;82.92;73.28;81.77;102.54;97.11;76.35;85.6;85.74;107.52;108.79;106.24;136.26;93.21
2011-06-01;83.04;87.4;83.28;86.09;80.08;88.71;83.01;266.8;109.49;106.58;0.56;0.51;83.05;107.93;111.93;83.45;73.48;82.09;101.74;95.91;77.04;85.79;85.78;107.47;108.36;106.03;136.39;93.46
2011-07-01;86.32;87.92;86.38;92.61;84.77;90.65;86.12;267.64;108.82;105.79;0.53;0.47;82.78;107.83;114.11;86.11;74.23;83.18;105.48;98.95;82.26;86.12;86.07;106.99;107.1;106.13;136.78;93.68
2011-08-01;87.0;87.61;87.31;92.68;85.41;91.34;87.08;269.3;108.73;105.88;0.51;0.46;82.87;107.93;114.59;86.72;74.48;83.71;105.13;101.48;83.0;86.93;86.59;106.9;106.25;106.18;136.79;94.08
2011-09-01;87.69;87.5;88.51;92.27;85.83;90.29;88.3;270.39;108.37;105.9;0.48;0.43;82.75;107.96;115.21;86.82;74.58;84.13;105.53;103.89;83.26;87.58;86.9;106.68;105.3;105.61;136.33;94.51
2011-10-01;88.84;87.45;90.07;93.27;86.9;90.12;89.87;270.65;107.97;105.71;0.44;0.39;82.62;107.92;116.12;87.52;75.09;84.92;105.87;105.62;84.02;88.38;87.16;106.32;103.91;104.83;135.19;94.71
