Data;1475;1490;1503;1516;1529;1555;1568;7493;13024;13025;20128;20129;20130;20131;20132;20133;21925;25394;28035
2011-01-01;81.8;91.25;80.27;95.4;86.63;112.45;79.5;267.5;0.66;0.63;71.72;103.13;68.08;79.8;86.88;89.9;100.23;144.62;88.62
2011-02-01;82.23;91.51;80.79;96.01;86.81;112.77;80.01;266.91;0.59;0.53;72.34;101.9;67.7;80.5;89.37;90.41;101.34;144.81;88.9
2011-03-01;82.54;91.76;81.14;95.59;87.04;114.1;80.36;266.89;0.56;0.53;72.92;102.5;67.61;81.21;91.66;91.13;103.16;144.92;89.18
2011-04-01;82.67;91.69;81.22;94.8;87.39;114.56;80.44;266.92;0.56;0.53;73.39;101.52;68.66;81.61;93.32;91.43;103.67;144.98;89.21
2011-05-01;83.16;91.92;81.69;94.53;88.47;114.58;80.92;266.93;0.54;0.52;73.72;100.82;68.3;82.46;94.24;91.81;103.97;144.99;89.25
2011-06-01;83.63;91.97;81.96;94.96;89.84;115.54;81.21;267.78;0.54;0.52;73.91;100.73;69.16;82.96;95.39;92.45;103.85;145.05;89.33
2011-07-01;86.48;92.38;83.75;103.02;93.52;116.09;83.01;268.57;0.53;0.52;74.84;103.75;79.15;87.46;94.13;94.38;102.98;145.07;89.37
2011-08-01;87.08;91.66;84.52;102.89;93.98;116.96;83.82;270.6;0.5;0.46;75.08;105.99;81.21;88.62;95.83;95.14;102.35;145.1;89.63
2011-09-01;87.85;91.62;85.57;102.48;94.64;116.23;84.89;271.88;0.44;0.41;75.7;106.55;83.92;88.74;97.07;95.54;101.68;145.2;89.87
2011-10-01;88.72;91.31;86.81;102.18;95.57;117.19;86.19;272.35;0.38;0.36;76.49;106.46;85.51;88.81;98.62;96.47;101.11;145.24;90.2
2011-11-01;89.18;90.99;87.36;101.84;96.28;117.52;86.78;273.08;0.37;0.36;77.08;106.38;87.58;88.76;100.08;96.96;100.66;145.5;90.33
2011-12-01;89.86;90.9;88.18;102.18;96.59;117.9;87.63;273.97;0.36;0.36;77.98;106.37;89.68;89.02;99.73;97.47;100.13;145.67;90.57
2012-01-01;90.43;90.52;89.21;101.63;97.32;120.53;88.7;275.15;0.34;0.36;78.7;106.97;86.33;89.02;99.05;98.47;99.58;145.87;90.73
2012-02-01;91.05;90.75;89.92;101.85;98.13;122.76;89.45;278.15;0.36;0.39;79.29;107.27;87.22;89.08;98.81;99.43;99.58;146.21;90.92
2012-03-01;91.91;91.81;90.83;102.22;99.27;125.96;90.39;281.42;0.36;0.37;80.03;107.97;88.72;89.5;99.29;100.83;99.68;146.65;91.15
2012-04-01;92.63;92.64;91.93;102.42;99.58;125.37;91.55;284.91;0.35;0.37;80.33;108.4;89.08;89.22;98.79;101.14;99.62;146.99;91.52
2012-05-01;93.31;93.48;92.73;102.45;100.48;127.55;92.37;288.63;0.37;0.39;80.89;109.47;90.37;89.62;99.67;102.23;100.32;147.51;91.89
2012-06-01;94.08;94.03;93.69;102.8;101.08;127.31;93.38;290.54;0.37;0.38;81.37;110.73;90.55;90.61;99.66;102.7;100.47;147.92;92.19
2012-07-01;94.81;94.24;95.01;102.54;102.89;128.17;94.77;292.84;0.39;0.39;81.45;111.0;84.33;90.24;100.83;103.53;99.99;148.39;92.72
2012-08-01;95.22;94.85;95.36;102.76;103.7;128.61;95.12;295.58;0.42;0.44;82.0;111.92;85.23;90.38;101.24;103.94;100.51;148.92;93.21
2012-09-01;95.23;94.78;95.34;102.79;103.82;129.15;95.12;299.75;0.45;0.46;82.2;112.41;86.11;90.04;101.18;104.07;100.47;149.29;93.76
2012-10-01;95.61;95.42;95.86;103.33;103.68;129.27;95.66;305.0;0.49;0.5;82.3;112.72;86.15;90.18;101.18;104.36;100.37;149.73;93.98
2012-11-01;95.63;96.48;95.55;104.23;103.94;130.87;95.35;310.59;0.48;0.48;82.95;113.24;86.49;90.15;102.08;104.84;101.43;150.24;94.54
2012-12-01;95.92;97.68;95.95;103.95;104.16;131.08;95.8;315.45;0.47;0.47;83.39;112.87;85.49;90.13;102.53;105.12;101.93;150.82;94.89
2013-01-01;96.09;99.13;96.14;103.63;103.99;129.79;96.0;319.86;0.5;0.49;83.84;112.23;86.11;90.17;103.13;104.96;102.57;151.33;95.35
2013-02-01;96.53;99.95;96.53;104.28;104.21;129.02;96.4;322.19;0.47;0.45;84.74;112.02;86.78;90.55;103.58;105.1;102.84;151.63;95.7
2013-03-01;97.08;100.34;97.2;104.56;104.42;127.01;97.08;323.33;0.47;0.44;85.49;111.24;88.12;90.88;103.48;104.98;102.98;151.94;95.92
2013-04-01;97.44;100.58;97.39;104.55;104.47;128.06;97.26;323.58;0.46;0.42;86.49;110.8;90.13;92.08;104.06;105.52;103.5;152.41;96.22
2013-05-01;97.95;101.07;97.77;104.83;104.32;127.69;97.64;324.38;0.47;0.43;87.62;110.14;92.39;93.34;103.98;105.77;103.48;152.63;96.65
2013-06-01;98.46;101.68;98.37;105.24;104.61;128.7;98.23;326.57;0.47;0.43;88.69;109.67;94.46;92.95;103.99;106.36;103.59;153.0;97.13
2013-07-01;98.82;102.31;98.78;105.59;102.7;128.87;98.65;328.43;0.49;0.44;89.91;109.89;96.01;94.26;103.88;106.64;103.22;153.21;97.41
2013-08-01;99.32;102.81;99.37;105.58;102.48;128.85;99.24;328.85;0.46;0.41;91.12;108.82;95.78;95.35;104.04;106.99;102.79;153.47;97.94
2013-09-01;99.92;103.63;99.87;105.48;102.8;128.91;99.75;328.75;0.48;0.44;92.31;108.15;95.99;96.98;105.3;107.5;102.88;153.72;98.04
2013-10-01;99.88;103.61;99.67;104.58;103.35;126.23;99.54;330.02;0.52;0.47;93.33;107.22;96.15;97.22;105.08;106.79;102.47;153.83;98.49
2013-11-01;100.44;103.36;100.54;103.6;103.57;123.67;100.45;331.15;0.51;0.47;94.02;106.12;96.37;98.1;104.21;106.47;101.72;153.88;98.61
2013-12-01;100.71;102.82;100.77;103.26;104.02;121.59;100.68;333.19;0.51;0.46;94.93;106.02;97.15;98.76;103.87;106.11;101.42;153.73;98.83
2014-01-01;100.71;102.03;100.85;102.58;103.71;118.3;100.78;334.37;0.51;0.44;95.62;104.97;97.3;99.04;102.78;105.21;100.91;153.53;98.91
2014-02-01;100.53;101.48;100.75;101.97;102.7;115.66;100.69;335.87;0.52;0.48;96.19;103.77;96.99;99.23;102.23;104.39;100.35;153.22;99.09
2014-03-01;100.32;100.97;100.55;101.61;101.92;111.33;100.5;337.38;0.52;0.47;96.92;102.87;96.54;99.24;101.14;103.1;99.51;152.89;99.3
