Data;1474;1489;1502;1515;1528;1554;1567;7491;13381;13382;21929;25397;28034
2011-01-01;85.70 ;83.10 ;90.30 ;74.60 ;101.80 ;92.20 ;91.50 ;252.24;0.94;1.0;105.4 ;134.64 ;89.20
2011-02-01;80.90 ;79.70 ;86.20 ;75.00 ;86.70 ;96.90 ;86.90 ;249.02;0.69;0.3;112.7 ;135.41 ;89.50
2011-03-01;83.80 ;78.00 ;93.40 ;79.60 ;82.10 ;86.00 ;94.00 ;259.8;0.67;0.5;108.0 ;134.01 ;89.80
2011-04-01;84.90 ;77.60 ;95.10 ;79.30 ;83.70 ;87.20 ;96.90 ;255.16;0.82;0.7;109.3 ;135.63 ;89.40
2011-05-01;86.90 ;74.20 ;89.10 ;101.10 ;98.40 ;95.60 ;90.20 ;260.0;0.6;0.7;107.4 ;134.61 ;90.60
2011-06-01;82.20 ;73.70 ;87.30 ;100.20 ;84.00 ;92.30 ;88.30 ;256.91;0.12;0.2;104.3 ;134.16 ;88.40
2011-07-01;85.50 ;77.30 ;91.80 ;94.90 ;90.10 ;93.90 ;93.00 ;241.47;0.11;0.0;105.7 ;134.32 ;91.00
2011-08-01;86.50 ;79.60 ;90.10 ;88.70 ;96.20 ;94.70 ;90.90 ;253.1;0.47;0.7;109.5 ;134.66 ;91.00
2011-09-01;85.10 ;76.80 ;89.00 ;86.10 ;98.30 ;90.90 ;90.10 ;250.81;0.42;0.4;108.3 ;135.42 ;90.00
2011-10-01;89.20 ;80.80 ;95.20 ;92.20 ;97.70 ;83.70 ;96.80 ;251.97;0.43;0.3;106.7 ;135.44 ;88.00
2011-11-01;90.30 ;80.20 ;90.60 ;98.60 ;110.70 ;92.20 ;91.80 ;261.69;0.46;0.4;107.6 ;136.47 ;91.90
2011-12-01;123.10 ;86.90 ;118.20 ;190.70 ;151.60 ;94.40 ;120.50 ;262.9;0.66;0.7;106.3 ;135.48 ;93.90
2012-01-01;86.50 ;82.20 ;87.10 ;74.90 ;120.60 ;91.50 ;89.20 ;271.71;1.11;1.48;91.6 ;134.41 ;93.50
2012-02-01;83.60 ;84.30 ;90.00 ;73.10 ;92.50 ;76.80 ;92.10 ;263.46;0.95;0.68;100.7 ;136.78 ;93.80
2012-03-01;90.90 ;90.30 ;94.20 ;84.60 ;107.80 ;91.60 ;95.90 ;256.74;-0.05;0.14;101.8 ;136.65 ;93.80
2012-04-01;85.70 ;85.80 ;91.70 ;77.90 ;91.80 ;79.00 ;92.70 ;252.04;0.81;0.62;102.7 ;137.14 ;94.10
2012-05-01;88.80 ;85.60 ;90.80 ;104.10 ;99.10 ;90.00 ;91.30 ;260.49;0.07;0.34;101.6 ;137.48 ;95.40
2012-06-01;87.80 ;87.80 ;90.00 ;104.30 ;93.00 ;104.30 ;91.50 ;270.36;0.23;0.43;98.4 ;137.79 ;95.30
2012-07-01;89.40 ;92.20 ;91.50 ;102.80 ;96.70 ;100.20 ;93.00 ;290.64;0.54;0.4;100.5 ;138.15 ;95.70
2012-08-01;91.70 ;93.90 ;93.10 ;97.80 ;100.00 ;116.70 ;94.90 ;302.52;0.45;0.59;100.0 ;138.32 ;97.00
